"                                        car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                        "
" TO-1700251-451995F402EE43C6AE86646F7234BE70";"135.5425";"TO";"Abreulândia";"1.6943";"IRU";"AT";"Aguardando analise"
" TO-1700251-075ECBDC56054CC2AA6E4A5B65F555DD";"407.9405";"TO";"Abreulândia";"5.0993";"IRU";"AT";"Aguardando análise"
" TO-1700251-591FC76B411B4F8B9350916C5DDC5B8D";"1028.9551";"TO";"Abreulândia";"12.8619";"IRU";"AT";"Aguardando analise"
" TO-1700251-027E7372CA7D4169AFF81B2B65DF7A32";"1188.2967";"TO";"Abreulândia";"14.8537";"IRU";"AT";"Aguardando analise"
" TO-1700251-E6F03451A2044402B947C10830545365";"1023.1539";"TO";"Abreulândia";"12.7894";"IRU";"AT";"Aguardando analise"
" TO-1700251-D90DBDBED60A47D795EBD5B9D2942B83";"1859.3610";"TO";"Abreulândia";"23.2420";"IRU";"AT";"Aguardando analise"
" TO-1700251-29CDA586421346DDA95E2FC21804B43A";"311.4078";"TO";"Abreulândia";"3.8926";"IRU";"AT";"Aguardando análise"
" TO-1700251-3D2606543A734652A4E81D86D51EA2BF";"253.1240";"TO";"Abreulândia";"3.1641";"IRU";"AT";"Aguardando análise"
" TO-1700251-244FF1391075455C9F5ED439E566CD9E";"3.6607";"TO";"Abreulândia";"0.0458";"IRU";"AT";"Aguardando analise"
" TO-1700251-A27A9DF3A22846B4A8EF8504E550095A";"623.7467";"TO";"Abreulândia";"7.7968";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" TO-1700251-596DB997387E4A129AB1FB51DB51F096";"57.3118";"TO";"Abreulândia";"0.7164";"IRU";"AT";"Aguardando análise"
" TO-1700251-1A4142E47F934B728829FC9B17DAF861";"26.7930";"TO";"Abreulândia";"0.3349";"IRU";"AT";"Aguardando analise"
" TO-1700251-CB17A9807F4B49CAA55AA876617F27A5";"365.2871";"TO";"Abreulândia";"4.5661";"IRU";"AT";"Aguardando analise"
" TO-1700251-7B5EBFA4EB22498E9EA10EF2A11CFE50";"271.0993";"TO";"Abreulândia";"3.3887";"IRU";"AT";"Aguardando análise"
" TO-1700251-BD6FA1E05848461BA4487D02F858E6C1";"106.3600";"TO";"Abreulândia";"1.3295";"IRU";"AT";"Aguardando analise"
" TO-1700251-7E4D7EE253B74EA1952F2FFF64DE382F";"954.5188";"TO";"Abreulândia";"11.9315";"IRU";"CA";"CANCELADO_POR_DECISAO_ADMINISTRATIVA"
" TO-1700251-CAD19BF05F9541C3A062E1B37F9AB704";"243.9042";"TO";"Abreulândia";"3.0488";"IRU";"AT";"Aguardando análise"
" TO-1700251-E7062906939D40CCB0E0BB7852A61BA0";"661.1939";"TO";"Abreulândia";"8.2649";"IRU";"AT";"Aguardando análise"
" TO-1700251-FEDE8FE04E47495A8BFE7EAE7D9583A1";"533.3479";"TO";"Abreulândia";"6.6668";"IRU";"AT";"Aguardando analise"
" TO-1700251-1C7B2A6879C34D87BD16D4F9060E92AB";"265.8192";"TO";"Abreulândia";"3.3227";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" TO-1700251-A55669B107A84856829D7036A80C89CE";"377.8182";"TO";"Abreulândia";"4.7227";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" TO-1700251-1C993D9882874447AC3839C8F05578F7";"45.8856";"TO";"Abreulândia";"0.5736";"IRU";"AT";"Aguardando analise"
" TO-1700251-E55AE3CC4A5740B3BD8FE662557B5CFF";"51.8046";"TO";"Abreulândia";"0.6476";"IRU";"AT";"Aguardando analise"
" TO-1700251-D4226BE6972A43BC8EDB54C9197E540A";"115.8628";"TO";"Abreulândia";"1.4483";"IRU";"AT";"Aguardando analise"
" TO-1700251-81065F112D5E4F58BB8A04AB314FFB0F";"121.0301";"TO";"Abreulândia";"1.5129";"IRU";"AT";"Aguardando analise"
" TO-1700251-1CC8C37095BB43928DE47F4C88FEF683";"67.2071";"TO";"Abreulândia";"0.8401";"IRU";"AT";"Aguardando analise"
" TO-1700251-4267216D9531433991F354127552E48E";"190.1475";"TO";"Abreulândia";"2.3768";"IRU";"AT";"Aguardando análise"
" TO-1700251-8B6739B90E994CF49E20CCE94CB774A9";"335.8035";"TO";"Abreulândia";"4.1975";"IRU";"AT";"Aguardando analise"
" TO-1700251-D98BB638206342EF87CE7E3C0439820A";"1599.0877";"TO";"Abreulândia";"0.4649";"AST";"AT";"Aguardando analise"
" TO-1700251-8ED445DC269946EC8C81BA03BBDF6380";"21.9497";"TO";"Abreulândia";"0.2744";"IRU";"AT";"Aguardando analise"
" TO-1700251-0B1E20588E014BC0BDDFBF3FB4EE8472";"112.8290";"TO";"Abreulândia";"1.4104";"IRU";"AT";"Aguardando analise"
" TO-1700251-DBD5A7F16A9F4EBA9D9E4375F011F3DC";"33.2770";"TO";"Abreulândia";"0.4160";"IRU";"AT";"Aguardando análise"
" TO-1700251-5AF103E9EF7543E596B2014872E69D9C";"48.4737";"TO";"Abreulândia";"0.6059";"IRU";"AT";"Aguardando analise"
" TO-1700251-05119DE7A5474FA9B624DAACE5F25623";"513.4017";"TO";"Abreulândia";"6.4175";"IRU";"AT";"Aguardando analise"
" TO-1700251-458005C5B62E494F9BCE175113BCDBDD";"473.4756";"TO";"Abreulândia";"5.9184";"IRU";"AT";"Aguardando analise"
" TO-1700251-D0510D203EB645D4B71D67B1FD7470C2";"96.3324";"TO";"Abreulândia";"1.2042";"IRU";"AT";"Aguardando analise"
" TO-1700251-41AB13141C764751A4ACB2CB9F5A845B";"103.4230";"TO";"Abreulândia";"1.2928";"IRU";"AT";"Aguardando analise"
" TO-1700251-48DAEE7FB045415B831C0890C84E38DD";"142.9041";"TO";"Abreulândia";"1.7863";"IRU";"CA";"CANCELADO_POR_DECISAO_ADMINISTRATIVA"
" TO-1700251-97AD099B75494B3FBB8D8AD8435AAB4A";"1136.9622";"TO";"Abreulândia";"0.7480";"AST";"AT";"Aguardando analise"
" TO-1700251-B4AC270A868A4CB0BF75B19266EF1083";"46.0858";"TO";"Abreulândia";"0.5761";"IRU";"AT";"Aguardando analise"
" TO-1700251-EF336EA240EB44C4A95A7DE3B177D5E0";"290.4705";"TO";"Abreulândia";"3.6309";"IRU";"CA";"CANCELADO_POR_DECISAO_ADMINISTRATIVA"
" TO-1700251-343516BB61BC4C7783831A63D566CD7A";"716.6595";"TO";"Abreulândia";"8.9582";"IRU";"CA";"CANCELADO_POR_DECISAO_ADMINISTRATIVA"
" TO-1700251-D6CFE5CC85664B79BCFBC1247113E992";"335.1320";"TO";"Abreulândia";"4.1892";"IRU";"AT";"Aguardando analise"
" TO-1700251-0752387B871B4B8E9D51358D50C8E617";"8.1361";"TO";"Abreulândia";"0.1017";"IRU";"AT";"Aguardando analise"
" TO-1700251-4FCF4D44B75B45678C37575FE80606E3";"8.7446";"TO";"Abreulândia";"0.1093";"IRU";"AT";"Aguardando analise"
" TO-1700251-A97856FB277F4921BED90D6CAEAC4C0A";"339.4550";"TO";"Abreulândia";"4.2432";"IRU";"CA";"CANCELADO_POR_DECISAO_ADMINISTRATIVA"
" TO-1700251-2E13FD20865C4282B9F36BBE6ED23088";"1511.5360";"TO";"Abreulândia";"18.8942";"IRU";"CA";"CANCELADO_POR_DECISAO_ADMINISTRATIVA"
" TO-1700251-AA009A4077B048158B98DA8C8BDBAF29";"1676.9893";"TO";"Abreulândia";"20.9624";"IRU";"CA";"CANCELADO_POR_DECISAO_ADMINISTRATIVA"
" TO-1700251-76235378F7A24E62A1BE7A92416A3C77";"573.8570";"TO";"Abreulândia";"7.1732";"IRU";"CA";"CANCELADO_POR_DECISAO_ADMINISTRATIVA"
" TO-1700251-0B400FD8AA9E45FEB82AC0A702D4E223";"1923.7196";"TO";"Abreulândia";"24.0465";"IRU";"CA";"CANCELADO_POR_DECISAO_ADMINISTRATIVA"
" TO-1700251-6E5A760F39384E79957C0ABA159E54E5";"292.1148";"TO";"Abreulândia";"3.6514";"IRU";"AT";"Aguardando analise"
" TO-1700251-1B0FDB423E664633BB3425D03E8E351E";"698.3200";"TO";"Abreulândia";"8.7290";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" TO-1700251-FE7C66F451684424A9A75D7D273DB8C3";"69.8550";"TO";"Abreulândia";"0.8732";"IRU";"CA";"CANCELADO_POR_DECISAO_ADMINISTRATIVA"
" TO-1700251-7CFA5B747223487A82F21946037EE2B9";"43.5533";"TO";"Abreulândia";"0.5444";"IRU";"AT";"Aguardando análise"
