"                                          car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                          "
" TO-1704600-B74B523F6FF448CBA69501B8190A7EE1";"151.9200";"TO";"Chapada de Areia";"1.8990";"IRU";"AT";"Aguardando análise"
" TO-1704600-233DC2C7719147A586081DB72AA2611D";"88.0572";"TO";"Chapada de Areia";"1.1007";"IRU";"AT";"Aguardando analise"
" TO-1704600-D48A8E664C01459F89498876A9A3EE91";"37.8183";"TO";"Chapada de Areia";"0.4727";"IRU";"AT";"Aguardando análise"
" TO-1704600-9B45F575DBB14BF99D044D720EA22AF1";"105.9926";"TO";"Chapada de Areia";"1.3249";"IRU";"AT";"Aguardando análise"
" TO-1704600-AC5D825DF3EE43D7BE5BF2A01FF7A745";"46.9296";"TO";"Chapada de Areia";"0.5866";"IRU";"AT";"Aguardando análise"
" TO-1704600-CA9720C4E9754E5A8DE3A2FD030997C6";"42.4130";"TO";"Chapada de Areia";"0.5302";"IRU";"AT";"Aguardando análise"
" TO-1704600-49B174A7227D4259B5D1EFBA4C43C84F";"141.5217";"TO";"Chapada de Areia";"1.7690";"IRU";"AT";"Aguardando análise"
" TO-1704600-702AFE0C31424B60B06BB109830790A4";"359.3034";"TO";"Chapada de Areia";"4.4913";"IRU";"AT";"Aguardando analise"
" TO-1704600-5B47866DD32241C792359D567DB22F84";"34.6083";"TO";"Chapada de Areia";"0.4326";"IRU";"AT";"Aguardando analise"
" TO-1704600-BC20ACCC78CB40A691ACECF3FD239C48";"37.6094";"TO";"Chapada de Areia";"0.4701";"IRU";"AT";"Aguardando análise"
" TO-1704600-5F7A5549702B4E7EB0449C83E4916656";"67.4903";"TO";"Chapada de Areia";"0.8436";"IRU";"AT";"Aguardando analise"
" TO-1704600-751E20F9AF4B489FB00D2FF29F497DBD";"25.3103";"TO";"Chapada de Areia";"0.3164";"IRU";"AT";"Aguardando analise"
" TO-1704600-7E72E7FE233046CFAFEFB3278659120B";"342.5514";"TO";"Chapada de Areia";"4.2819";"IRU";"AT";"Aguardando analise"
" TO-1704600-8D846856A6A94CF4A296FCA3D17CDC02";"84.6524";"TO";"Chapada de Areia";"1.0582";"IRU";"AT";"Aguardando analise"
" TO-1704600-71D9042C5B854CDC982B6318A6D5943B";"104.7942";"TO";"Chapada de Areia";"1.3099";"IRU";"AT";"Aguardando analise"
" TO-1704600-507814503D864AA997792324A5CB266F";"120.4517";"TO";"Chapada de Areia";"1.5056";"IRU";"AT";"Aguardando analise"
" TO-1704600-184215DBA969476AA84101C44041D877";"324.9591";"TO";"Chapada de Areia";"4.0620";"IRU";"AT";"Aguardando análise"
" TO-1704600-EDD81973AFF0475D831AD7132F68EC37";"364.4808";"TO";"Chapada de Areia";"4.5560";"IRU";"AT";"Aguardando analise"
" TO-1704600-10488E0476A847EFAC5BC2ACE52A071B";"126.6195";"TO";"Chapada de Areia";"1.5827";"IRU";"AT";"Aguardando analise"
" TO-1704600-F14DDF26043C4BA68DA208B0A74A7DB8";"13.7673";"TO";"Chapada de Areia";"0.1721";"IRU";"AT";"Aguardando analise"
" TO-1704600-53900352E85844A6A46598D67530C1F7";"352.0095";"TO";"Chapada de Areia";"4.4001";"IRU";"AT";"Aguardando analise"
" TO-1704600-3F92A3E56B6244B8B2A3F2456F1FFAD1";"53.3095";"TO";"Chapada de Areia";"0.6664";"IRU";"AT";"Aguardando analise"
" TO-1704600-339FE267236143B79257AA7952073E70";"36.1188";"TO";"Chapada de Areia";"0.4515";"IRU";"AT";"Aguardando analise"
" TO-1704600-4219E299EC9843608A6F144045E2F7D6";"69.5804";"TO";"Chapada de Areia";"0.8697";"IRU";"AT";"Aguardando analise"
" TO-1704600-232B511EF43945AE8205A3A1FD718F42";"63.3680";"TO";"Chapada de Areia";"0.7921";"IRU";"AT";"Aguardando analise"
" TO-1704600-091EB1B3E33A4F999FE1E285AC312AA3";"65.8025";"TO";"Chapada de Areia";"0.8225";"IRU";"AT";"Aguardando analise"
" TO-1704600-1F31531B3C024098BF51179509C11E91";"93.7558";"TO";"Chapada de Areia";"1.1719";"IRU";"AT";"Aguardando análise"
" TO-1704600-F4A05235768744889515D828D5CCC729";"797.9275";"TO";"Chapada de Areia";"9.9741";"IRU";"AT";"Aguardando analise"
" TO-1704600-F38D7C2D273341618099EF68D7B71ACA";"24.6004";"TO";"Chapada de Areia";"0.3075";"IRU";"AT";"Aguardando analise"
" TO-1704600-576FDB882849489CA5C70A2714208B60";"26.3695";"TO";"Chapada de Areia";"0.3296";"IRU";"AT";"Aguardando analise"
" TO-1704600-88A0057A1922465181A437AC9C5B38A0";"31.7241";"TO";"Chapada de Areia";"0.3966";"IRU";"AT";"Aguardando analise"
" TO-1704600-9ED3D07294734F97A4BD1850A848CB19";"251.2869";"TO";"Chapada de Areia";"3.1411";"IRU";"AT";"Aguardando analise"
" TO-1704600-634D535724CB47CA98CDD5809662F526";"107.7730";"TO";"Chapada de Areia";"1.3472";"IRU";"AT";"Aguardando analise"
" TO-1704600-2EA99B9B04B345118EAB28171075F78C";"130.1591";"TO";"Chapada de Areia";"1.6270";"IRU";"AT";"Aguardando analise"
" TO-1704600-D7BD496619984F5EA63B4CD400A463C7";"37.6398";"TO";"Chapada de Areia";"0.4705";"IRU";"AT";"Aguardando analise"
" TO-1704600-4B3E84BBFDC748A28BF7FD443CD7B57A";"254.5425";"TO";"Chapada de Areia";"3.1818";"IRU";"AT";"Aguardando analise"
" TO-1704600-5D460DEF7CB14E3190ECF02D039D5CDB";"87.2240";"TO";"Chapada de Areia";"1.0903";"IRU";"AT";"Aguardando analise"
" TO-1704600-AC63B2600CD14274B75A063CEBD3872E";"333.9907";"TO";"Chapada de Areia";"4.1749";"IRU";"AT";"Aguardando analise"
" TO-1704600-BCF17A39946943A6ABF6D591499E7643";"268.2219";"TO";"Chapada de Areia";"3.3527";"IRU";"AT";"Aguardando analise"
" TO-1704600-301F13BBC0A4498B86CF553B19EA1338";"33.8883";"TO";"Chapada de Areia";"0.4236";"IRU";"AT";"Aguardando análise"
" TO-1704600-E9EA67C553734812B6562795698F726B";"64.4554";"TO";"Chapada de Areia";"0.8057";"IRU";"AT";"Aguardando analise"
" TO-1704600-7BD0C8252A1C465BB98D7B1F31FD80BC";"17.0618";"TO";"Chapada de Areia";"0.2133";"IRU";"AT";"Aguardando analise"
" TO-1704600-CAFDEE5138114ED6BBF82C391A72BB64";"143.7689";"TO";"Chapada de Areia";"1.7971";"IRU";"AT";"Aguardando analise"
" TO-1704600-06B0A7D07B9746D7B932EA4CDA689E46";"39.6501";"TO";"Chapada de Areia";"0.4956";"IRU";"AT";"Aguardando analise"
" TO-1704600-50FC17BC708C4DD6AE1709956B11E071";"29.2512";"TO";"Chapada de Areia";"0.3656";"IRU";"AT";"Aguardando analise"
" TO-1704600-6CFF9916EF8E45349D1145BF6A8235B0";"31.5092";"TO";"Chapada de Areia";"0.3939";"IRU";"AT";"Aguardando analise"
" TO-1704600-E1E323053A5E413580B21B7C17FBAB70";"33.7024";"TO";"Chapada de Areia";"0.4213";"IRU";"AT";"Aguardando analise"
" TO-1704600-D9C4D87ED7FA48B1BF1ADD442687496B";"46.0502";"TO";"Chapada de Areia";"0.5756";"IRU";"AT";"Aguardando analise"
" TO-1704600-ADAA908EED974456A5B4CBCE2B48FC75";"217.7105";"TO";"Chapada de Areia";"2.7214";"IRU";"AT";"Aguardando analise"
" TO-1704600-6B72C28FDFD6472FBA74BFF1741C7243";"64.2415";"TO";"Chapada de Areia";"0.8030";"IRU";"AT";"Aguardando analise"
" TO-1704600-2507AD5E605446C9BF6B6C4152CFA9B7";"159.2434";"TO";"Chapada de Areia";"1.9905";"IRU";"AT";"Aguardando analise"
" TO-1704600-D60B0E9E9A574BF2A35A77BD9024D068";"119.5607";"TO";"Chapada de Areia";"1.4945";"IRU";"AT";"Aguardando analise"
" TO-1704600-DC16B04CBBB24DFB8833128119F92FBB";"123.6272";"TO";"Chapada de Areia";"1.5453";"IRU";"AT";"Aguardando analise"
" TO-1704600-62F07AD90D6748C1926E783C7F65D0CD";"34.6198";"TO";"Chapada de Areia";"0.4327";"IRU";"AT";"Aguardando análise"
" TO-1704600-05A8A74C586F476390B74F3E87612446";"255.3232";"TO";"Chapada de Areia";"3.1915";"IRU";"AT";"Aguardando analise"
