"                                               car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                               "
" TO-1707108-2E058AAD1E6B4881B3FF54221E47C66F";"114.8319";"TO";"Divinópolis do Tocantins";"1.4354";"IRU";"AT";"Aguardando análise"
" TO-1707108-D3BE8CBD012B48C4895262DFA6AB4EBD";"60.1025";"TO";"Divinópolis do Tocantins";"0.7513";"IRU";"AT";"Aguardando análise"
" TO-1707108-D896CD6FAAE44E1D9B3EC540A8B759D1";"6.2986";"TO";"Divinópolis do Tocantins";"0.0787";"IRU";"AT";"Aguardando análise"
" TO-1707108-9B4C6FB0817F4C2EBDEF2801387AD4AE";"203.2426";"TO";"Divinópolis do Tocantins";"2.5405";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" TO-1707108-E8DC5885024A455491567E78E2611E89";"99.0732";"TO";"Divinópolis do Tocantins";"1.2384";"IRU";"AT";"Aguardando análise"
" TO-1707108-C921C9C289B74BB4829E94C851CE269E";"34.1017";"TO";"Divinópolis do Tocantins";"0.4263";"IRU";"AT";"Aguardando análise"
" TO-1707108-458E781145C94521A44329210954F94E";"99.0898";"TO";"Divinópolis do Tocantins";"1.2386";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" TO-1707108-3BE29FAB8FDD4230A69952BB9D01382E";"144.9805";"TO";"Divinópolis do Tocantins";"1.8123";"IRU";"AT";"Aguardando analise"
" TO-1707108-A0E68E9445A24BB6AD3426BA4EB435D6";"45.5791";"TO";"Divinópolis do Tocantins";"0.5697";"IRU";"AT";"Aguardando análise"
" TO-1707108-BF1C4DFE82124624942023ED7BDECCEC";"21.7969";"TO";"Divinópolis do Tocantins";"0.2725";"IRU";"CA";"CANCELADO_POR_DECISAO_ADMINISTRATIVA"
" TO-1707108-7EF6B24961354EBE9A70B45C76878A59";"41.2023";"TO";"Divinópolis do Tocantins";"0.5150";"IRU";"CA";"CANCELADO_POR_DECISAO_ADMINISTRATIVA"
" TO-1707108-F9634A8FBC1D4CC49E616653365046A3";"35.6817";"TO";"Divinópolis do Tocantins";"0.4460";"IRU";"AT";"Aguardando análise"
" TO-1707108-94463A6BDB584D6F8F3543EE6681C4ED";"76.6008";"TO";"Divinópolis do Tocantins";"0.9575";"IRU";"AT";"Aguardando análise"
" TO-1707108-DAB1054CB53848DDBE96BF27993A2425";"274.7226";"TO";"Divinópolis do Tocantins";"3.4340";"IRU";"AT";"Aguardando análise"
" TO-1707108-51062508D1C04D4EA33985CAA74EACCE";"47.7388";"TO";"Divinópolis do Tocantins";"0.5967";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" TO-1707108-45C8D351D445453CB6CA062D8FB73427";"19.1178";"TO";"Divinópolis do Tocantins";"0.2390";"IRU";"AT";"Aguardando análise"
" TO-1707108-A8AB7D3144A94732B2483E56028668E9";"152.3760";"TO";"Divinópolis do Tocantins";"1.9047";"IRU";"AT";"Aguardando análise"
" TO-1707108-BFFEB40871D04B65B255D10284DB0696";"144.2765";"TO";"Divinópolis do Tocantins";"1.8035";"IRU";"AT";"Aguardando analise"
" TO-1707108-54D3F6EAE936468388A0BA62BBD4A549";"125.5361";"TO";"Divinópolis do Tocantins";"1.5692";"IRU";"AT";"Aguardando analise"
" TO-1707108-C434596037A54C60A43F430FF988DF84";"145.8456";"TO";"Divinópolis do Tocantins";"1.8231";"IRU";"AT";"Aguardando análise"
" TO-1707108-8EC8F45BBE1B41D8B67FD1A21DC3085C";"301.7234";"TO";"Divinópolis do Tocantins";"3.7715";"IRU";"AT";"Aguardando analise"
" TO-1707108-C8DBE24519A0423FBBB8F09A4B16A951";"16.4497";"TO";"Divinópolis do Tocantins";"0.2056";"IRU";"AT";"Aguardando analise"
" TO-1707108-A551F6B52CF94CF992A53BBCA69B61C0";"69.5329";"TO";"Divinópolis do Tocantins";"0.8692";"IRU";"CA";"CANCELADO_POR_DECISAO_ADMINISTRATIVA"
" TO-1707108-80349CD1D5CF427A94F6CE658639B15F";"75.0125";"TO";"Divinópolis do Tocantins";"0.9377";"IRU";"AT";"Aguardando analise"
" TO-1707108-1386F91FA1584E03BB3B88715035BCB7";"81.2334";"TO";"Divinópolis do Tocantins";"1.0154";"IRU";"AT";"Aguardando analise"
" TO-1707108-81143251A6464D06AB42152115C39BFE";"313.3836";"TO";"Divinópolis do Tocantins";"3.9173";"IRU";"CA";"CANCELADO_POR_DECISAO_ADMINISTRATIVA"
