"                                     car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                     "
" TO-1707553-527B852BFAA044AC8278C6606E935A6D";"54.1397";"TO";"Fátima";"0.6768";"IRU";"AT";"Aguardando análise"
" TO-1707553-713D6B9FB7E6423A86E9A682892099E1";"48.3886";"TO";"Fátima";"0.6049";"IRU";"AT";"Aguardando análise"
" TO-1707553-3735CA190ECD4E44930FFE92F94052A7";"43.5555";"TO";"Fátima";"0.5444";"IRU";"AT";"Aguardando análise"
" TO-1707553-E06E404D08D44301BCDE2A016EDBD511";"112.4827";"TO";"Fátima";"1.4060";"IRU";"AT";"Aguardando análise"
" TO-1707553-4F3E4E38CE464D749340671A4EE10DD3";"118.1652";"TO";"Fátima";"1.4771";"IRU";"AT";"Aguardando análise"
" TO-1707553-EA9DA3B988AC462FB1EA722DBE053427";"478.2745";"TO";"Fátima";"5.9784";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" TO-1707553-FD076195B0DF4660994E84135565F54A";"45.5289";"TO";"Fátima";"0.5691";"IRU";"AT";"Aguardando análise"
" TO-1707553-CE875DBBE46F4B4A8754AE2B7452F47D";"32.5373";"TO";"Fátima";"0.4067";"IRU";"AT";"Aguardando análise"
" TO-1707553-543B62ACB9CB4C4FABAA8A5EB1BAC5CB";"29.6217";"TO";"Fátima";"0.3703";"IRU";"CA";"CANCELADO_POR_DECISAO_ADMINISTRATIVA"
" TO-1707553-1F4D214F23344FFEB51356423D965BAB";"62.1803";"TO";"Fátima";"0.7773";"IRU";"AT";"Aguardando analise"
" TO-1707553-7CE942BBD0E24AD6A8F0DA8E1665C4D5";"17.0649";"TO";"Fátima";"0.2133";"IRU";"AT";"Aguardando analise"
" TO-1707553-2EAB56BC0C994254A58FEBA48E9CF5B1";"55.2783";"TO";"Fátima";"0.6910";"IRU";"AT";"Aguardando analise"
" TO-1707553-C01B4C55C37947C9BA17F5DB64FF8EE7";"1.3986";"TO";"Fátima";"0.0175";"IRU";"AT";"Aguardando analise"
" TO-1707553-72FE2F5312A548CE96850583B6DA5F99";"36.1467";"TO";"Fátima";"0.4518";"IRU";"AT";"Aguardando analise"
" TO-1707553-8A30651519D14F7893048327078C9921";"151.0890";"TO";"Fátima";"1.8886";"IRU";"AT";"Aguardando análise"
" TO-1707553-CAABA561FF8743409051DE86689F442F";"9.6383";"TO";"Fátima";"0.1205";"IRU";"AT";"Aguardando análise"
" TO-1707553-CBDA996A847E4F7280C068213BD6DA93";"72.9251";"TO";"Fátima";"0.9116";"IRU";"AT";"Aguardando analise"
