"                                                     car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                                      "
" TO-1712504-CE5C02AFF82F4338AACF6282313C48E8";"1200.2841";"TO";"Marianópolis do Tocantins";"15.0036";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" TO-1712504-1E227B6E139E4C9193906070007594BC";"1223.0497";"TO";"Marianópolis do Tocantins";"15.2881";"IRU";"AT";"Aguardando analise"
" TO-1712504-649C78946D7B4BD982E0DB4031C389B8";"209.6864";"TO";"Marianópolis do Tocantins";"2.6211";"IRU";"AT";"Aguardando analise"
" TO-1712504-CEA9B849A6044E4A9A58E3FB37E16D5B";"1118.9136";"TO";"Marianópolis do Tocantins";"13.9864";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" TO-1712504-DE5C885D7E024E9D92099BE7BC012D1F";"135.1665";"TO";"Marianópolis do Tocantins";"1.6896";"IRU";"CA";"CANCELADO_POR_DECISAO_ADMINISTRATIVA"
" TO-1712504-8ECF75219A85471BBF95F61D9D8CAE26";"93.3497";"TO";"Marianópolis do Tocantins";"1.1669";"IRU";"AT";"Aguardando analise"
" TO-1712504-787D2B8738564F9B845860993AC3FE52";"626.2022";"TO";"Marianópolis do Tocantins";"7.8275";"IRU";"AT";"Aguardando analise"
" TO-1712504-C7BA4A4F22F3447D9C5228C1C9A97B82";"70.5974";"TO";"Marianópolis do Tocantins";"0.8825";"IRU";"AT";"Aguardando analise"
" TO-1712504-4723FAB687A641CBA755577885CE0E5F";"202.0415";"TO";"Marianópolis do Tocantins";"2.5255";"IRU";"AT";"Aguardando analise"
" TO-1712504-9402F36D268D4D94B29F5C3775D47ECF";"118.7215";"TO";"Marianópolis do Tocantins";"1.4840";"IRU";"AT";"Aguardando analise"
" TO-1712504-A1FA14E3FCD7454DA7E0ED4B89D917C9";"99.8799";"TO";"Marianópolis do Tocantins";"1.2485";"IRU";"AT";"Aguardando analise"
" TO-1712504-3F2931390EA448438AA42EE37411CBC7";"196.7405";"TO";"Marianópolis do Tocantins";"2.4593";"IRU";"AT";"Aguardando analise"
" TO-1712504-6EB3CA496595433AB648F7F9F8E153B1";"53.2454";"TO";"Marianópolis do Tocantins";"0.6656";"IRU";"AT";"Aguardando analise"
" TO-1712504-3696313D48DC410CAC20DA553EEA13F3";"52.7511";"TO";"Marianópolis do Tocantins";"0.6594";"IRU";"AT";"Aguardando analise"
" TO-1712504-EE6F433D77E24184822EA9F399330230";"50.7005";"TO";"Marianópolis do Tocantins";"0.6338";"IRU";"AT";"Aguardando analise"
" TO-1712504-D9DE05B2F83F45E083AB315F6C3F5F8E";"93.4238";"TO";"Marianópolis do Tocantins";"1.1678";"IRU";"AT";"Aguardando analise"
" TO-1712504-CFC05CD74E0B453B94B850C744EECE89";"326.1687";"TO";"Marianópolis do Tocantins";"4.0771";"IRU";"AT";"Aguardando analise"
