"                                              car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                              "
" TO-1713700-F2E653912D9B469DAC66478791872A45";"132.1300";"TO";"Monte Santo do Tocantins";"1.6516";"IRU";"AT";"Aguardando análise"
" TO-1713700-1E259641F02E47558D63315882B70CF4";"75.3355";"TO";"Monte Santo do Tocantins";"0.9417";"IRU";"AT";"Aguardando análise"
" TO-1713700-97A970CB86DB4C21B5A3DD18E2EBB8C9";"9.6782";"TO";"Monte Santo do Tocantins";"0.1210";"IRU";"AT";"Aguardando análise"
" TO-1713700-1A27E2E0C32844D2817156DD17EFB6C4";"493.9173";"TO";"Monte Santo do Tocantins";"6.1739";"IRU";"AT";"Aguardando análise"
" TO-1713700-B232C2CB29B74CB78776741CBB378720";"167.1418";"TO";"Monte Santo do Tocantins";"2.0893";"IRU";"CA";"CANCELADO_POR_DECISAO_ADMINISTRATIVA"
" TO-1713700-33B177283A574847B5DA2FA42C288787";"82.4861";"TO";"Monte Santo do Tocantins";"1.0311";"IRU";"AT";"Aguardando análise"
" TO-1713700-6B06B4B799504A58937F9DDE2048DC67";"138.4559";"TO";"Monte Santo do Tocantins";"1.7307";"IRU";"AT";"Aguardando análise"
" TO-1713700-82267E33CCCF45CA80E5BCE9C7FD1EA4";"10.7598";"TO";"Monte Santo do Tocantins";"0.1345";"IRU";"AT";"Aguardando análise"
" TO-1713700-9502788D94F14F769A7C83E8C6B3F590";"290.6979";"TO";"Monte Santo do Tocantins";"3.6337";"IRU";"AT";"Aguardando analise"
" TO-1713700-C99FA0300A8F40C680A8AFE777E92659";"452.8454";"TO";"Monte Santo do Tocantins";"5.6606";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" TO-1713700-1020A137D16E4E88B0986FE5B9519C2A";"60.8684";"TO";"Monte Santo do Tocantins";"0.7609";"IRU";"AT";"Aguardando analise"
