"                                         car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                          "
" TO-1715002-26C0B5FF2CED46BF9891E989B87AF362";"43.5172";"TO";"Nova Rosalândia";"0.5440";"IRU";"AT";"Aguardando análise"
" TO-1715002-7AFB9920DEB6433B8F970F697A7B90C5";"129.1363";"TO";"Nova Rosalândia";"1.6142";"IRU";"AT";"Aguardando análise"
" TO-1715002-039A2F6476AA4E06B00E2A9A4911AA40";"28.6797";"TO";"Nova Rosalândia";"0.3585";"IRU";"AT";"Aguardando análise"
" TO-1715002-23436C8813344DDBB51E4A50F8C34804";"62.1898";"TO";"Nova Rosalândia";"0.7774";"IRU";"AT";"Aguardando análise"
" TO-1715002-70492505E9D64B0F9295D44B29E05277";"24.2003";"TO";"Nova Rosalândia";"0.3025";"IRU";"AT";"Aguardando análise"
" TO-1715002-69B0015674EE49149513331E079FBD4A";"129.2209";"TO";"Nova Rosalândia";"1.6153";"IRU";"AT";"Aguardando análise"
" TO-1715002-50930A808C1143439D58DB850F292F7F";"15.4276";"TO";"Nova Rosalândia";"0.1928";"IRU";"AT";"Aguardando análise"
" TO-1715002-9DA952A787CE42189B8497AA9160A691";"496.5640";"TO";"Nova Rosalândia";"6.2070";"IRU";"AT";"Aguardando análise"
" TO-1715002-5CC2B1A0EF6F4477AD209A73FA049EAF";"69.1825";"TO";"Nova Rosalândia";"0.8648";"IRU";"AT";"Aguardando análise"
" TO-1715002-51A925FB4630442ABA074D51B12FE4DF";"290.2224";"TO";"Nova Rosalândia";"3.6278";"IRU";"AT";"Aguardando analise"
" TO-1715002-995DD53B2B024B5FA807ACB404ACB168";"660.9657";"TO";"Nova Rosalândia";"8.2621";"IRU";"AT";"Aguardando analise"
" TO-1715002-FAF19D071C7B48E69EFA522313A5C9F8";"28.1810";"TO";"Nova Rosalândia";"0.3523";"IRU";"AT";"Aguardando análise"
" TO-1715002-C681ADC0A42845E196FE7D74B173CD75";"0.9264";"TO";"Nova Rosalândia";"0.0116";"IRU";"AT";"Aguardando analise"
" TO-1715002-1B097A291B814E8E95C05B441353F68A";"0.2468";"TO";"Nova Rosalândia";"0.0031";"IRU";"AT";"Aguardando analise"
" TO-1715002-19D6CED7556D45C1B17181483423FB84";"0.0449";"TO";"Nova Rosalândia";"0.0006";"IRU";"AT";"Aguardando analise"
" TO-1715002-C329909F674F47458DF3F97979D47CDC";"0.0945";"TO";"Nova Rosalândia";"0.0012";"IRU";"AT";"Aguardando analise"
" TO-1715002-C8CEFC8E970C4BE2A0D073EDC70FF071";"0.3209";"TO";"Nova Rosalândia";"0.0040";"IRU";"AT";"Aguardando analise"
" TO-1715002-200CCD41A7684150955BD6AA1B2AC099";"0.0945";"TO";"Nova Rosalândia";"0.0012";"IRU";"AT";"Aguardando analise"
" TO-1715002-7E268E72818245F88861C66B1B1986B8";"44.1902";"TO";"Nova Rosalândia";"0.5524";"IRU";"AT";"Aguardando analise"
" TO-1715002-ADA74DAFC9D14F5094F57E8112A8F074";"9.5663";"TO";"Nova Rosalândia";"0.1196";"IRU";"AT";"Aguardando analise"
" TO-1715002-E73C44DF164E4ED8ADC9D642FAD820EA";"1.9005";"TO";"Nova Rosalândia";"0.0238";"IRU";"AT";"Aguardando analise"
" TO-1715002-EAD7F9D449F449B98F7440628D7942F1";"3.5925";"TO";"Nova Rosalândia";"0.0449";"IRU";"AT";"Aguardando analise"
" TO-1715002-61546FB63A9F45EFB2614E8365669C1E";"217.7362";"TO";"Nova Rosalândia";"2.7217";"IRU";"AT";"Aguardando analise"
" TO-1715002-E8C0276C08164C99A82FD97BDD941522";"23.9685";"TO";"Nova Rosalândia";"0.2996";"IRU";"AT";"Aguardando analise"
" TO-1715002-B84A47EE1FA6422996D4FC159CF20176";"10.7363";"TO";"Nova Rosalândia";"0.1342";"IRU";"AT";"Aguardando analise"
" TO-1715002-739CC7DBC35345A8AC84F180DEB4CE51";"33.8117";"TO";"Nova Rosalândia";"0.4227";"IRU";"AT";"Aguardando analise"
" TO-1715002-9DB249E5DB874707A5E7581BDB296488";"45.0133";"TO";"Nova Rosalândia";"0.5627";"IRU";"AT";"Aguardando analise"
" TO-1715002-A064A30DC6C5497ABD46C0681E1CEC5F";"530.2723";"TO";"Nova Rosalândia";"6.6284";"IRU";"AT";"Aguardando analise"
" TO-1715002-7EC9E7E4F6694059B9A88208540634DA";"13.2451";"TO";"Nova Rosalândia";"0.1656";"IRU";"AT";"Aguardando analise"
" TO-1715002-F65337E9982E4D639B297A0A50748E16";"19.3881";"TO";"Nova Rosalândia";"0.2424";"IRU";"AT";"Aguardando análise"
" TO-1715002-748BE5B5AFB24B5BBBCF5BF935859117";"403.2299";"TO";"Nova Rosalândia";"5.0404";"IRU";"AT";"Aguardando analise"
" TO-1715002-5F809848EB744FD8BCA1A38F42A180A3";"103.4308";"TO";"Nova Rosalândia";"1.2929";"IRU";"AT";"Aguardando analise"
" TO-1715002-A567807C574240EA880FE834E284CEA2";"24.9997";"TO";"Nova Rosalândia";"0.3125";"IRU";"AT";"Aguardando analise"
" TO-1715002-955168C2543A42E68E0F94161E868D72";"114.6600";"TO";"Nova Rosalândia";"1.4333";"IRU";"CA";"CANCELADO_POR_DECISAO_ADMINISTRATIVA"
" TO-1715002-013E4B2800C148C48FF36459402825EC";"838.9873";"TO";"Nova Rosalândia";"10.4874";"IRU";"AT";"Aguardando analise"
" TO-1715002-895B6E379CD34F0F96DE76C1C76536DC";"563.2476";"TO";"Nova Rosalândia";"7.0406";"IRU";"CA";"CANCELADO_POR_DECISAO_ADMINISTRATIVA"
" TO-1715002-F0F853AF19A940D591F1309F66B25DD4";"75.2328";"TO";"Nova Rosalândia";"0.9404";"IRU";"AT";"Aguardando analise"
" TO-1715002-CB7F662398EB4CBA8E5011D9B39726BE";"187.5356";"TO";"Nova Rosalândia";"2.3442";"IRU";"AT";"Aguardando analise"
" TO-1715002-00460275599F453A808E3B17D3C00CA5";"4.8919";"TO";"Nova Rosalândia";"0.0611";"IRU";"AT";"Aguardando analise"
" TO-1715002-1451FDFA4F2149F0AB6FE53DBD5B10BC";"3.3939";"TO";"Nova Rosalândia";"0.0424";"IRU";"AT";"Aguardando analise"
" TO-1715002-F9C8C576AB7845789FD3E0C083201CBE";"3.2444";"TO";"Nova Rosalândia";"0.0406";"IRU";"AT";"Aguardando analise"
" TO-1715002-D6F61FE330754F4F915D89B74FA48DDC";"191.1982";"TO";"Nova Rosalândia";"2.3900";"IRU";"AT";"Aguardando analise"
" TO-1715002-7E6193C61AA3407BA0FBF1D7936B36D8";"11.8855";"TO";"Nova Rosalândia";"0.1486";"IRU";"AT";"Aguardando analise"
" TO-1715002-4E44FA3A09E84B8F87025166303FA12E";"0.0410";"TO";"Nova Rosalândia";"0.0005";"IRU";"AT";"Aguardando analise"
" TO-1715002-7CD9E89C65454218BAFD8FC1184D6469";"48.9898";"TO";"Nova Rosalândia";"0.6124";"IRU";"AT";"Aguardando analise"
" TO-1715002-8FE40C71126A438FA70297E62D5F7615";"7.1131";"TO";"Nova Rosalândia";"0.0889";"IRU";"AT";"Aguardando analise"
" TO-1715002-6B7601176A7E4A21AA2C2C6B6FD5B8E5";"188.4763";"TO";"Nova Rosalândia";"2.3560";"IRU";"AT";"Aguardando analise"
" TO-1715002-9F8A9394FE6F49688864D58A31D0722E";"878.4437";"TO";"Nova Rosalândia";"10.9805";"IRU";"AT";"Aguardando analise"
" TO-1715002-E99EBDC85C3D4F6CA9F11DA07C95A8D3";"3.4510";"TO";"Nova Rosalândia";"0.0431";"IRU";"AT";"Aguardando analise"
" TO-1715002-81E2BCD052B64D77BDE8AECB5D4F862A";"100.0131";"TO";"Nova Rosalândia";"1.2502";"IRU";"AT";"Aguardando analise"
" TO-1715002-17381A0FDDFB4CFAAE2BDC49E8A32C8F";"2.3710";"TO";"Nova Rosalândia";"0.0296";"IRU";"AT";"Aguardando analise"
" TO-1715002-7082732BBD0F4EA88E558EB283B57E50";"29.6489";"TO";"Nova Rosalândia";"0.3706";"IRU";"CA";"CANCELADO_POR_DECISAO_ADMINISTRATIVA"
" TO-1715002-75C6C6E4EB864CEFA66749ED57E2DF1E";"69.8937";"TO";"Nova Rosalândia";"0.8737";"IRU";"AT";"Aguardando analise"
" TO-1715002-1647D7917FB54107AB2E0095B33A2267";"272.6946";"TO";"Nova Rosalândia";"3.4087";"IRU";"AT";"Aguardando analise"
" TO-1715002-0AE1695369DB47EA9117148AE2EB9FF9";"280.6413";"TO";"Nova Rosalândia";"3.5080";"IRU";"AT";"Aguardando analise"
" TO-1715002-2EF401EF67E9415DB43E24B29F5F6565";"22.5978";"TO";"Nova Rosalândia";"0.2825";"IRU";"AT";"Aguardando analise"
" TO-1715002-9357FD7B16B940C5B62E5AE5E02ACA6C";"0.0391";"TO";"Nova Rosalândia";"0.0005";"IRU";"AT";"Aguardando analise"
" TO-1715002-252DCD74962F4F73A4AFE25C7A9D26C2";"10.2370";"TO";"Nova Rosalândia";"0.1280";"IRU";"AT";"Aguardando analise"
" TO-1715002-9BA07CD400404F0CA4EADB2C34317758";"167.8647";"TO";"Nova Rosalândia";"2.0983";"IRU";"AT";"Aguardando analise"
" TO-1715002-9ABAB1E915B94DD4B2DD5FA51F86AB68";"352.8822";"TO";"Nova Rosalândia";"4.4110";"IRU";"AT";"Aguardando analise"
" TO-1715002-422A5C44B3774F7596ED0CF9CC601ABE";"102.7254";"TO";"Nova Rosalândia";"1.2841";"IRU";"AT";"Aguardando analise"
" TO-1715002-40A59E386E164BDB92ACC676FE9B70F0";"42.8011";"TO";"Nova Rosalândia";"0.5350";"IRU";"AT";"Aguardando analise"
" TO-1715002-213F5422DB70430D8614CF0737BEEE0F";"2.9212";"TO";"Nova Rosalândia";"0.0365";"IRU";"AT";"Aguardando análise"
" TO-1715002-56B39531BA214D6BAEF2578CEE27307F";"0.1709";"TO";"Nova Rosalândia";"0.0021";"IRU";"AT";"Aguardando analise"
