"                                                 car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                                 "
" TO-1715507-EA115C1CEECB4D25A3EB39A565C55EFC";"92.0186";"TO";"Oliveira de Fátima";"1.1502";"IRU";"AT";"Aguardando analise"
" TO-1715507-5EBE590A281D491C8DBE918CDD2E3AFC";"113.1817";"TO";"Oliveira de Fátima";"1.4148";"IRU";"AT";"Aguardando analise"
" TO-1715507-229845E59CFF402E969DFB85404AD154";"24.4187";"TO";"Oliveira de Fátima";"0.3052";"IRU";"AT";"Aguardando análise"
" TO-1715507-4980AEA2BE83422D80285F2D44C149D4";"66.0309";"TO";"Oliveira de Fátima";"0.8254";"IRU";"AT";"Aguardando análise"
" TO-1715507-017FE48F0736449F9D9AF5A18BF024C7";"56.3345";"TO";"Oliveira de Fátima";"0.7042";"IRU";"AT";"Aguardando análise"
" TO-1715507-EC109B1D553042DAA0FE61BA7F83B075";"382.6747";"TO";"Oliveira de Fátima";"4.7834";"IRU";"AT";"Aguardando analise"
" TO-1715507-701DFA56FE314733BD71A778E0B94261";"301.1122";"TO";"Oliveira de Fátima";"3.7639";"IRU";"AT";"Aguardando analise"
" TO-1715507-09A62E9AF2FD4AB7A5DE1B3D99EC379B";"79.0675";"TO";"Oliveira de Fátima";"0.9883";"IRU";"AT";"Aguardando analise"
" TO-1715507-33510E34D8CD47F988F71BC070814A30";"141.8492";"TO";"Oliveira de Fátima";"1.7731";"IRU";"CA";"CANCELADO_POR_DECISAO_ADMINISTRATIVA"
" TO-1715507-B582FDB2393242A481C4D9AD47095C52";"48.2064";"TO";"Oliveira de Fátima";"0.6026";"IRU";"AT";"Aguardando analise"
" TO-1715507-7C95A9C7E88040388C7FE887DA5F1A45";"40.8368";"TO";"Oliveira de Fátima";"0.5105";"IRU";"AT";"Aguardando análise"
" TO-1715507-587271714D3C49249B437478E3AAB7AA";"216.6251";"TO";"Oliveira de Fátima";"2.7078";"IRU";"AT";"Aguardando analise"
