"                                                       car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                                       "
" TO-1718204-70C5E355463A43D6B9C8A8EFDBEBCBA5";"4.0304";"TO";"Porto Nacional";"0.0504";"IRU";"AT";"Aguardando análise"
" TO-1718204-BEC5E264D3BE4C62A6CB4F266F0A3A2D";"43.3755";"TO";"Porto Nacional";"0.5422";"IRU";"AT";"Aguardando análise"
" TO-1718204-1B4859C9E7314B7EB3B59FABF6400B24";"9.8691";"TO";"Porto Nacional";"0.1234";"IRU";"AT";"Aguardando analise"
" TO-1718204-76A5168F5A63453BBCA2DABB1B58D5B2";"57.3491";"TO";"Porto Nacional";"0.7169";"IRU";"AT";"Aguardando analise"
" TO-1718204-5F1D289F5EEC459F83FB13B84DD1D334";"66.5363";"TO";"Porto Nacional";"0.8317";"IRU";"AT";"Aguardando análise"
" TO-1718204-A7C783D40FD540BC8533E46147216CF4";"3.9544";"TO";"Porto Nacional";"0.0494";"IRU";"AT";"Aguardando analise"
" TO-1718204-E3786231D7614D95BF881A7FFDDE491C";"91.3458";"TO";"Porto Nacional";"1.1418";"IRU";"AT";"Aguardando análise"
" TO-1718204-EF0C9EB9499C4350987A5DA72D7E3F0D";"570.9295";"TO";"Porto Nacional";"7.1366";"IRU";"AT";"Aguardando analise"
" TO-1718204-69F0C1BDCC0B43F1B4D20C4BD32AD37D";"149.9573";"TO";"Porto Nacional";"1.8745";"IRU";"AT";"Aguardando análise"
" TO-1718204-35DDE08724804079A661C6DEFDEBAE03";"27.9786";"TO";"Porto Nacional";"0.3497";"IRU";"AT";"Aguardando análise"
" TO-1718204-B15FE73F0629455189A3BE4D1CEB9DD9";"50.8595";"TO";"Porto Nacional";"0.6357";"IRU";"AT";"Aguardando análise"
" TO-1718204-3E56D55A38F8431FA8F96DFCC7499226";"34.6491";"TO";"Porto Nacional";"0.4331";"IRU";"AT";"Aguardando análise"
" TO-1718204-D91AEBFFACAB4200AE89D27FCABCADFB";"26.7226";"TO";"Porto Nacional";"0.3340";"IRU";"AT";"Aguardando análise"
" TO-1718204-11491A446B4E4585BBBA237FDE842163";"91.9768";"TO";"Porto Nacional";"1.1497";"IRU";"AT";"Aguardando análise"
" TO-1718204-1A82CE2C6A90476A9CA0E986CAFC2F64";"204.9315";"TO";"Porto Nacional";"2.5616";"IRU";"AT";"Aguardando analise"
" TO-1718204-444FFD0736234FC195D51BAF444F8AAE";"19.2873";"TO";"Porto Nacional";"0.2411";"IRU";"CA";"CANCELADO_POR_DECISAO_ADMINISTRATIVA"
" TO-1718204-8474860A18C04427B0F3A8146BEA5AAC";"132.3842";"TO";"Porto Nacional";"1.6548";"IRU";"AT";"Aguardando análise"
" TO-1718204-9395CD6C9130418EBBBF45750EFCFB3D";"110.1961";"TO";"Porto Nacional";"1.3775";"IRU";"CA";"CANCELADO_POR_DECISAO_ADMINISTRATIVA"
" TO-1718204-4DF6409DF7604B06B559360405EBA973";"27.8026";"TO";"Porto Nacional";"0.3475";"IRU";"AT";"Aguardando análise"
" TO-1718204-BB9E989D49AB44E1B3FCA5C47E05A131";"32.1326";"TO";"Porto Nacional";"0.4017";"IRU";"AT";"Aguardando análise"
" TO-1718204-81C05E257D0044D3890700EF60CCE74E";"14.7109";"TO";"Porto Nacional";"0.1839";"IRU";"AT";"Aguardando análise"
" TO-1718204-6942D3D1742F463F8DE73D8E91BB9103";"4.7884";"TO";"Porto Nacional";"0.0599";"IRU";"AT";"Aguardando analise"
" TO-1718204-5C1BA902517E428B8E21987E64C383AF";"7.3890";"TO";"Porto Nacional";"0.0924";"IRU";"AT";"Aguardando análise"
" TO-1718204-ACD32D9C7CE544188210B0F04A22B954";"54.9983";"TO";"Porto Nacional";"0.6875";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
