"                                           car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                           "
" TO-1718451-94ED11C3BF8749CFBDF631B83080EF3F";"72.6503";"TO";"Pugmil";"0.9081";"IRU";"AT";"Aguardando análise"
" TO-1718451-C76E0A727AAC49FA9279710DDFFA8067";"123.9093";"TO";"Pugmil";"1.5489";"IRU";"AT";"Aguardando análise"
" TO-1718451-89AA016CFE32493BB6A57165C22AF382";"281.3014";"TO";"Pugmil";"3.5162";"IRU";"AT";"Aguardando analise"
" TO-1718451-DDA819B810794E8A8E579303D6A1F2A4";"16.8429";"TO";"Pugmil";"0.2105";"IRU";"AT";"Aguardando analise"
" TO-1718451-77CE1195E98A49F48C56D40381C6FFE4";"22.7439";"TO";"Pugmil";"0.2843";"IRU";"AT";"Aguardando analise"
" TO-1718451-9F5DD97C1AD64C07BC089224063EB84E";"331.5705";"TO";"Pugmil";"4.1446";"IRU";"CA";"CANCELADO_POR_DECISAO_ADMINISTRATIVA"
" TO-1718451-757272A0CCB0424E819B65AC6FA41FA7";"169.0198";"TO";"Pugmil";"2.1127";"IRU";"AT";"Aguardando análise"
" TO-1718451-D1256945F8654B0CA8E3F417FCD2FD14";"498.8514";"TO";"Pugmil";"6.2357";"IRU";"AT";"Aguardando analise"
" TO-1718451-1BA69B9F2A724E5287A694F64532A166";"262.5378";"TO";"Pugmil";"3.2817";"IRU";"AT";"Aguardando analise"
" TO-1718451-8BF5AFBE12A0400BA0342BA11EA47C8D";"127.5179";"TO";"Pugmil";"1.5940";"IRU";"AT";"Aguardando análise"
" TO-1718451-EB204A87C0EB41368626DC1BF5B103B2";"43.6675";"TO";"Pugmil";"0.5458";"IRU";"AT";"Aguardando analise"
" TO-1718451-7BDD0CB4713B49B5A04CA9037C7D6BA5";"39.4934";"TO";"Pugmil";"0.4937";"IRU";"AT";"Aguardando análise"
" TO-1718451-CC9ADA2C857D4487A8AF7488C8BF2515";"20.3556";"TO";"Pugmil";"0.2544";"IRU";"AT";"Aguardando analise"
" TO-1718451-FBAABD69BA864977A153682E4BF14893";"18.4025";"TO";"Pugmil";"0.2300";"IRU";"AT";"Aguardando analise"
" TO-1718451-7C72C49EA5F54D4EA64819B58BDA3AC3";"51.8316";"TO";"Pugmil";"0.6479";"IRU";"AT";"Aguardando analise"
" TO-1718451-357BC3155F2A458289D94442DA93A109";"283.6698";"TO";"Pugmil";"3.5459";"IRU";"CA";"CANCELADO_POR_DECISAO_ADMINISTRATIVA"
" TO-1718451-4C7A5333B66A400BB899EAA7E25CF72D";"27.7778";"TO";"Pugmil";"0.3472";"IRU";"AT";"Aguardando analise"
" TO-1718451-71336B2447174D45B066196833D95A0A";"319.9615";"TO";"Pugmil";"3.9995";"IRU";"AT";"Aguardando analise"
" TO-1718451-96560ACB17074FE594D07EBBF7132558";"73.6804";"TO";"Pugmil";"0.9210";"IRU";"AT";"Aguardando análise"
" TO-1718451-69406A11234B43D3BF3A86EED660B943";"225.9031";"TO";"Pugmil";"2.8237";"IRU";"AT";"Aguardando analise"
" TO-1718451-42BDB97D78654EDA81D9A82F719B296B";"52.8701";"TO";"Pugmil";"0.6609";"IRU";"AT";"Aguardando análise"
" TO-1718451-697712020F614619926F430F8B7A6880";"62.8778";"TO";"Pugmil";"0.7860";"IRU";"AT";"Aguardando análise"
" TO-1718451-56E89AB819174B61928987B99753844F";"53.2413";"TO";"Pugmil";"0.6655";"IRU";"AT";"Aguardando análise"
" TO-1718451-2E88DD7BCF784D8D85D0A44B7193F8B8";"12.2822";"TO";"Pugmil";"0.1535";"IRU";"AT";"Aguardando análise"
" TO-1718451-380ED3C869C14054BE1CCE5DB8F53DD6";"70.8349";"TO";"Pugmil";"0.8854";"IRU";"AT";"Aguardando analise"
" TO-1718451-98A82A07A4504EF785CDAE092F37557F";"50.9236";"TO";"Pugmil";"0.6365";"IRU";"AT";"Aguardando analise"
" TO-1718451-0A0D07A7A9064840B1A3B7221F1C5329";"136.4936";"TO";"Pugmil";"1.7062";"IRU";"AT";"Aguardando analise"
