"                                                        car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                                        "
" MA-2109106-194AAEFA936D4D70A586D8B4A3F98000";"1.2632";"MA";"Presidente Dutra";"0.0180";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MA-2109106-191CE292ADB94E1694B5DD835075F656";"14.3505";"MA";"Presidente Dutra";"0.2050";"IRU";"AT";"Aguardando analise"
" MA-2109106-0E592313744945F0AE09FD5AC431CA29";"35.1935";"MA";"Presidente Dutra";"0.5028";"IRU";"AT";"Aguardando análise"
" MA-2109106-06FBCC814F7D4EF8BDDE5B1AAC00D892";"24.4359";"MA";"Presidente Dutra";"0.3491";"IRU";"AT";"Aguardando análise"
" MA-2109106-CFEF89C1E1514E37A476D293B7C781FC";"35.2997";"MA";"Presidente Dutra";"0.5043";"IRU";"AT";"Aguardando analise"
" MA-2109106-76FA9BEA9CF4422ABA82A7F9DFB38133";"0.1769";"MA";"Presidente Dutra";"0.0025";"IRU";"AT";"Aguardando analise"
" MA-2109106-36EA5CDDAEE04647B0CB90D5FFD8D581";"13.2945";"MA";"Presidente Dutra";"0.1899";"IRU";"AT";"Aguardando análise"
" MA-2109106-8B46BD7561634CF4A3A1B3D9380E4778";"11.7772";"MA";"Presidente Dutra";"0.1682";"IRU";"AT";"Aguardando analise"
" MA-2109106-475C294BAAAC4031982A7E68E28DE8E1";"20.8368";"MA";"Presidente Dutra";"0.2977";"IRU";"AT";"Aguardando analise"
" MA-2109106-79F9778C34F24109AEA9D3AEC78C4C41";"58.1532";"MA";"Presidente Dutra";"0.8308";"IRU";"AT";"Aguardando análise"
" MA-2109106-625C90D5CAE740AFA07F1270573418FB";"20.2088";"MA";"Presidente Dutra";"0.2887";"IRU";"AT";"Aguardando analise"
" MA-2109106-8CD462AC0C4748DC8EE79DD5D5FC3F7C";"95.1239";"MA";"Presidente Dutra";"1.3589";"IRU";"PE";"Aguardando análise, não passível de revisão de dados"
" MA-2109106-AA5A4C97EB6947A6AFC55E256A12856D";"84.1142";"MA";"Presidente Dutra";"1.2016";"IRU";"AT";"Aguardando analise"
" MA-2109106-53333D8D64C14D42AA85B3601C3603A7";"25.0001";"MA";"Presidente Dutra";"0.3571";"IRU";"AT";"Aguardando analise"
" MA-2109106-83D67114609F47D3807E6A1A1969CAB6";"131.7356";"MA";"Presidente Dutra";"1.8819";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MA-2109106-72EDE7D40BFE439F9FC733392D221DA6";"48.1503";"MA";"Presidente Dutra";"0.6879";"IRU";"AT";"Aguardando analise"
" MA-2109106-3C571F7F21BE4EB2802EA0CD93438C99";"5.9955";"MA";"Presidente Dutra";"0.0857";"IRU";"AT";"Aguardando analise"
" MA-2109106-1C788B75B55C40D88E7DDC730D897BCD";"1.4497";"MA";"Presidente Dutra";"0.0207";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MA-2109106-40C7D82C8ACB47ABBF55E443BBC81052";"14.4954";"MA";"Presidente Dutra";"0.2071";"IRU";"AT";"Aguardando analise"
" MA-2109106-AA5F55700DB4441DA709B303A451E400";"75.6736";"MA";"Presidente Dutra";"1.0811";"IRU";"AT";"Aguardando analise"
" MA-2109106-CDE3D1537AA44B5DA56BFBAF3BA73971";"20.3154";"MA";"Presidente Dutra";"0.2902";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MA-2109106-2E82604C3D1044D4A08C8208D3A25EA3";"1.7690";"MA";"Presidente Dutra";"0.0253";"IRU";"AT";"Aguardando analise"
" MA-2109106-2BB6EFC9D9A248E4A6A4E552CC1430BD";"30.0292";"MA";"Presidente Dutra";"0.4290";"IRU";"AT";"Aguardando analise"
" MA-2109106-F61538C76A0B4DFBB8D24E614682DDF7";"58.7107";"MA";"Presidente Dutra";"0.8387";"IRU";"AT";"Aguardando analise"
" MA-2109106-4BF726D86FF44991B0CEDC9019C9AC36";"46.0967";"MA";"Presidente Dutra";"0.6585";"IRU";"AT";"Aguardando analise"
" MA-2109106-9D975726AA7E4E64BFAC44EFFC3FF40D";"14.6059";"MA";"Presidente Dutra";"0.2087";"IRU";"AT";"Aguardando analise"
" MA-2109106-F675999D2B6B44DD8F50161830DA72C4";"20.6042";"MA";"Presidente Dutra";"0.2943";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MA-2109106-677557CB69CA43829CCB3FCD02802699";"13.5389";"MA";"Presidente Dutra";"0.1934";"IRU";"AT";"Aguardando analise"
" MA-2109106-0C94BBB173354EC59E77B2AB2A8453C2";"2.4895";"MA";"Presidente Dutra";"0.0356";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MA-2109106-717EB1ED0F1C4D0E8BD04F4570B8DC14";"45.0310";"MA";"Presidente Dutra";"0.6433";"IRU";"AT";"Aguardando analise"
" MA-2109106-DDCD1ECBC98A4DEAA36D8D9992455DAB";"2.5746";"MA";"Presidente Dutra";"0.0368";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MA-2109106-1DB074E1C3AF45D6BCD626F6BFAE7AE9";"136.3471";"MA";"Presidente Dutra";"1.9478";"IRU";"AT";"Aguardando analise"
" MA-2109106-9DE522B7794A4F7CBF2BAE7FC4E0AE40";"19.8733";"MA";"Presidente Dutra";"0.2839";"IRU";"AT";"Aguardando analise"
" MA-2109106-3CBF04FCCF944598BD5E175D727ADBCC";"26.8607";"MA";"Presidente Dutra";"0.3837";"IRU";"AT";"Aguardando analise"
" MA-2109106-3A28AB9275294F428E6C3226BD886699";"29.5588";"MA";"Presidente Dutra";"0.4223";"IRU";"AT";"Aguardando analise"
" MA-2109106-277B8F3032724A13AE3E17E9B109C58B";"3.7377";"MA";"Presidente Dutra";"0.0534";"IRU";"AT";"Aguardando analise"
" MA-2109106-229E6F7F1BBB47F880B5D74E52E84C40";"113.7596";"MA";"Presidente Dutra";"1.6251";"IRU";"AT";"Aguardando analise"
" MA-2109106-2A5CCC6BFAA8490F89E784A9AFC1D300";"60.7011";"MA";"Presidente Dutra";"0.8672";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MA-2109106-F6778A497A884589A1E1F45C424FADB1";"28.6107";"MA";"Presidente Dutra";"0.4087";"IRU";"AT";"Aguardando analise"
" MA-2109106-C8FD2B90D8684BA8B2A6FDF10A365B5E";"13.5926";"MA";"Presidente Dutra";"0.1942";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MA-2109106-446F01BFF0B44F0A85482893210BEDD3";"0.0839";"MA";"Presidente Dutra";"0.0012";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MA-2109106-FA0E55B14F65485AA8263FF72870B0E1";"9.0646";"MA";"Presidente Dutra";"0.1295";"IRU";"AT";"Aguardando analise"
" MA-2109106-A8AE75ECC8DB40659DE98DF2EC3BCCDA";"21.9527";"MA";"Presidente Dutra";"0.3136";"IRU";"AT";"Aguardando analise"
" MA-2109106-244DF11F5E5E40FDAFABD3F97BF8DCDD";"20.3426";"MA";"Presidente Dutra";"0.2906";"IRU";"AT";"Aguardando analise"
" MA-2109106-08637C1FC86E4339BB34EB80F63BC5BB";"31.4164";"MA";"Presidente Dutra";"0.4488";"IRU";"PE";"Aguardando análise, não passível de revisão de dados"
" MA-2109106-102660C2E3DF49B79901F9A89446CBA3";"26.7484";"MA";"Presidente Dutra";"0.3821";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MA-2109106-F4BC85FCF73B4CA5B0E5EB29AFB63E2F";"24.0077";"MA";"Presidente Dutra";"0.3430";"IRU";"AT";"Aguardando analise"
