"                                                             car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                                             "
" MA-2109759-2AC72D0F14B54863BE7F5C7669195F18";"5.0000";"MA";"Santa Filomena do Maranhão";"0.0714";"IRU";"AT";"Aguardando analise"
" MA-2109759-1A82973A94024D478C53DB96BEEC7279";"22.2587";"MA";"Santa Filomena do Maranhão";"0.3180";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MA-2109759-478B26127F1B4532B9911446EE3077B3";"2.6168";"MA";"Santa Filomena do Maranhão";"0.0374";"IRU";"AT";"Aguardando analise"
" MA-2109759-76C9F994AAE74F71BAE8C70108331300";"64.8761";"MA";"Santa Filomena do Maranhão";"0.9268";"IRU";"AT";"Aguardando analise"
" MA-2109759-C33B59A8B0474110BE0D639C4999CA5F";"49.9768";"MA";"Santa Filomena do Maranhão";"0.7140";"IRU";"AT";"Aguardando analise"
" MA-2109759-59BEF1C88F2543F08A85F535CBC66AA1";"27.0898";"MA";"Santa Filomena do Maranhão";"0.3870";"IRU";"AT";"Aguardando analise"
" MA-2109759-A39C142B1EF844A1BFDAAF937713B56A";"99.2116";"MA";"Santa Filomena do Maranhão";"1.4173";"IRU";"AT";"Aguardando analise"
" MA-2109759-24F21B781BEF49F69D764ED7A67BD489";"272.9062";"MA";"Santa Filomena do Maranhão";"3.8987";"IRU";"AT";"Aguardando analise"
" MA-2109759-3E234E5E30B14D74A5887158C0AC257B";"56.0071";"MA";"Santa Filomena do Maranhão";"0.8001";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MA-2109759-00B4B1F20AC842AE851E723FEE644131";"17.8642";"MA";"Santa Filomena do Maranhão";"0.2552";"IRU";"AT";"Aguardando analise"
" MA-2109759-959161C35292494C96B3131E45F22919";"51.5809";"MA";"Santa Filomena do Maranhão";"0.7369";"IRU";"AT";"Aguardando analise"
" MA-2109759-EBA1214BC2C44E8FAA3B692535F0813A";"25.6342";"MA";"Santa Filomena do Maranhão";"0.3662";"IRU";"AT";"Aguardando analise"
" MA-2109759-5065E20275E6435FA1A59FC80E1A074D";"46.1097";"MA";"Santa Filomena do Maranhão";"0.6587";"IRU";"AT";"Aguardando analise"
" MA-2109759-F3ABE41D936543AAA99C488CFA29D22B";"29.5956";"MA";"Santa Filomena do Maranhão";"0.4228";"IRU";"AT";"Aguardando analise"
" MA-2109759-9112C7B316C34CF0BD826B4599688742";"126.5863";"MA";"Santa Filomena do Maranhão";"1.8084";"IRU";"AT";"Aguardando analise"
" MA-2109759-77E957FA702648669F9E388A986F4686";"177.6956";"MA";"Santa Filomena do Maranhão";"2.5385";"IRU";"AT";"Aguardando analise"
