"                                                           car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                                            "
" MA-2110708-5825FDDF2CE6411AB228452CD3AC6622";"19.0829";"MA";"São Domingos do Maranhão";"0.2726";"IRU";"AT";"Aguardando análise"
" MA-2110708-E745D5CACD724D9F9929891CCF98570A";"14.6388";"MA";"São Domingos do Maranhão";"0.2091";"IRU";"AT";"Aguardando analise"
" MA-2110708-D61FA2C2532242B2906EB41AF4B674FC";"47.6355";"MA";"São Domingos do Maranhão";"0.6805";"IRU";"AT";"Aguardando análise"
" MA-2110708-872800AE4D5F4278B860C3FADFF7ED7A";"4.2982";"MA";"São Domingos do Maranhão";"0.0614";"IRU";"AT";"Aguardando análise"
" MA-2110708-0F125F2B0A2545339B69340A01341AC9";"25.6487";"MA";"São Domingos do Maranhão";"0.3664";"IRU";"AT";"Aguardando análise"
" MA-2110708-CD874949022B4EA8AB07D89FA6E11253";"41.5117";"MA";"São Domingos do Maranhão";"0.5930";"IRU";"AT";"Aguardando análise"
" MA-2110708-72622DAA368E4F138245DEA883E8478A";"22.0457";"MA";"São Domingos do Maranhão";"0.3149";"IRU";"AT";"Aguardando análise"
" MA-2110708-95BCBAFE5C9F4A73838802AD04D9649E";"25.9474";"MA";"São Domingos do Maranhão";"0.3707";"IRU";"AT";"Aguardando análise"
" MA-2110708-E7BB357139134730AE60D3A1D52A2430";"18.8605";"MA";"São Domingos do Maranhão";"0.2694";"IRU";"AT";"Aguardando análise"
" MA-2110708-33B37918EC8648718A8DEDEB5AEFA49A";"35.0000";"MA";"São Domingos do Maranhão";"0.5000";"IRU";"AT";"Aguardando analise"
" MA-2110708-15D82209D67E45948A0D5F7639319FD2";"35.0951";"MA";"São Domingos do Maranhão";"0.5014";"IRU";"AT";"Aguardando analise"
" MA-2110708-A0CB364FE7564A33B2400470861B6E58";"42.3695";"MA";"São Domingos do Maranhão";"0.6053";"IRU";"AT";"Aguardando analise"
" MA-2110708-9DBBEF41BC104D489D9666425B8D6FAC";"9.0319";"MA";"São Domingos do Maranhão";"0.1290";"IRU";"AT";"Aguardando analise"
" MA-2110708-347E890434124F3BBA303317985E222D";"31.4347";"MA";"São Domingos do Maranhão";"0.4491";"IRU";"AT";"Aguardando analise"
" MA-2110708-F378A6C69154426892F3E8D6EE72E87F";"8.6813";"MA";"São Domingos do Maranhão";"0.1240";"IRU";"AT";"Aguardando análise"
" MA-2110708-2D5CA6924124484FAD8E642569158FCE";"30.3624";"MA";"São Domingos do Maranhão";"0.4337";"IRU";"AT";"Aguardando análise"
" MA-2110708-F4CA5664382247E0B9C032F9EE833634";"78.9390";"MA";"São Domingos do Maranhão";"1.1277";"IRU";"AT";"Aguardando análise"
" MA-2110708-B0C6A8C25DD04411AA4F43409C21C7C9";"26.8093";"MA";"São Domingos do Maranhão";"0.3830";"IRU";"AT";"Aguardando analise"
" MA-2110708-1922B5A2EB6E4CBD9A823210C5F2909E";"8.8226";"MA";"São Domingos do Maranhão";"0.1260";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MA-2110708-DE74BD4840A445548F49BEC55D049FFE";"45.7696";"MA";"São Domingos do Maranhão";"0.6539";"IRU";"AT";"Aguardando analise"
" MA-2110708-8C1D25BA0B3C43459A56ED2460827280";"16.2528";"MA";"São Domingos do Maranhão";"0.2322";"IRU";"AT";"Aguardando analise"
" MA-2110708-82BDDF56A2534C22B97BFCB2A8B0A95B";"3.1328";"MA";"São Domingos do Maranhão";"0.0448";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MA-2110708-CD5832B7E1664CCFAF898A30ABE8DBEC";"22.7802";"MA";"São Domingos do Maranhão";"0.3254";"IRU";"AT";"Aguardando analise"
" MA-2110708-4D5F5D2CC4BC491DB39EBCECE0108B67";"166.4134";"MA";"São Domingos do Maranhão";"2.3773";"IRU";"AT";"Aguardando analise"
" MA-2110708-D0A6B506C1DB42E4922845525260A6FD";"116.3714";"MA";"São Domingos do Maranhão";"1.6624";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MA-2110708-B761786352854E02B6812F2446077072";"6.3587";"MA";"São Domingos do Maranhão";"0.0908";"IRU";"AT";"Aguardando analise"
" MA-2110708-F42B399461DE444292FFCEDAD6A68954";"0.1049";"MA";"São Domingos do Maranhão";"0.0015";"IRU";"AT";"Aguardando analise"
" MA-2110708-921E0656AD3D4F9586CD425234907ED2";"0.1051";"MA";"São Domingos do Maranhão";"0.0015";"IRU";"AT";"Aguardando analise"
" MA-2110708-D6DB5632F9D54C1BA701351B6965D3A4";"28.7970";"MA";"São Domingos do Maranhão";"0.4114";"IRU";"AT";"Aguardando analise"
" MA-2110708-CFB52B46BA3A49AAB3F691BDCDA979C0";"24.3893";"MA";"São Domingos do Maranhão";"0.3484";"IRU";"AT";"Aguardando analise"
" MA-2110708-4D5B9DC01A0D42A7922F3C363CBA171B";"20.1109";"MA";"São Domingos do Maranhão";"0.2873";"IRU";"AT";"Aguardando analise"
" MA-2110708-A623E4476D744EED80967C6C01D1802D";"82.0264";"MA";"São Domingos do Maranhão";"1.1718";"IRU";"AT";"Aguardando analise"
" MA-2110708-846D09F565874085932F33DD4E77693B";"22.2556";"MA";"São Domingos do Maranhão";"0.3179";"IRU";"AT";"Aguardando analise"
" MA-2110708-A4B5D83A5E0C439292780C58DD0C95FA";"39.0111";"MA";"São Domingos do Maranhão";"0.5573";"IRU";"AT";"Aguardando analise"
" MA-2110708-3D3F1D2011C34F3CB36ACA89DFC8B916";"34.5257";"MA";"São Domingos do Maranhão";"0.4932";"IRU";"AT";"Aguardando analise"
" MA-2110708-67FA7DE5703C40C1BED05B24DEB6BC86";"28.7256";"MA";"São Domingos do Maranhão";"0.4104";"IRU";"AT";"Aguardando analise"
" MA-2110708-CA242E0AAF66435F90533E027F4D93D3";"39.6588";"MA";"São Domingos do Maranhão";"0.5666";"IRU";"AT";"Aguardando analise"
" MA-2110708-7EFD3BA714F74FEB80F1874507DC285C";"11.6753";"MA";"São Domingos do Maranhão";"0.1668";"IRU";"AT";"Aguardando analise"
" MA-2110708-116CD1B0C55840F2BA2B195231A346CF";"44.1719";"MA";"São Domingos do Maranhão";"0.6310";"IRU";"AT";"Aguardando analise"
" MA-2110708-3E3F6D2423AD405DAA3DFBF6E94CD6C0";"22.3865";"MA";"São Domingos do Maranhão";"0.3198";"IRU";"AT";"Aguardando analise"
" MA-2110708-63B73BCB2C904C18ABE9F5B8D40ACB1A";"20.1383";"MA";"São Domingos do Maranhão";"0.2877";"IRU";"AT";"Aguardando analise"
" MA-2110708-407D20A42C7B46359FA288C2EA19DAE8";"0.9217";"MA";"São Domingos do Maranhão";"0.0132";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MA-2110708-2D8ACB3C2DDE47898C4EEBF6B5AEE2C9";"48.2250";"MA";"São Domingos do Maranhão";"0.6889";"IRU";"AT";"Aguardando analise"
" MA-2110708-83D1D7A278D044939BC94E711057A26C";"16.6200";"MA";"São Domingos do Maranhão";"0.2374";"IRU";"AT";"Aguardando analise"
" MA-2110708-728643FEE26F4FA6BFFC99B29AB9CF6F";"16.1980";"MA";"São Domingos do Maranhão";"0.2314";"IRU";"AT";"Aguardando analise"
" MA-2110708-9296670CAA5E4D0987D64DAE52272CB1";"44.4488";"MA";"São Domingos do Maranhão";"0.6350";"IRU";"AT";"Aguardando analise"
" MA-2110708-1636B19691BF4E8DA1ADCC5A92468102";"0.6030";"MA";"São Domingos do Maranhão";"0.0086";"IRU";"AT";"Aguardando analise"
" MA-2110708-6CEB601BD36F475BA635747253054556";"88.8182";"MA";"São Domingos do Maranhão";"1.2688";"IRU";"AT";"Aguardando analise"
" MA-2110708-64C067CD52AB473E86EECDD68DCACFDC";"96.1101";"MA";"São Domingos do Maranhão";"1.3730";"IRU";"AT";"Aguardando analise"
" MA-2110708-D0C90F4913484EFC9E0AB42596D09F86";"169.9300";"MA";"São Domingos do Maranhão";"2.4276";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MA-2110708-E8178AA96C10427DA8084A0B382E06B7";"4.6317";"MA";"São Domingos do Maranhão";"0.0662";"IRU";"AT";"Aguardando analise"
" MA-2110708-B827E96AE02B442C8ABFF0880F98B65F";"51.5585";"MA";"São Domingos do Maranhão";"0.7366";"IRU";"AT";"Aguardando analise"
" MA-2110708-24FC25C4404C493E97EBC5770C18D2AD";"24.7115";"MA";"São Domingos do Maranhão";"0.3530";"IRU";"AT";"Aguardando analise"
" MA-2110708-9E88E7F460154F80959CBBFCB0738A69";"16.8932";"MA";"São Domingos do Maranhão";"0.2413";"IRU";"AT";"Aguardando analise"
" MA-2110708-EA5CFD81DF3F4F81A6C1528F84C93E46";"8.4013";"MA";"São Domingos do Maranhão";"0.1200";"IRU";"AT";"Aguardando analise"
" MA-2110708-DA86C9247C6E4E13B937E9044630DE85";"55.3205";"MA";"São Domingos do Maranhão";"0.7903";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MA-2110708-089CD56357BD48738F8F25F44349B181";"0.3807";"MA";"São Domingos do Maranhão";"0.0054";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MA-2110708-FED718E2144A4629AAB3A5149B1B727A";"0.4484";"MA";"São Domingos do Maranhão";"0.0064";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MA-2110708-D490086EBE9C46BEB42539CB615AB723";"0.1802";"MA";"São Domingos do Maranhão";"0.0026";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MA-2110708-3CE73BC774E8465DA3E439D60AB87523";"30.6258";"MA";"São Domingos do Maranhão";"0.4375";"IRU";"AT";"Aguardando analise"
" MA-2110708-9E7B759A6E234D999F7C2B1DBC61FAA3";"23.3019";"MA";"São Domingos do Maranhão";"0.3329";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MA-2110708-EBB0FEB767FA4BD1910999A4F90EFC62";"5.6471";"MA";"São Domingos do Maranhão";"0.0807";"IRU";"AT";"Aguardando analise"
" MA-2110708-10BAF9377AC54F4BBE2EFCAFE34B1B20";"34.7012";"MA";"São Domingos do Maranhão";"0.4957";"IRU";"AT";"Aguardando analise"
" MA-2110708-6BFA7D030AAB4379888B298835ECCFE5";"259.1444";"MA";"São Domingos do Maranhão";"3.7021";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MA-2110708-C576F84BA39444D7896CCC753AB38555";"22.5287";"MA";"São Domingos do Maranhão";"0.3218";"IRU";"AT";"Aguardando analise"
" MA-2110708-04BB9269D32B4FE2A95ACB4E28D0FC15";"57.2110";"MA";"São Domingos do Maranhão";"0.8173";"IRU";"AT";"Aguardando analise"
" MA-2110708-2E4ABF8D8E594297A526C5BB6FE70876";"16.0451";"MA";"São Domingos do Maranhão";"0.2292";"IRU";"AT";"Aguardando analise"
" MA-2110708-AAB55C734FC24C6783299C74F0940733";"36.4848";"MA";"São Domingos do Maranhão";"0.5212";"IRU";"AT";"Aguardando analise"
