"                                                          car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                                           "
" MA-2111250-4C5401C2CD564576B512B3D341364F91";"0.5190";"MA";"São José dos Basílios";"0.0074";"IRU";"AT";"Aguardando analise"
" MA-2111250-ACB27F6E3BC5465393918430D1C11AEC";"86.3088";"MA";"São José dos Basílios";"1.2330";"IRU";"AT";"Aguardando analise"
" MA-2111250-1E4DA406D1354B8CB97C00C472EBBE1C";"70.4084";"MA";"São José dos Basílios";"1.0058";"IRU";"AT";"Aguardando analise"
" MA-2111250-E435A900A1A348798FCC7CB9C1D6F6F1";"30.0081";"MA";"São José dos Basílios";"0.4287";"IRU";"AT";"Aguardando analise"
" MA-2111250-0896064A4F0C4FF1A7B1F8AA87638E84";"81.0262";"MA";"São José dos Basílios";"1.1575";"IRU";"AT";"Aguardando analise"
" MA-2111250-4A26BD946A454D5382661DC3BB870C69";"0.3355";"MA";"São José dos Basílios";"0.0048";"IRU";"AT";"Aguardando analise"
" MA-2111250-5DF4FEDB8FF944059F1324B26D455120";"0.1381";"MA";"São José dos Basílios";"0.0020";"IRU";"AT";"Aguardando analise"
" MA-2111250-DC4B5F3005E4461A8927AEFFAB70F573";"3.2078";"MA";"São José dos Basílios";"0.0458";"IRU";"AT";"Aguardando analise"
" MA-2111250-9B37D3174DBF47B98F19AF150D73D86C";"0.0227";"MA";"São José dos Basílios";"0.0003";"IRU";"AT";"Aguardando analise"
" MA-2111250-9DC9A61A9C3B4D22B05E330BC25893B4";"31.5009";"MA";"São José dos Basílios";"0.4500";"IRU";"AT";"Aguardando analise"
" MA-2111250-0C9CB99461C048F5B3B1EBE38099A63A";"23.5212";"MA";"São José dos Basílios";"0.3360";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MA-2111250-DB1DEF0C0BE04C35B9009589FB8ACAE5";"0.1166";"MA";"São José dos Basílios";"0.0017";"IRU";"AT";"Aguardando analise"
" MA-2111250-607BAA34FF444345A45D20427415EA27";"52.8535";"MA";"São José dos Basílios";"0.7550";"IRU";"AT";"Aguardando analise"
" MA-2111250-83C0497BF9394604AAC12ECE7AB60923";"0.3301";"MA";"São José dos Basílios";"0.0047";"IRU";"AT";"Aguardando analise"
