"                                              car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                               "
" BA-2922250-C60AC41519084C0E8EA45864C551232E";;;;"1.0900";"IRU";"AT";"Aguardando analise"
" BA-2922250-51CA9175B8644F53ADA4D2A10B6B8805";"71.3063";"BA";"Muquém do São Francisco";"0.4600";"IRU";"AT";"Aguardando analise"
" BA-2922250-5022E473346B4FE7AB42A9D38765106D";"29.8748";"BA";"Muquém do São Francisco";"0.4600";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" BA-2922250-4723DEB1DD83411EB41B4C87781A3324";"29.9360";"BA";"Muquém do São Francisco";"0.4700";"IRU";"AT";"Aguardando analise"
" BA-2922250-92B8802C502740CD873021C5D58ECB12";"31.2306";"BA";"Muquém do São Francisco";"0.4600";"IRU";"AT";"Aguardando analise"
" BA-2922250-9E6E4E4C81894EB38E3869022654EB18";"29.0615";"BA";"Muquém do São Francisco";"0.0100";"IRU";"AT";"Aguardando analise"
" BA-2922250-4AE70AAD7EE3478EBA7645DCAEE544D0";"1.2869";"BA";"Muquém do São Francisco";"1.5500";"IRU";"AT";"Aguardando analise"
" BA-2922250-047758B3045B4B398B4251C2002C9C43";"100.8252";"BA";"Muquém do São Francisco";"0.0900";"IRU";"AT";"Aguardando analise"
" BA-2922250-BC8AE83C1B064290B94874FBECC82E3E";"6.0681";"BA";"Muquém do São Francisco";"0.2300";"IRU";"AT";"Aguardando analise"
" BA-2922250-11C8020DCD9F48A098B1D706BF399B26";"15.1577";"BA";"Muquém do São Francisco";"0.4200";"IRU";"AT";"Aguardando analise"
" BA-2922250-0BB4423F5C2E40C99D96E8FEE2D732E3";"27.7342";"BA";"Muquém do São Francisco";"0.1300";"IRU";"AT";"Aguardando analise"
" BA-2922250-DAEF8186B8274550A549F58B678FAA04";"8.5521";"BA";"Muquém do São Francisco";"60.5000";"AST";"AT";"Aguardando analise"
" BA-2922250-40A7835F095A4BE696F94316435F882C";"4103.3578";"BA";"Muquém do São Francisco";"0.8600";"IRU";"AT";"Aguardando analise"
" BA-2922250-36C0B19D03E74CC6BCD580EC1771F9D5";"53.1463";"BA";"Muquém do São Francisco";"0.0400";"IRU";"AT";"Aguardando analise"
" BA-2922250-39718D1BE78E4DA0A6CE5B0DD898C528";"3.2156";"BA";"Muquém do São Francisco";"0.0000";"IRU";"AT";"Aguardando analise"
" BA-2922250-A02AF8847B6646A690B61D4292A05C37";"0.3139";"BA";"Muquém do São Francisco";"0.8000";"IRU";"AT";"Aguardando analise"
" BA-2922250-087EF8788585482D99843DE1CA729823";"52.3068";"BA";"Muquém do São Francisco";"0.0000";"IRU";"AT";"Aguardando analise"
" BA-2922250-0C5E9E9F1B294FB08A86DD992E1DF548";"0.3320";"BA";"Muquém do São Francisco";"37.7800";"IRU";"AT";"Aguardando analise"
" BA-2922250-D28C943C93C54D8DABBB91B605F6D5F4";"2456.1970";"BA";"Muquém do São Francisco";"0.6300";"IRU";"AT";"Aguardando analise"
" BA-2922250-7DE6354B7AE843F0B38CAE1A41C30BEB";"41.5940";"BA";"Muquém do São Francisco";"0.0500";"IRU";"AT";"Aguardando analise"
" BA-2922250-85E4FAD3E6934579A71F58E2A6D2D59A";"3.2570";"BA";"Muquém do São Francisco";"0.1600";"IRU";"AT";"Aguardando analise"
" BA-2922250-C3401E890A3F4CBC83516B653E46B597";"11.0401";"BA";"Muquém do São Francisco";"0.4600";"IRU";"AT";"Aguardando analise"
" BA-2922250-D67EEF041D884499B6AD1224F3B43D3A";"29.9514";"BA";"Muquém do São Francisco";"0.0200";"IRU";"AT";"Aguardando analise"
" BA-2922250-3646101730914F948A0ACD2535684E3E";"1.3577";"BA";"Muquém do São Francisco";"1.4100";"IRU";"AT";"Aguardando analise"
" BA-2922250-4EAB7B8300F54C209E04CFC41BFD2EFA";"91.9457";"BA";"Muquém do São Francisco";"3.4400";"IRU";"AT";"Aguardando analise"
" BA-2922250-83784D59183646DEB03EB782934A4FF7";"223.6947";"BA";"Muquém do São Francisco";"0.0000";"IRU";"AT";"Aguardando analise"
" BA-2922250-0C47EB24405B45E4AEE4FE845D0FD3D5";"0.3377";"BA";"Muquém do São Francisco";"0.6900";"IRU";"AT";"Aguardando analise"
" BA-2922250-F0608369EFA7404A81C5105BB0417B61";"44.9749";"BA";"Muquém do São Francisco";"0.1200";"IRU";"AT";"Aguardando analise"
" BA-2922250-70281BBA622E4E5B9F85D851A775AA35";"7.9949";"BA";"Muquém do São Francisco";"0.0500";"IRU";"AT";"Aguardando analise"
" BA-2922250-8645559617D14DAA8A79D22961DD48EC";"3.8919";"BA";"Muquém do São Francisco";"0.0400";"IRU";"AT";"Aguardando analise"
" BA-2922250-CF70671456B74DC3903591EEAB59FEB6";"3.1524";"BA";"Muquém do São Francisco";"14.9700";"IRU";"AT";"Aguardando análise"
" BA-2922250-6836F3D236E640D39CA2746459E0DEE8";"973.1897";"BA";"Muquém do São Francisco";"0.8000";"IRU";"AT";"Aguardando analise"
" BA-2922250-2319E3B590E24AC49889CEDFE74F4DD9";"52.2456";"BA";"Muquém do São Francisco";"0.9700";"IRU";"AT";"Aguardando analise"
" BA-2922250-9F9E507973634F0FBA4971D636555088";"63.3054";"BA";"Muquém do São Francisco";"0.4600";"IRU";"AT";"Aguardando analise"
