"                                     car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                      "
" BA-2928208-A3FBB583353141A7A87F0FF6E615037F";"2.3884";"BA";"Santana";"0.0300";"IRU";"AT";"Aguardando analise"
" BA-2928208-419A1100143B4F039CAB28F493095545";"4.5017";"BA";"Santana";"0.0700";"IRU";"AT";"Aguardando analise"
" BA-2928208-7CC906A774774D6EB441F5F83658D486";"37.4815";"BA";"Santana";"0.5700";"IRU";"AT";"Aguardando analise"
" BA-2928208-050BC863ED9E40E68377E0F1FAA5DA70";"4.3003";"BA";"Santana";"0.0600";"IRU";"AT";"Aguardando analise"
" BA-2928208-C721B979CAF5496BBB4DB979D70E1843";"13.1716";"BA";"Santana";"0.2000";"IRU";"AT";"Aguardando analise"
" BA-2928208-4A8586E228564C9EB77CF4E3B1667E09";"2.6554";"BA";"Santana";"0.0400";"IRU";"AT";"Aguardando analise"
" BA-2928208-B06F4F3A209848399C946A4B96D98AA6";"17.3869";"BA";"Santana";"0.2600";"IRU";"AT";"Aguardando analise"
" BA-2928208-EB4BBC2B4AAD4882905427E2D7173B9D";"10.8200";"BA";"Santana";"0.1600";"IRU";"AT";"Aguardando analise"
" BA-2928208-723E74C04F2342069D8464C812E33E89";"12.1420";"BA";"Santana";"0.1800";"IRU";"AT";"Aguardando analise"
" BA-2928208-CBF8BA0028264941A6AB2D63C2CE2732";"186.7796";"BA";"Santana";"2.9000";"IRU";"AT";"Aguardando analise"
" BA-2928208-3F5421049F2C424D9F2B15FF5CDF40BF";"0.7252";"BA";"Santana";"0.0100";"IRU";"AT";"Aguardando analise"
" BA-2928208-F4081D9940294B42B74F6A24C616D161";"195.3321";"BA";"Santana";"3.0000";"IRU";"AT";"Aguardando analise"
" BA-2928208-AFA9E6E15D334F96ABF8EFEA0A9A7194";"4.8920";"BA";"Santana";"0.0700";"IRU";"AT";"Aguardando analise"
" BA-2928208-3F7BC02F90B44C54B1D54610D69FD25F";"1.7084";"BA";"Santana";"0.0200";"IRU";"AT";"Aguardando analise"
" BA-2928208-A00486C11D53402EB6360A78276364B8";"4.4784";"BA";"Santana";"0.0600";"IRU";"AT";"Aguardando analise"
" BA-2928208-82F117E375D44BD5B476A19F792B2561";"11.3243";"BA";"Santana";"0.1700";"IRU";"AT";"Aguardando analise"
" BA-2928208-5A0C71E169D3473F825FB9A0FCB64FC9";"9.9847";"BA";"Santana";"0.1500";"IRU";"AT";"Aguardando analise"
" BA-2928208-1F0A4EE5FE894D3F9248F377D2CFDE44";"12.1756";"BA";"Santana";"0.1800";"IRU";"AT";"Aguardando analise"
" BA-2928208-F0101AAB2EC24893BA64F245249D0459";"8.4284";"BA";"Santana";"0.1200";"IRU";"AT";"Aguardando analise"
" BA-2928208-FDC5A2D0FD84476B87DF19E8084AD315";"8.4076";"BA";"Santana";"0.1300";"IRU";"AT";"Aguardando analise"
" BA-2928208-792E174CD14E4E8E86164125FA584F5D";"4.3837";"BA";"Santana";"0.0700";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" BA-2928208-4E9E48C9F2BA4F20AAFFE4BF8746A1E2";"49.0170";"BA";"Santana";"0.7500";"IRU";"AT";"Aguardando analise"
" BA-2928208-B6C5F2E8D9044FFC8A90DD8FD1D4C4FD";"10.6958";"BA";"Santana";"0.1600";"IRU";"AT";"Aguardando analise"
" BA-2928208-07CEF513B4DE45A08D3E700D4F7419CD";"3.4179";"BA";"Santana";"0.0500";"IRU";"AT";"Aguardando analise"
