"                                        car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                         "
" MG-3111101-CBDC6DC11DB146AD9E5A535E3284D2B0";"81.7822";"MG";"Campina Verde";"2.7261";"IRU";"AT";"Aguardando análise"
" MG-3111101-649FA1C99C234F5685C994B27D7C7D13";"138.5363";"MG";"Campina Verde";"4.6179";"IRU";"AT";"Aguardando analise"
" MG-3111101-93E8488892FE4E52AB5C094A03762CAB";"237.1098";"MG";"Campina Verde";"7.9037";"IRU";"AT";"Aguardando analise"
" MG-3111101-793B926EFD18498DA0B02622AFBE0CF2";"91.5234";"MG";"Campina Verde";"3.0508";"IRU";"AT";"Aguardando análise"
" MG-3111101-29603CF925484CD4AECB4A020E68D8EA";"18.5556";"MG";"Campina Verde";"0.6185";"IRU";"AT";"Aguardando analise"
" MG-3111101-B1CD7DA8B1A449A8B6634A7D04CB18EB";"246.8227";"MG";"Campina Verde";"8.2800";"IRU";"AT";"Aguardando análise"
" MG-3111101-D030558ED7A042EBA9D1559F8E8031EA";"119.1942";"MG";"Campina Verde";"3.9731";"IRU";"AT";"Aguardando análise"
" MG-3111101-06F77D3A28664C41890848933F79E289";"90.3621";"MG";"Campina Verde";"3.0121";"IRU";"AT";"Aguardando análise"
" MG-3111101-FD1E889D459B4933825AFB630B867718";"66.9152";"MG";"Campina Verde";"2.2305";"IRU";"AT";"Aguardando análise"
" MG-3111101-427499185166465AB406F018F529716A";"19.2615";"MG";"Campina Verde";"0.6420";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MG-3111101-BC3214D972ED4A8DB4915C31836B150F";"104.4026";"MG";"Campina Verde";"3.4801";"IRU";"AT";"Aguardando analise"
" MG-3111101-6F3AF3F382E64AFE970DD66B10C44E2B";"34.1722";"MG";"Campina Verde";"1.1400";"IRU";"AT";"Aguardando análise"
" MG-3111101-DC2640DA2A5C482BBC76EE15A97AD321";"27.8633";"MG";"Campina Verde";"0.9288";"IRU";"AT";"Aguardando análise"
" MG-3111101-8D6902FF0F6A4EA8AE968A494E5BC171";"321.4773";"MG";"Campina Verde";"10.7159";"IRU";"AT";"Aguardando análise"
" MG-3111101-F2CDFB91E3A14692932641661E58E62E";"0.4793";"MG";"Campina Verde";"0.0160";"IRU";"AT";"Aguardando analise"
" MG-3111101-DBC45813139B47389CCFB1793917D310";"120.0648";"MG";"Campina Verde";"4.0022";"IRU";"AT";"Aguardando analise"
" MG-3111101-690581E1D496450E80A866C2C855114A";"31.2989";"MG";"Campina Verde";"1.0433";"IRU";"AT";"Aguardando analise"
" MG-3111101-43A0C8AFE2844E118350E0BE0D84A39A";"132.5671";"MG";"Campina Verde";"4.4189";"IRU";"AT";"Aguardando análise"
" MG-3111101-77802EC68C9945BEB1E0E859336D2772";"72.7564";"MG";"Campina Verde";"2.4252";"IRU";"AT";"Aguardando análise"
" MG-3111101-9F2DF4B2D60F4CB59EEF003B76431FC2";"39.7102";"MG";"Campina Verde";"1.3237";"IRU";"AT";"Aguardando análise"
" MG-3111101-763358779C724335B2B018F6C9A9E552";"64.6913";"MG";"Campina Verde";"2.1564";"IRU";"AT";"Aguardando análise"
