"                                         car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                         "
" MG-3111408-D896FAC1DA6C45C28267AACE5209F48A";"38.0044";"MG";"Campo Florido";"1.5835";"IRU";"AT";"Aguardando análise"
" MG-3111408-27EA930C46B047BAB2501E1E476AEC61";"33.7510";"MG";"Campo Florido";"1.4063";"IRU";"AT";"Aguardando análise"
" MG-3111408-C9A3F52E10374AE9A49D7BE53BA1CD5B";"93.8804";"MG";"Campo Florido";"3.9117";"IRU";"AT";"Aguardando analise"
" MG-3111408-11C810BFFFF44DC796CF4BE3C2C4CB2C";"177.8946";"MG";"Campo Florido";"7.4123";"IRU";"AT";"Aguardando analise"
" MG-3111408-A1C06760396449B7A3C504A0E8B81801";"16.9196";"MG";"Campo Florido";"0.7050";"IRU";"AT";"Aguardando análise"
" MG-3111408-25FB3660C8D94F6EB66337708E86ECEB";"9.7187";"MG";"Campo Florido";"0.4049";"IRU";"AT";"Aguardando analise"
" MG-3111408-FE77C22F2A2F4FCAA6EE6C889896B440";"61.4165";"MG";"Campo Florido";"2.5590";"IRU";"AT";"Aguardando analise"
" MG-3111408-CD553ED8BA744B1A899F1BCF25AAECE6";"108.0245";"MG";"Campo Florido";"4.5100";"IRU";"AT";"Aguardando análise"
" MG-3111408-D19A97EA1D83420DAF5E0F7DBE453065";"403.8192";"MG";"Campo Florido";"16.8258";"IRU";"AT";"Aguardando analise"
" MG-3111408-BE656BF452524C29AEBA4313730EA996";"9.7949";"MG";"Campo Florido";"0.4100";"IRU";"AT";"Aguardando análise"
" MG-3111408-EB33023A4C9D4FF9B6F67988F73A6700";"53.7925";"MG";"Campo Florido";"2.2414";"IRU";"AT";"Aguardando analise"
" MG-3111408-C3B520EAE43B45F2B2B5CCE531116897";"363.9496";"MG";"Campo Florido";"15.1646";"IRU";"AT";"Aguardando analise"
" MG-3111408-2BEAE342EABA46C6B1B534075FCC2465";"93.9224";"MG";"Campo Florido";"3.9134";"IRU";"AT";"Aguardando analise"
" MG-3111408-CA9AAFDCA5614E2DACE1FA19044719E1";"59.2872";"MG";"Campo Florido";"2.4703";"IRU";"AT";"Aguardando análise"
" MG-3111408-A818F5F2D3C34EE7A5C32CFE21E3BBFE";"583.6319";"MG";"Campo Florido";"24.3800";"IRU";"AT";"Aguardando análise"
" MG-3111408-A4ABE2DA3F614189920BA3C136AE3493";"79.6801";"MG";"Campo Florido";"3.3200";"IRU";"AT";"Aguardando analise"
" MG-3111408-16509A9E7EAC46C1AD6BCFC6B4D0F58D";"53.9648";"MG";"Campo Florido";"2.2485";"IRU";"AT";"Aguardando analise"
" MG-3111408-6F1A88FAA7B34A9F9DAA3E633BACA74F";"35.1868";"MG";"Campo Florido";"1.4661";"IRU";"AT";"Aguardando analise"
" MG-3111408-9F7077EF358B44B98B2BD3BDE44B92DC";"35.3267";"MG";"Campo Florido";"1.4800";"IRU";"AT";"Aguardando análise"
" MG-3111408-1D65B094D582466AB9C5C1C90F73E75E";"35.1868";"MG";"Campo Florido";"1.4661";"IRU";"AT";"Aguardando analise"
" MG-3111408-76FD22CE1F8149D2B23E750C2AFE1EE2";"414.1131";"MG";"Campo Florido";"17.2547";"IRU";"AT";"Aguardando analise"
" MG-3111408-1EE9427F9B5F46BFA724320F4D8AA0C5";"817.0078";"MG";"Campo Florido";"34.0420";"IRU";"AT";"Aguardando analise"
" MG-3111408-2EBC7786A64A4FF69E51DA2853ADBF58";"72.3463";"MG";"Campo Florido";"3.0200";"IRU";"AT";"Aguardando análise"
" MG-3111408-7C01072F4BDE4F9791B4FBD022A2D440";"42.2466";"MG";"Campo Florido";"1.7603";"IRU";"AT";"Aguardando analise"
" MG-3111408-E30383D114734C69B54E05DFA03A9CE0";"29.3522";"MG";"Campo Florido";"1.2230";"IRU";"AT";"Aguardando analise"
" MG-3111408-392AB9D063B847D8B3907535D065F7D1";"2.4005";"MG";"Campo Florido";"0.1000";"IRU";"AT";"Aguardando análise"
" MG-3111408-0D720CF205454A4DB8A660F1839F112A";"36.3743";"MG";"Campo Florido";"1.5156";"IRU";"AT";"Aguardando analise"
" MG-3111408-E483B8CFF2F44DC1B149A16D53F0661C";"280.5404";"MG";"Campo Florido";"11.6892";"IRU";"AT";"Aguardando analise"
" MG-3111408-3C9415FD8C9D441C8CCB7FF8C5DE5AC6";"4.8746";"MG";"Campo Florido";"0.2031";"IRU";"AT";"Aguardando analise"
" MG-3111408-97B4B35E8CF943DDA71C112B988204A6";"79.8145";"MG";"Campo Florido";"3.3256";"IRU";"AT";"Aguardando analise"
" MG-3111408-1386BC1C5DE54D7C9611D02961A47FE1";"44.7889";"MG";"Campo Florido";"1.8700";"IRU";"AT";"Aguardando análise"
" MG-3111408-5C82382687214E6491F59BFBCD172D8C";"58.1129";"MG";"Campo Florido";"2.4214";"IRU";"AT";"Aguardando analise"
" MG-3111408-282760EEF2594C0C806A9A62DC64451E";"4.9712";"MG";"Campo Florido";"0.2100";"IRU";"AT";"Aguardando análise"
" MG-3111408-E1943B72F9BD47CDA808DA55A0E39943";"96.8136";"MG";"Campo Florido";"4.0339";"IRU";"AT";"Aguardando análise"
" MG-3111408-DCD9CC71AE514B6C98FD94CEBBAF7A0C";"17.4709";"MG";"Campo Florido";"0.7300";"IRU";"AT";"Aguardando análise"
" MG-3111408-54DD5225F71F4C8EA4D05F43E55694C6";"288.5236";"MG";"Campo Florido";"12.0218";"IRU";"AT";"Aguardando analise"
" MG-3111408-37BD3DB7772140FBAFD505108321DD42";"19.4136";"MG";"Campo Florido";"0.8100";"IRU";"AT";"Aguardando análise"
" MG-3111408-2BDF2D5F77804718BF0842108D99CAB3";"12.1000";"MG";"Campo Florido";"0.5042";"IRU";"AT";"Aguardando analise"
" MG-3111408-A09B4E4861DD40CF809C7E994F5CDA89";"53.7112";"MG";"Campo Florido";"2.2380";"IRU";"AT";"Aguardando analise"
" MG-3111408-9B640A81EF0E4123A8FCB2E56681EA16";"98.4187";"MG";"Campo Florido";"4.1100";"IRU";"AT";"Aguardando análise"
" MG-3111408-DFCBD241007C4E4982381289D7BB9814";"95.3135";"MG";"Campo Florido";"3.9714";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MG-3111408-B2A091AD3AB74A039646C891D41513CE";"20.7134";"MG";"Campo Florido";"0.8631";"IRU";"AT";"Aguardando analise"
" MG-3111408-6283DEE51C6E47F1A8811E81B820430B";"59.9420";"MG";"Campo Florido";"2.4976";"IRU";"AT";"Aguardando analise"
" MG-3111408-9DB59D44DBC14D259B76552F25C1D3C8";"585.0670";"MG";"Campo Florido";"24.3778";"IRU";"AT";"Aguardando analise"
" MG-3111408-A92DFC614C224C5E9989D1403B43D3BB";"83.1064";"MG";"Campo Florido";"3.4628";"IRU";"AT";"Aguardando analise"
" MG-3111408-1377C2255A8B4A5CB2D750FC67420AF1";"61.0266";"MG";"Campo Florido";"2.5428";"IRU";"AT";"Aguardando analise"
" MG-3111408-9517FD457E164CE3B06E8CF443375312";"18.2381";"MG";"Campo Florido";"0.7599";"IRU";"AT";"Aguardando analise"
" MG-3111408-748B2CB6491A49F0886A7D478BD9C92B";"2.3934";"MG";"Campo Florido";"0.0997";"IRU";"AT";"Aguardando analise"
" MG-3111408-0EF5E9D7146C44A89EABA8DF419AD82A";"36.6640";"MG";"Campo Florido";"1.5300";"IRU";"AT";"Aguardando análise"
" MG-3111408-3048359D0EF1424CBACBEA094DBF6A2C";"33.4006";"MG";"Campo Florido";"1.3917";"IRU";"AT";"Aguardando analise"
" MG-3111408-ACCE5F1A44374CFC88448492624397D8";"68.7675";"MG";"Campo Florido";"2.8653";"IRU";"AT";"Aguardando analise"
" MG-3111408-EA858AAE786D4FCEB1A2763CED0D876E";"11.4332";"MG";"Campo Florido";"0.4764";"IRU";"AT";"Aguardando analise"
" MG-3111408-7BCCA86F3B6C41FF9EE232CD19B28B50";"10.8083";"MG";"Campo Florido";"0.4500";"IRU";"AT";"Aguardando análise"
" MG-3111408-7676D0A7B8DA4415BF55D164AC2C1813";"48.9109";"MG";"Campo Florido";"2.0380";"IRU";"AT";"Aguardando analise"
" MG-3111408-0450A14C2ECF477DB21FA52633DFE3F6";"38.5846";"MG";"Campo Florido";"1.6077";"IRU";"AT";"Aguardando analise"
" MG-3111408-BEC8F810E06740518495C368F2272F9F";"1.6756";"MG";"Campo Florido";"0.0698";"IRU";"AT";"Aguardando analise"
" MG-3111408-EA649AA544B2471A9BBBB2C6464DFEF3";"24.2103";"MG";"Campo Florido";"1.0088";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MG-3111408-EE6FD585A3B340FFA462B3EB6A8B860F";"704.8858";"MG";"Campo Florido";"27.1391";"IRU";"AT";"Aguardando analise"
" MG-3111408-810D8F83CADF45E5AF9F9E76A2240692";"199.7504";"MG";"Campo Florido";"8.3229";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MG-3111408-F9D89091706F4CB7B7D7E8AAB150B7B6";"33.2202";"MG";"Campo Florido";"1.3842";"IRU";"AT";"Aguardando analise"
" MG-3111408-9FC95BA60C284C35A39EE0996237E911";"91.0200";"MG";"Campo Florido";"3.7925";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MG-3111408-398EE10B19984CD3AA2A1C9CA4521369";"29.0542";"MG";"Campo Florido";"1.2106";"IRU";"AT";"Aguardando analise"
" MG-3111408-2D516808B66C49C2A6B28FBA4C08D7E5";"24.2030";"MG";"Campo Florido";"1.0085";"IRU";"AT";"Aguardando analise"
" MG-3111408-F6C92E235DF14B28A320658224AB501A";"89.0400";"MG";"Campo Florido";"3.7100";"IRU";"AT";"Aguardando análise"
" MG-3111408-2AF08F3E7358430B8F875B597C9B76E2";"262.8900";"MG";"Campo Florido";"10.9500";"IRU";"AT";"Aguardando análise"
" MG-3111408-8CB438D34DEF4CBE9CC1FF3F7AADDDF5";"179.0997";"MG";"Campo Florido";"7.4625";"IRU";"AT";"Aguardando analise"
" MG-3111408-BFA093919F7E49D8B773EDFDFD4A5CDB";"12.1012";"MG";"Campo Florido";"0.5042";"IRU";"AT";"Aguardando analise"
" MG-3111408-D597A30445DE4463A13CAE79CDEF5F9A";"92.4826";"MG";"Campo Florido";"3.8534";"IRU";"AT";"Aguardando analise"
" MG-3111408-DD465164BEC040318D7B343415204DE6";"208.7511";"MG";"Campo Florido";"8.6980";"IRU";"AT";"Aguardando analise"
" MG-3111408-E05555B189114A18A470034C0189DBC6";"50.8200";"MG";"Campo Florido";"2.1175";"IRU";"AT";"Aguardando analise"
