"                                          car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                           "
" MG-3116902-80D046CE483A436CB05A6CCBDA3F0945";"26.1334";"MG";"Comendador Gomes";"0.8700";"IRU";"AT";"Aguardando análise"
" MG-3116902-509953A17FEF47DF8CB60C9233B31B50";"29.0409";"MG";"Comendador Gomes";"0.9700";"IRU";"AT";"Aguardando análise"
" MG-3116902-757B3080CBE94E7B91195815DE746D2E";"419.0295";"MG";"Comendador Gomes";"13.9676";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MG-3116902-0ED702118B5B4E74B8670ECF1A398FAE";"25.9078";"MG";"Comendador Gomes";"0.8636";"IRU";"AT";"Aguardando análise"
" MG-3116902-8E0B7C3FE59546528263B5E24936C9CD";"16.5533";"MG";"Comendador Gomes";"0.5518";"IRU";"AT";"Aguardando análise"
" MG-3116902-E32A63BE67CF4C258BF053681CF6FA6C";"140.3792";"MG";"Comendador Gomes";"4.6793";"IRU";"AT";"Aguardando analise"
" MG-3116902-6173D7BC64B547BA9DD27EE5F858DDC3";"2.1021";"MG";"Comendador Gomes";"0.0701";"IRU";"AT";"Aguardando analise"
" MG-3116902-7A0B03D0CFD544888E55A44B137EC70C";"61.2732";"MG";"Comendador Gomes";"2.0424";"IRU";"AT";"Aguardando analise"
" MG-3116902-84F237ED1C85436FAB4A2F314FFB565A";"57.7687";"MG";"Comendador Gomes";"1.9256";"IRU";"AT";"Aguardando analise"
" MG-3116902-7D313F665FFC4B28962343045499E35D";"26.3530";"MG";"Comendador Gomes";"0.8784";"IRU";"AT";"Aguardando analise"
" MG-3116902-2C7CBB3F7E6048F2867D1C79C9C77DC5";"107.0046";"MG";"Comendador Gomes";"3.5800";"IRU";"AT";"Aguardando análise"
" MG-3116902-9BD9A1A300574EA0B1972C435FB8B91C";"23.2330";"MG";"Comendador Gomes";"0.7744";"IRU";"AT";"Aguardando analise"
" MG-3116902-291C3A8677DE4A16B57DF6FFEE0E1155";"20.0954";"MG";"Comendador Gomes";"0.6698";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MG-3116902-3C99AEB227A24A77B77002666E0DA6A6";"253.8978";"MG";"Comendador Gomes";"8.4633";"IRU";"AT";"Aguardando analise"
" MG-3116902-EB608B14F3C94B1096F5D7116302044B";"60.7418";"MG";"Comendador Gomes";"2.0247";"IRU";"AT";"Aguardando analise"
" MG-3116902-F08D3F638B414B0C853C49513DD5DD1E";"127.5286";"MG";"Comendador Gomes";"4.2700";"IRU";"AT";"Aguardando análise"
" MG-3116902-FBFD5DA4024C47A5BB52F445F090FC74";"26.6219";"MG";"Comendador Gomes";"0.8874";"IRU";"AT";"Aguardando analise"
" MG-3116902-B4461865B1E6412BA759AD24C7607443";"9.8309";"MG";"Comendador Gomes";"0.3277";"IRU";"AT";"Aguardando analise"
" MG-3116902-E9B428129FE84202BAAA0034E5DF9E2F";"19.6300";"MG";"Comendador Gomes";"0.6543";"IRU";"AT";"Aguardando analise"
" MG-3116902-81CBB40AE7824509B1C015EC8FC16A00";"72.6672";"MG";"Comendador Gomes";"2.4222";"IRU";"AT";"Aguardando analise"
" MG-3116902-AEA9920D7AB140C6BAA12C402738AA2A";"353.0761";"MG";"Comendador Gomes";"11.7692";"IRU";"AT";"Aguardando analise"
" MG-3116902-DDACF4CA86124D349249D70D0CDDDD23";"80.5597";"MG";"Comendador Gomes";"2.6853";"IRU";"AT";"Aguardando analise"
" MG-3116902-07C1E1F74FE44D11AE7329D217BE6616";"15.0647";"MG";"Comendador Gomes";"0.5022";"IRU";"AT";"Aguardando analise"
" MG-3116902-4FE64BA7A8394249A236A1542447AF86";"14.8539";"MG";"Comendador Gomes";"0.4951";"IRU";"AT";"Aguardando analise"
" MG-3116902-F6D02C094F0E4C4B94EECDB2B494DB51";"16.9726";"MG";"Comendador Gomes";"0.5658";"IRU";"AT";"Aguardando analise"
" MG-3116902-0CB086EFAD964CEA996C732DF17C8DE6";"21.5438";"MG";"Comendador Gomes";"0.7181";"IRU";"AT";"Aguardando analise"
" MG-3116902-F4ACB419AFBC4D3ABA5E98AE02AD4375";"229.7679";"MG";"Comendador Gomes";"7.6589";"IRU";"AT";"Aguardando analise"
" MG-3116902-895CA9087A214A41934C9C06EC99228F";"34.0280";"MG";"Comendador Gomes";"1.1343";"IRU";"AT";"Aguardando analise"
" MG-3116902-BEC0168B064A453C8636244ECA5CEC5E";"336.6917";"MG";"Comendador Gomes";"11.2231";"IRU";"AT";"Aguardando analise"
" MG-3116902-6F28BE14E4354143A001CB390379C85F";"100.5000";"MG";"Comendador Gomes";"3.3600";"IRU";"AT";"Aguardando análise"
" MG-3116902-405A4D9BD27F47F3918D5B3909DAC74C";"15.7766";"MG";"Comendador Gomes";"0.5259";"IRU";"AT";"Aguardando analise"
" MG-3116902-FD194688E7304228BEDB8D58C50FCA73";"139.8864";"MG";"Comendador Gomes";"4.6629";"IRU";"AT";"Aguardando analise"
" MG-3116902-3A439C74440D47D993BC861B5A6A59FF";"40.2817";"MG";"Comendador Gomes";"1.3500";"IRU";"AT";"Aguardando análise"
" MG-3116902-935D04616C894AE0836DE0F9282E8773";"22.2390";"MG";"Comendador Gomes";"0.7413";"IRU";"AT";"Aguardando analise"
