"                                             car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                             "
" MG-3142809-1D1CBED2EAD5453BA5415E5B910A6954";"2.1374";"MG";"Monte Alegre de Minas";"0.1069";"IRU";"AT";"Aguardando análise"
" MG-3142809-63C23B73023041EDBD80AF47E385CB68";"34.4713";"MG";"Monte Alegre de Minas";"1.7236";"IRU";"AT";"Aguardando análise"
" MG-3142809-1A9B615D99DC46B693B96DCAA07B48AC";"75.1556";"MG";"Monte Alegre de Minas";"3.7700";"IRU";"AT";"Aguardando análise"
" MG-3142809-FD714CE16556410EBB364C3C621DAEF2";"36.2356";"MG";"Monte Alegre de Minas";"1.8200";"IRU";"AT";"Aguardando análise"
" MG-3142809-A6FF1F47D10B4F129D6CCEA2E648C6EA";"7.2857";"MG";"Monte Alegre de Minas";"0.3643";"IRU";"AT";"Aguardando analise"
" MG-3142809-B929CE4A555F476A8BF3054187F7491D";"4.9841";"MG";"Monte Alegre de Minas";"0.2492";"IRU";"AT";"Aguardando análise"
" MG-3142809-888B0E77B4FA4914B7B6E2D1F7972EDF";"15.8834";"MG";"Monte Alegre de Minas";"0.8000";"IRU";"AT";"Aguardando análise"
" MG-3142809-4DA6FD6AF72146039923442720BB1010";"58.5994";"MG";"Monte Alegre de Minas";"2.9300";"IRU";"AT";"Aguardando analise"
" MG-3142809-1A8380993E6B48AA887E19CDECAE6697";"20.2924";"MG";"Monte Alegre de Minas";"1.0146";"IRU";"AT";"Aguardando analise"
" MG-3142809-06E6C61F6DF348A2B30615B7DA95DFB3";"90.0733";"MG";"Monte Alegre de Minas";"4.5037";"IRU";"AT";"Aguardando análise"
" MG-3142809-3A42A0B8CA194CF784245C100E879CBA";"49.3627";"MG";"Monte Alegre de Minas";"2.4681";"IRU";"AT";"Aguardando análise"
" MG-3142809-59AF120A82D24B5EA768ED9EA6E4B9E9";"11.0651";"MG";"Monte Alegre de Minas";"0.5533";"IRU";"AT";"Aguardando análise"
" MG-3142809-14CE0F118ED14D109FC3608B6B5B234F";"0.0584";"MG";"Monte Alegre de Minas";"0.0029";"IRU";"AT";"Aguardando analise"
" MG-3142809-24C46BC644F4432F85AD901A73487544";"38.6147";"MG";"Monte Alegre de Minas";"1.9307";"IRU";"AT";"Aguardando análise"
" MG-3142809-E8DCF466FC4C4837B29B9A1D681E489C";"48.6771";"MG";"Monte Alegre de Minas";"2.4400";"IRU";"AT";"Aguardando análise"
" MG-3142809-AC5069007FAC414E95F052AA8551A9A8";"26.9375";"MG";"Monte Alegre de Minas";"1.3469";"IRU";"AT";"Aguardando análise"
" MG-3142809-DFDC77B1FCC344C699D7C124515E1B80";"27.6028";"MG";"Monte Alegre de Minas";"1.3801";"IRU";"AT";"Aguardando análise"
" MG-3142809-684BEBA945114360A0B7E0DE23337EE0";"16.3524";"MG";"Monte Alegre de Minas";"0.8176";"IRU";"AT";"Aguardando analise"
" MG-3142809-898D0A37D08041F5AC5F9D96AE996188";"25.8430";"MG";"Monte Alegre de Minas";"1.2922";"IRU";"AT";"Aguardando análise"
" MG-3142809-BD3248DA0A26486B97BBEEFB01DA8F96";"26.9988";"MG";"Monte Alegre de Minas";"1.3499";"IRU";"AT";"Aguardando analise"
" MG-3142809-6833F56739CC476583047F7D1F4AB8C6";"169.6030";"MG";"Monte Alegre de Minas";"8.4802";"IRU";"AT";"Aguardando analise"
" MG-3142809-0C8E8B1627B54D1E9B6AE4BA36E4FA94";"2.2833";"MG";"Monte Alegre de Minas";"0.1142";"IRU";"AT";"Aguardando análise"
