"                                       car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                        "
" MG-3170206-F700679E9D8643BDB4AC12BB323A629B";"5.5170";"MG";"Uberlândia";"0.2759";"IRU";"AT";"Aguardando análise"
" MG-3170206-5AFFF22DDD5D44738DBBF16243C2671B";"14.9743";"MG";"Uberlândia";"0.7487";"IRU";"AT";"Aguardando analise"
" MG-3170206-4F854C6C2FF548BE89FCE4F0CF367E5D";"27.9266";"MG";"Uberlândia";"1.3963";"IRU";"AT";"Aguardando analise"
" MG-3170206-E8CE3B8357BF4E0CBDD8FBBD94A6E55C";"11.8408";"MG";"Uberlândia";"0.5920";"IRU";"AT";"Aguardando análise"
" MG-3170206-301B8F2BE42D401694321D9741536788";"1.6881";"MG";"Uberlândia";"0.0844";"IRU";"AT";"Aguardando analise"
" MG-3170206-C21A9CF813E041B19C6747644FF32653";"14.5201";"MG";"Uberlândia";"0.7260";"IRU";"AT";"Aguardando análise"
" MG-3170206-BEC5A6F2F9FB443B83C4B57767A3137B";"56.0652";"MG";"Uberlândia";"2.8033";"IRU";"AT";"Aguardando analise"
" MG-3170206-9D76B97D6BF0435A9D25E59E086880BA";"11.3301";"MG";"Uberlândia";"0.5665";"IRU";"AT";"Aguardando análise"
" MG-3170206-A5C69C5BC68D417A98E59856278F81D8";"55.6742";"MG";"Uberlândia";"2.7837";"IRU";"AT";"Aguardando análise"
" MG-3170206-F9A6AE8FEF56488CBF3EDEA7B6ABE0C1";"29.2321";"MG";"Uberlândia";"1.4616";"IRU";"AT";"Aguardando analise"
" MG-3170206-C061388BF37845CB89FF876692079298";"8.9520";"MG";"Uberlândia";"0.4476";"IRU";"AT";"Aguardando análise"
" MG-3170206-73327EB141E64FBBBF5477369CDAD56C";"239.9484";"MG";"Uberlândia";"11.9974";"IRU";"AT";"Aguardando analise"
" MG-3170206-43A401146C0E468580487D0D21596C07";"8.4367";"MG";"Uberlândia";"0.4218";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MG-3170206-5D71F34AAB31427FA94A280B9BC78791";"55.3657";"MG";"Uberlândia";"2.7683";"IRU";"AT";"Aguardando análise"
" MG-3170206-1225589F73564B98806F839D7E2A132F";"34.1240";"MG";"Uberlândia";"1.7062";"IRU";"AT";"Aguardando análise"
" MG-3170206-F61AB9E6F93A4E1D933A7E6CF2626FED";"46.2110";"MG";"Uberlândia";"2.3105";"IRU";"AT";"Aguardando análise"
" MG-3170206-DA11048E9EB544208DEB30E3C678AFD2";"17.0400";"MG";"Uberlândia";"0.8520";"IRU";"AT";"Aguardando analise"
" MG-3170206-DCD46DA9CD6C480B889968112FE1BFE2";"84.9292";"MG";"Uberlândia";"4.2465";"IRU";"AT";"Aguardando analise"
" MG-3170206-0241AA08E715473DA11884AD74D058F7";"4.8324";"MG";"Uberlândia";"0.2416";"IRU";"AT";"Aguardando análise"
" MG-3170206-90D7FF3B73F040DA91FB03D5FC238836";"2.0035";"MG";"Uberlândia";"0.1002";"IRU";"AT";"Aguardando análise"
" MG-3170206-D5937C92A5104298A91A3E5294934CF3";"2.1732";"MG";"Uberlândia";"0.1087";"IRU";"AT";"Aguardando análise"
" MG-3170206-8BB927101B714E29A28957930FBE2640";"8.4493";"MG";"Uberlândia";"0.4225";"IRU";"AT";"Aguardando analise"
" MG-3170206-22897C757ED64EB6BFEA9A2A90FB6EBD";"72.0582";"MG";"Uberlândia";"3.6100";"IRU";"AT";"Aguardando análise"
