"                                       car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                       "
" MS-5001904-0E1DE0C7704F4628AE3DD63E0D845599";"4.0000";"MS";"Bataguassu";"0.0900";"IRU";"AT";"Aguardando analise"
" MS-5001904-224A2FD73516482B973A446EFE0FE482";"9.6827";"MS";"Bataguassu";"0.2200";"IRU";"AT";"Aguardando analise"
" MS-5001904-580FF9C04AD844EDB587C7BA1087B1F9";"14.7332";"MS";"Bataguassu";"0.3300";"IRU";"AT";"Aguardando analise"
" MS-5001904-86B3DDFCD1AC404D85508ECB41D9101F";"7.3429";"MS";"Bataguassu";"0.1600";"IRU";"AT";"Aguardando analise"
" MS-5001904-65879F8DE9CC4CB3A2973D924199F17A";"264.5634";"MS";"Bataguassu";"5.8900";"IRU";"AT";"Aguardando analise"
" MS-5001904-83AB8708A01F46C2BC094A0A9A92D0B7";"19.2572";"MS";"Bataguassu";"0.4300";"IRU";"AT";"Aguardando analise"
" MS-5001904-4D8169BBABC04CFD8DEF448DA7A7FC70";"348.1492";"MS";"Bataguassu";"7.7400";"IRU";"AT";"Aguardando analise"
" MS-5001904-CDC062DD2E9E4DFC868C981524C8BE2A";"35.5118";"MS";"Bataguassu";"0.8000";"IRU";"AT";"Aguardando analise"
" MS-5001904-EA33F5DED91342B08A97CED502E79243";"3.6239";"MS";"Bataguassu";"0.0800";"IRU";"AT";"Aguardando analise"
" MS-5001904-1A443F6D9D864C318514EBA90A1CC23F";"175.5017";"MS";"Bataguassu";"3.9000";"IRU";"AT";"Aguardando analise"
" MS-5001904-805EA6FF29C941E58A97878F0D08B36B";"13.2364";"MS";"Bataguassu";"0.2900";"IRU";"AT";"Aguardando analise"
" MS-5001904-FEBEE844061540D191E12B84981303A2";"5.9999";"MS";"Bataguassu";"0.1300";"IRU";"AT";"Aguardando analise"
" MS-5000807-CE2DB8AF03D64CBE9FE6E83BEDCBA54E";"57.6625";"MS";"Bataguassu";"1.2800";"IRU";"AT";"Aguardando analise"
