"                                      car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                       "
" MS-5007307-BADAB77C23DE43398C5F29031FE4BE29";"5.4587";"MS";"Rio Negro";"0.1400";"IRU";"AT";"Aguardando analise"
" MS-5007307-3294CCE2A172482691CF63DF116E223B";"23.9279";"MS";"Rio Negro";"0.5900";"IRU";"AT";"Aguardando analise"
" MS-5007307-279A0281E7E644B8BDE7456C2AE8A3AB";"300.0787";"MS";"Rio Negro";"5.5400";"IRU";"AT";"Aguardando analise"
" MS-5007307-4B48C7C2E6B64E75B9779289CD3D0BF6";"21.7721";"MS";"Rio Negro";"0.5500";"IRU";"AT";"Aguardando analise"
" MS-5007307-13E3D3DBCC904FAA93513F3E57345D99";"2.0098";"MS";"Rio Negro";"0.0500";"IRU";"AT";"Aguardando analise"
" MS-5007307-0F632683000E47078F8FE43DE2783824";"2.0008";"MS";"Rio Negro";"0.0500";"IRU";"AT";"Aguardando analise"
" MS-5007307-69880FA6D8E94A1B95F08906D9F37705";"23.6941";"MS";"Rio Negro";"0.6100";"IRU";"AT";"Aguardando analise"
" MS-5007307-510C5808E0C74DE4BF16774A8D93D5D0";"23.6458";"MS";"Rio Negro";"0.5900";"IRU";"AT";"Aguardando analise"
" MS-5007307-DA017A0B45274B94945CD1346D7EB538";"1636.0314";"MS";"Rio Negro";"40.9000";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MS-5007307-30E20D8DA2B840B79AA557281CC7EE31";"21.6500";"MS";"Rio Negro";"0.5400";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MS-5007307-63199BAC75C8434EB03A0A5E81D956DD";"13.8140";"MS";"Rio Negro";"0.3500";"IRU";"AT";"Aguardando analise"
" MS-5007307-9A7A3E4822604C7892764C02A4FAFB12";"104.7971";"MS";"Rio Negro";"2.6100";"IRU";"AT";"Aguardando analise"
" MS-5007307-265255DC982F4FAFBA6BF2E1979B2A4A";"61.3464";"MS";"Rio Negro";"1.5300";"IRU";"AT";"Aguardando analise"
" MS-5007307-874762D45AB644B1BB9BFF93AC1194F2";"34.3453";"MS";"Rio Negro";"0.8600";"IRU";"AT";"Aguardando analise"
" MS-5007307-2918417E03FF44398A31406505947C4C";"112.5844";"MS";"Rio Negro";"2.8200";"IRU";"AT";"Aguardando analise"
" MS-5007307-AB2DC8F08E784F50867B337ECD97706F";"553.8054";"MS";"Rio Negro";"13.8500";"IRU";"AT";"Aguardando analise"
" MS-5007307-445AFBA9A0F5497291DEC3FE44F3B3EA";"53.2091";"MS";"Rio Negro";"1.3300";"IRU";"AT";"Aguardando analise"
" MS-5007307-A56446ACE9BD4FEEA12983410EEAE23A";"19.5953";"MS";"Rio Negro";"0.4900";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MS-5007307-1D81BC2E94564FB792719A754BF05C8A";"58.0624";"MS";"Rio Negro";"1.4500";"IRU";"AT";"Aguardando analise"
" MS-5007307-E2F38F7CE9074B5C9AB592D0DBE9AF48";"1.4527";"MS";"Rio Negro";"0.0400";"IRU";"AT";"Aguardando analise"
" MS-5007307-53A6FE8895754A698651157641FD4113";"6.3645";"MS";"Rio Negro";"0.1600";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MS-5007307-C6B642DCC163413483A072FA8E3941A6";"1318.0529";"MS";"Rio Negro";"32.9300";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MS-5007307-DE0043DEFF374A539D3448B295EB68BC";"30.4260";"MS";"Rio Negro";"0.7600";"IRU";"AT";"Aguardando analise"
" MS-5007307-4783D227BF3E4F37B0C77DDD4BE0ACBA";"14.4833";"MS";"Rio Negro";"0.3600";"IRU";"AT";"Aguardando analise"
" MS-5007307-413BDF15274F40F1B1A149BC791A4ADE";"101.4012";"MS";"Rio Negro";"2.5300";"IRU";"AT";"Aguardando analise"
" MS-5007307-73BEDE4C9CFC4FAC97F2CFA35142193E";"24.0455";"MS";"Rio Negro";"0.6000";"IRU";"AT";"Aguardando analise"
" MS-5007307-1EA848276E7F4721A5892F5A62B98439";"44.2577";"MS";"Rio Negro";"1.1100";"IRU";"AT";"Aguardando analise"
" MS-5007307-C2C4A5A36E4A4851A8D34B6568B988A4";"19.6105";"MS";"Rio Negro";"0.4900";"IRU";"AT";"Aguardando analise"
" MS-5007307-49DAF6C3DB5841E8979B00AEA6B7F403";"25.2690";"MS";"Rio Negro";"0.6300";"IRU";"AT";"Aguardando analise"
" MS-5007307-49BD4BF39BC3406CBCE23C07D7EB6A82";"133.6612";"MS";"Rio Negro";"3.3400";"IRU";"AT";"Aguardando analise"
" MS-5007307-490012E601C64E00B6C02FFC80C4E78E";"2.4717";"MS";"Rio Negro";"0.0600";"IRU";"AT";"Aguardando analise"
" MS-5007307-C6173F3613894DB782AFFE6C8BEDE9D2";"2.0550";"MS";"Rio Negro";"0.0500";"IRU";"AT";"Aguardando analise"
" MS-5007307-695DEE2130ED445E92873970DF1F350B";"17.9487";"MS";"Rio Negro";"0.4500";"IRU";"AT";"Aguardando analise"
" MS-5007307-DA32676BCD5C497CA8E18CD3024DC062";"3.2509";"MS";"Rio Negro";"0.0800";"IRU";"AT";"Aguardando analise"
" MS-5007307-7264A331D8E94F3C9A24A23E154E417D";"155.8035";"MS";"Rio Negro";"3.8900";"IRU";"AT";"Aguardando analise"
" MS-5007307-65460A29D40B459BBFE7D624D82D4397";"55.9778";"MS";"Rio Negro";"1.3900";"IRU";"AT";"Aguardando analise"
" MS-5007307-2E933C5C2B434ED6B9D4C826FB1B1920";"113.5194";"MS";"Rio Negro";"2.8400";"IRU";"AT";"Aguardando analise"
