"                                            car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                            "
" MS-5007554-8A374337DA4D4A8FA0E186D413B9026C";"2356.2314";"MS";"Santa Rita do Pardo";"67.3200";"IRU";"AT";"Aguardando analise"
" MS-5007554-7D06AEFEF30D44DAB261B4D5D5D30A50";"4.8395";"MS";"Santa Rita do Pardo";"0.1400";"IRU";"AT";"Aguardando analise"
" MS-5007554-9DD51AF0BAEE41E6944FD74014D28133";"80.5303";"MS";"Santa Rita do Pardo";"2.3000";"IRU";"AT";"Aguardando analise"
" MS-5007554-307E14941FE14BC59D057CA541D7BCBA";"9.5698";"MS";"Santa Rita do Pardo";"0.2700";"IRU";"AT";"Aguardando analise"
" MS-5007554-EB1E20E923C642429CB037B7F87AD070";"831.2092";"MS";"Santa Rita do Pardo";"23.7500";"IRU";"AT";"Aguardando analise"
" MS-5007554-E26E31FFD3244F2C99F64532981AEC14";"295.7937";"MS";"Santa Rita do Pardo";"8.4500";"IRU";"AT";"Aguardando analise"
" MS-5007554-1AF9D0479B274632AADC5C4BD2E3DB9B";"831.2094";"MS";"Santa Rita do Pardo";"23.7400";"IRU";"AT";"Aguardando analise"
" MS-5007554-1F912CF37C044155B6625CC9F109C468";"316.9363";"MS";"Santa Rita do Pardo";"9.0600";"IRU";"AT";"Aguardando analise"
" MS-5007554-D6E7776E919A4283B5D1F01DA8C6B705";"33.2823";"MS";"Santa Rita do Pardo";"0.9500";"IRU";"AT";"Aguardando analise"
" MS-5007554-C22E5050DD364DF9AFC19D2F8917E1A7";"321.6174";"MS";"Santa Rita do Pardo";"9.1900";"IRU";"AT";"Aguardando analise"
" MS-5007554-2900460E7DF2469C8DE4DD1FF6479B9D";"242.2994";"MS";"Santa Rita do Pardo";"6.9100";"IRU";"AT";"Aguardando analise"
" MS-5007554-2895B5AD92DC412D8E57B61E36655473";"123.4918";"MS";"Santa Rita do Pardo";"3.5300";"IRU";"AT";"Aguardando analise"
" MS-5007554-D50643D4A2064243BAD1F67919533996";"9.9832";"MS";"Santa Rita do Pardo";"0.2900";"IRU";"AT";"Aguardando analise"
" MS-5007554-30421485D0D64D169904A7BD40008618";"1470.5249";"MS";"Santa Rita do Pardo";"42.0100";"IRU";"AT";"Aguardando analise"
" MS-5007554-5E332BB7663B43B9B4962595E028D69E";"124.2585";"MS";"Santa Rita do Pardo";"3.5500";"IRU";"AT";"Aguardando analise"
" MS-5007554-7C33EAFE6739499F8291A9CA8776E5F1";"743.8709";"MS";"Santa Rita do Pardo";"21.2400";"IRU";"AT";"Aguardando analise"
" MS-5007554-53BB25712BB1466B8B4264B34B238B86";"31.5644";"MS";"Santa Rita do Pardo";"0.9000";"IRU";"AT";"Aguardando analise"
" MS-5007554-B96EF28E79B24E999A900701554B99F8";"208.9378";"MS";"Santa Rita do Pardo";"5.9400";"IRU";"AT";"Aguardando analise"
" MS-5007554-F0333F9D2DFA4B3C8AAB2F83DF2FF875";"1403.3165";"MS";"Santa Rita do Pardo";"40.0800";"IRU";"AT";"Aguardando analise"
" MS-5007554-7F690F2C4E4D4D26A7C97373D72C040D";"3951.1534";"MS";"Santa Rita do Pardo";"112.7900";"IRU";"AT";"Aguardando analise"
" MS-5007554-EEFD46CFFBCC41B780F85CE520580AB4";"1057.4634";"MS";"Santa Rita do Pardo";"30.2200";"IRU";"AT";"Aguardando analise"
" MS-5007554-5B02C427D51A480281C8BC1587907731";"923.2761";"MS";"Santa Rita do Pardo";"26.3700";"IRU";"AT";"Aguardando analise"
" MS-5007554-E90788103EA142D1BF00C3900C533477";"2125.1717";"MS";"Santa Rita do Pardo";"60.7400";"IRU";"AT";"Aguardando analise"
" MS-5007554-2FEF729B10E546AF8DF2A445BE9AEBB8";"838.7128";"MS";"Santa Rita do Pardo";"23.9600";"IRU";"AT";"Aguardando analise"
" MS-5000807-8E566FFAB13B44E2AFDD06658F8AD20C";"191.4973";"MS";"Santa Rita do Pardo";"5.4700";"IRU";"AT";"Aguardando analise"
" MS-5007554-3D5EF8975A7A4B9793F0A9CA6AC7F3FD";"96.6462";"MS";"Santa Rita do Pardo";"2.7700";"IRU";"AT";"Aguardando analise"
" MS-5007554-D27A3BC7A1FE44D5BD6811FE0F483002";"18.4747";"MS";"Santa Rita do Pardo";"0.5300";"IRU";"AT";"Aguardando analise"
" MS-5007554-0B1237DB8DC84365B4991A7F0DCCB1B7";"2987.2964";"MS";"Santa Rita do Pardo";"85.3200";"IRU";"AT";"Aguardando analise"
" MS-5007554-E5089F9825904E34B6854A1815628F20";"7.1051";"MS";"Santa Rita do Pardo";"0.2000";"IRU";"AT";"Aguardando analise"
" MS-5007554-25EAA73CD68E44CC8B2CE76DE04501A4";"1054.5864";"MS";"Santa Rita do Pardo";"30.1200";"IRU";"AT";"Aguardando analise"
" MS-5007554-A71B9D06B0204841853752B324D52395";"982.4402";"MS";"Santa Rita do Pardo";"28.0100";"IRU";"AT";"Aguardando analise"
" MS-5007554-7577D1371D314BBAB1BFFF863D838855";"89.7892";"MS";"Santa Rita do Pardo";"2.5700";"IRU";"AT";"Aguardando analise"
" MS-5007554-29361E6FBF3E4B16A943C7D2A0952C98";"3716.3619";"MS";"Santa Rita do Pardo";"106.2000";"IRU";"AT";"Aguardando analise"
" MS-5007554-A88A8AF5BBC046FFBA4F84B2259217BB";"2.3357";"MS";"Santa Rita do Pardo";"0.0700";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MS-5007554-9124ABDE36D247D0B1E66E17E5EA483A";"87.2764";"MS";"Santa Rita do Pardo";"2.5100";"IRU";"AT";"Aguardando analise"
" MS-5007554-8DDB9603C8674DBBB1862C9139DAEFAC";"942.2541";"MS";"Santa Rita do Pardo";"26.9300";"IRU";"AT";"Aguardando analise"
" MS-5007554-C41864558EF84E41BF7E59082FDC7D19";"683.2613";"MS";"Santa Rita do Pardo";"19.5200";"IRU";"AT";"Aguardando analise"
" MS-5007554-64B06A3C83F14E15B8A31AEF9EB2CCB4";"929.6180";"MS";"Santa Rita do Pardo";"26.5800";"IRU";"AT";"Aguardando analise"
" MS-5007554-7005493213CD421AA0A4AAA4B6A9A062";"1829.8742";"MS";"Santa Rita do Pardo";"52.2500";"IRU";"AT";"Aguardando analise"
