"                                      car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                      "
" MS-5008008-6EB5CC26A4D840F194849366708E3DDF";"19.2687";"MS";"Terenos";"0.6400";"IRU";"AT";"Aguardando analise"
" MS-5008008-F7E9BA54B1F146A7BFC14D5EC2DDE393";"14.5936";"MS";"Terenos";"0.4800";"IRU";"AT";"Aguardando analise"
" MS-5008008-E3A1E1D9B1E14CEE951268D49FB39303";"30.8793";"MS";"Terenos";"1.0200";"IRU";"AT";"Aguardando analise"
" MS-5008008-0D8A251C95914FB79FB8EF59299EAE3A";"3.0976";"MS";"Terenos";"0.1000";"IRU";"AT";"Aguardando analise"
" MS-5008008-A749EAF7BBD647F08DE3EEBB47A0CFD8";"17.7801";"MS";"Terenos";"0.5900";"IRU";"AT";"Aguardando analise"
" MS-5008008-089E29E0FC7849B390020883ED09963A";"76.4389";"MS";"Terenos";"2.5500";"IRU";"AT";"Aguardando analise"
" MS-5008008-83E373E770F84187951A7691F9E39CDC";"15.3626";"MS";"Terenos";"0.5100";"IRU";"AT";"Aguardando analise"
" MS-5008008-44850F6EAAC645EDA4DAB1DF530C2F06";"22.3399";"MS";"Terenos";"0.7400";"IRU";"AT";"Aguardando analise"
" MS-5008008-A7C823123E0144E181800D8D4FC117D7";"10.0295";"MS";"Terenos";"0.3300";"IRU";"AT";"Aguardando analise"
" MS-5008008-641A1C2961EC4A0B8666698D6FD1422E";"1.8919";"MS";"Terenos";"0.0600";"IRU";"AT";"Aguardando analise"
" MS-5008008-DF30B7BF74DA4935BC9C8CAA7E0D42C8";"36.5851";"MS";"Terenos";"1.2000";"IRU";"AT";"Aguardando analise"
" MS-5008008-1218140B0DEB4B2184469175C9AC9B02";"29.0123";"MS";"Terenos";"0.9700";"IRU";"AT";"Aguardando analise"
" MS-5008008-B2CA4B421E50489494DB1031319B0005";"201.9581";"MS";"Terenos";"6.7300";"IRU";"AT";"Aguardando analise"
" MS-5008008-D464FFDEC07D444F9EA87A0CDB1070A0";"20.9918";"MS";"Terenos";"0.7000";"IRU";"AT";"Aguardando analise"
" MS-5008008-F88C86E768CE47EE82BE9C7EBA4297E8";"42.2590";"MS";"Terenos";"1.4000";"IRU";"AT";"Aguardando analise"
" MS-5008008-D2BA6B81350646A5894AC374578CE8CC";"268.6221";"MS";"Terenos";"8.9800";"IRU";"AT";"Aguardando analise"
" MS-5008008-87193773AF3D4D36B724564BAB6114C6";"565.4594";"MS";"Terenos";"18.8500";"IRU";"AT";"Aguardando analise"
" MS-5008008-F6D1E3121DA246F2A27EDCB0883A3A5E";"53.3025";"MS";"Terenos";"1.7900";"IRU";"AT";"Aguardando analise"
" MS-5008008-0D49F920B8F84FC88A982F52370D41DB";"18.4270";"MS";"Terenos";"0.6100";"IRU";"AT";"Aguardando analise"
" MS-5008008-C11A6AFBE51E4BECBFF51BD2248E53BD";"494.8946";"MS";"Terenos";"16.5000";"IRU";"AT";"Aguardando analise"
" MS-5008008-9AFE090C390A451999950C9202AB0C95";"9.3602";"MS";"Terenos";"0.3100";"IRU";"AT";"Aguardando analise"
" MS-5008008-1E2EA468D3E24635B768321AEEAC53B5";"28.1117";"MS";"Terenos";"0.9300";"IRU";"AT";"Aguardando analise"
" MS-5008008-90D48C2A9E3142E784A6D54FA8C9A41E";"9.0725";"MS";"Terenos";"0.3100";"IRU";"AT";"Aguardando analise"
" MS-5008008-41A669EE0C9B4ABC875B7486779D0DD4";"17.5852";"MS";"Terenos";"0.5900";"IRU";"AT";"Aguardando analise"
" MS-5008008-D5B06440386643C1B7403003C7D06B40";"640.2487";"MS";"Terenos";"21.1400";"IRU";"AT";"Aguardando analise"
