"                                                      car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                                       "
" MT-5107776-09B9C0302A6F42E9B6D1F0E2B3F12823";"3808.6754";"MT";"Santa Terezinha";"47.6084";"IRU";"AT";"Aguardando análise"
" MT-5107776-648A0D1F4869424EA1F8F5AA6E4D85A0";"210.9414";"MT";"Santa Terezinha";"2.6368";"IRU";"AT";"Aguardando análise"
" MT-5107776-03455F1CB6514C3C99025E739B97A37D";"92.2261";"MT";"Santa Terezinha";"1.1528";"IRU";"AT";"Aguardando análise"
" MT-5107776-6310187EF6FC4CEA9BE7CBA9D0DDF8BC";"281.5221";"MT";"Santa Terezinha";"3.5190";"IRU";"AT";"Aguardando análise"
" MT-5107776-2C7AC8561B76484EBDB318018DDB8DBE";"966.2382";"MT";"Santa Terezinha";"12.0780";"IRU";"AT";"Aguardando análise"
" MT-5107776-88631FF0C2944BD19AC679EF7EFD1068";"58.8053";"MT";"Santa Terezinha";"0.7351";"IRU";"AT";"Aguardando análise"
" MT-5107776-246283CEAAE34AF88BDEE73CD84B2EA6";"309.2773";"MT";"Santa Terezinha";"3.8660";"IRU";"AT";"Aguardando análise"
" MT-5107776-C80B698BC77F4F4F99CD3E258AC3A9A4";"242.1280";"MT";"Santa Terezinha";"3.0266";"IRU";"AT";"Aguardando análise"
" MT-5107776-4306645A7C51401F9B701CCA1A276548";"97.3827";"MT";"Santa Terezinha";"1.2173";"IRU";"AT";"Aguardando análise"
" MT-5107776-C58CDD22B1BB43AFA5C84891EAD5FA43";"107.4323";"MT";"Santa Terezinha";"1.3429";"IRU";"AT";"Aguardando análise"
" MT-5107776-7C61086663CA4DB88C06BDFBFBA31913";"89.7535";"MT";"Santa Terezinha";"1.1219";"IRU";"AT";"Aguardando análise"
" MT-5107776-425AAAAA9B944D459B1736351DD3AB45";"90.1458";"MT";"Santa Terezinha";"1.1268";"IRU";"AT";"Aguardando análise"
" MT-5107776-6AD2FBB7F399482D9A53BABEBCCD7883";"78.2146";"MT";"Santa Terezinha";"0.9777";"IRU";"AT";"Aguardando análise"
" MT-5107776-E3D54C50A78D40AB80BBFD73EF78D191";"25.1607";"MT";"Santa Terezinha";"0.3100";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MT-5107776-98CF6D404F274D7289DE4FC200D2FC33";"15.1809";"MT";"Santa Terezinha";"0.1898";"IRU";"AT";"Aguardando análise"
" MT-5107776-ADED897603BF462E8E37D6FE01F090EF";"1079.3635";"MT";"Santa Terezinha";"13.4900";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MT-5107776-BCCDB4FCF0EE4A63B045CB809930D216";"99.0453";"MT";"Santa Terezinha";"1.2381";"IRU";"AT";"Aguardando analise"
" MT-5107776-99E72AFC5F7D466D87F5F81C654F65D8";"93.1168";"MT";"Santa Terezinha";"1.1640";"IRU";"AT";"Aguardando analise"
" MT-5107776-81C41F2D14B74E4AB86902C47A2C8CC3";"792.8052";"MT";"Santa Terezinha";"9.9101";"IRU";"AT";"Aguardando analise"
" MT-5107776-C777F5826C8C47DB967C7D127E0FA0F9";"32.3215";"MT";"Santa Terezinha";"0.4040";"IRU";"AT";"Aguardando análise"
" MT-5107776-C0FFBA3DCE4442B581D5AE78515E0F4B";"193.1974";"MT";"Santa Terezinha";"2.4150";"IRU";"AT";"Aguardando análise"
" MT-5107776-37332A575B7541F8A79365A8DD57D3F8";"49.2041";"MT";"Santa Terezinha";"0.6151";"IRU";"AT";"Aguardando analise"
" MT-5107776-D3EF478E575740D29AFA2CC6906D8546";"113.9885";"MT";"Santa Terezinha";"1.4249";"IRU";"AT";"Aguardando analise"
" MT-5107776-D5BF43FA8A174A9D8143E7D06B2C58F9";"106.2912";"MT";"Santa Terezinha";"1.3286";"IRU";"AT";"Aguardando analise"
" MT-5107776-C68E640FFD3847E283D6919A87183997";"128.0016";"MT";"Santa Terezinha";"1.6000";"IRU";"AT";"Aguardando analise"
" MT-5107776-28935E1566A241429E522C081C33DE85";"180.7722";"MT";"Santa Terezinha";"2.2597";"IRU";"AT";"Aguardando analise"
" MT-5107776-FA2DC3AF3FFB47DBBBF25C98D78D282C";"249.8847";"MT";"Santa Terezinha";"3.1200";"IRU";"CA";"Cancelado por decisão administrativa"
" MT-5107776-AD520818ADE14D5DB045A445D6F0EE22";"101.2510";"MT";"Santa Terezinha";"1.2700";"IRU";"AT";"Aguardando analise"
" MT-5107776-5EA09CCD5DCC4FA894E6E238344BACD8";"284.6287";"MT";"Santa Terezinha";"3.5579";"IRU";"AT";"Aguardando analise"
" MT-5107776-65D5415349F145F4AC5E3108333154DD";"3170.1884";"MT";"Santa Terezinha";"39.6300";"IRU";"AT";"Aguardando analise"
" MT-5107776-D9D5856B74A04948AC50E44560DC8B98";"120.5620";"MT";"Santa Terezinha";"1.5070";"IRU";"AT";"Aguardando análise"
" MT-5107776-F69FEBB1BDFD4CB4A26FB4A80CEF4D9E";"2953.8851";"MT";"Santa Terezinha";"36.9236";"IRU";"AT";"Aguardando analise"
" MT-5107776-B3EE8C8AF8EF4AAC8D0F87709A5437AF";"305.8495";"MT";"Santa Terezinha";"3.8200";"IRU";"SU";"ANALISADO_COM_PENDENCIAS_AGUARDANDO_RETIFICACAO_E_OU_APRESENTACAO_DOCUMENTOS"
" MT-5107776-79B783859036482EB9F0BFE0951A1EE7";"89.8537";"MT";"Santa Terezinha";"1.1232";"IRU";"AT";"Aguardando analise"
" MT-5107776-20B6DC632A794F8EB6FBE76A1FC718AF";"261.2426";"MT";"Santa Terezinha";"3.2655";"IRU";"AT";"Aguardando analise"
" MT-5107776-C04EB6FC9B4945E08E3B591BB574330C";"192.1330";"MT";"Santa Terezinha";"2.4017";"IRU";"AT";"Aguardando analise"
" MT-5107776-AC260D635BE74E799539BD9E0DCC6607";"53.7986";"MT";"Santa Terezinha";"0.6700";"IRU";"AT";"Aguardando analise"
" MT-5107776-3C1D4C69F2BB4F8DB226A692DFEE608F";"63.6142";"MT";"Santa Terezinha";"0.8000";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MT-5107776-85D6BEED653542059CDF6D365788F7ED";"1139.5146";"MT";"Santa Terezinha";"14.2439";"IRU";"AT";"Aguardando analise"
" MT-5107776-33F8852464434A83840526250FA070B2";"185.3180";"MT";"Santa Terezinha";"2.3165";"IRU";"AT";"Aguardando analise"
" MT-5107776-F3F322B23B8247F9A588A2655FAA044F";"156.8150";"MT";"Santa Terezinha";"1.9602";"IRU";"AT";"Aguardando analise"
" MT-5107776-43DB664160B74A838AD97C654C46D33D";"128.2180";"MT";"Santa Terezinha";"1.6027";"IRU";"AT";"Aguardando analise"
" MT-5107776-330B0EFDD59B4254A00B11BF9611A0CA";"12356.4715";"MT";"Santa Terezinha";"154.4559";"IRU";"AT";"Aguardando analise"
" MT-5107776-3A3A09C7DEF043978B71204C6DE5B5E5";"62.5543";"MT";"Santa Terezinha";"0.7819";"IRU";"AT";"Aguardando analise"
" MT-5107776-FF3FAA633DF64143A3009DF56642078D";"63.0688";"MT";"Santa Terezinha";"0.7900";"IRU";"AT";"Aguardando analise"
" MT-5107776-8C250D67DB5041B8A6C70CD631D599FC";"110.2802";"MT";"Santa Terezinha";"1.3800";"IRU";"AT";"Aguardando analise"
" MT-5107776-5381C6A726A4409DB9FEBC7F32304A92";"1523.1073";"MT";"Santa Terezinha";"19.0399";"IRU";"AT";"Aguardando analise"
" MT-5107776-588D2AC9D608463FBC0D812E3EE2EAE4";"100.1049";"MT";"Santa Terezinha";"1.2513";"IRU";"AT";"Aguardando analise"
" MT-5107776-C7B7CF341F0B4CAE9D5B31F8C9796AC6";"57.6319";"MT";"Santa Terezinha";"0.7204";"IRU";"AT";"Aguardando análise"
" MT-5107776-74BD96F0F0EA40D0BBE10E3D52CC7DB2";"2574.0032";"MT";"Santa Terezinha";"32.1751";"IRU";"AT";"Aguardando analise"
" MT-5107776-4F2AA6B8649343368A4B2EF06D93D60C";"41.7905";"MT";"Santa Terezinha";"0.5200";"IRU";"AT";"Aguardando analise"
" MT-5107776-A10361DFB9D84C56BF5EC8B3DD352365";"97.0871";"MT";"Santa Terezinha";"1.2136";"IRU";"AT";"Aguardando analise"
" MT-5107776-F3EB0D81E3B9451A979F1C3C8EB9C31F";"132.0336";"MT";"Santa Terezinha";"1.6500";"IRU";"AT";"Aguardando analise"
" MT-5107776-957350B6FB5C4D5AB15A95193F0B0CE7";"45.0648";"MT";"Santa Terezinha";"0.5633";"IRU";"AT";"Aguardando análise"
" MT-5107776-399187A9DABC458FA8B35AF3EEC2F632";"55.7532";"MT";"Santa Terezinha";"0.6969";"IRU";"AT";"Aguardando análise"
" MT-5107776-2A99E8081B784D7A8D03F166A970EDF3";"110.0597";"MT";"Santa Terezinha";"1.3757";"IRU";"AT";"Aguardando análise"
" MT-5107776-4DA4B35341F44F3690705F74C1BEDCA1";"254.5423";"MT";"Santa Terezinha";"3.1818";"IRU";"AT";"Aguardando análise"
" MT-5107776-DC2C1E872FEB4FB482BEEB6C34520B1B";"9672.2940";"MT";"Santa Terezinha";"120.9037";"IRU";"AT";"Aguardando análise"
" MT-5107776-8EE6F30E9420456B979238996E6B5FFE";"105.3507";"MT";"Santa Terezinha";"1.3200";"IRU";"AT";"Aguardando analise"
" MT-5107776-9686A030D0A44529B093CAA36D3BF1AC";"57.0634";"MT";"Santa Terezinha";"0.7133";"IRU";"AT";"Aguardando análise"
" MT-5107776-B1F62D96A1224604BAA4EBF4C38FEF99";"47.7293";"MT";"Santa Terezinha";"0.5966";"IRU";"AT";"Aguardando análise"
" MT-5107776-BAFCC15096C24FED895EF2000C6603D5";"50.7284";"MT";"Santa Terezinha";"0.6341";"IRU";"AT";"Aguardando análise"
" MT-5107776-4E84744EA2824A34AD2B83A0ADFC8F22";"78.4014";"MT";"Santa Terezinha";"0.9800";"IRU";"AT";"Aguardando análise"
" MT-5107776-68F45FE393CD43E9A068A26015D36866";"88.6400";"MT";"Santa Terezinha";"1.1080";"IRU";"AT";"Aguardando análise"
" MT-5107776-2C51C60FBD044004BBB19155F633B755";"99.4112";"MT";"Santa Terezinha";"1.2426";"IRU";"AT";"Aguardando análise"
" MT-5107776-AB62AE71C4F34335B3A4A6207057D552";"58.7305";"MT";"Santa Terezinha";"0.7341";"IRU";"AT";"Aguardando análise"
" MT-5107776-37F8A89EB463400A84249F09F7E24131";"40.3355";"MT";"Santa Terezinha";"0.5042";"IRU";"AT";"Aguardando análise"
" MT-5107776-88B7B1C1FAD7492C9E243E02B2579C9F";"71.7411";"MT";"Santa Terezinha";"0.8968";"IRU";"AT";"Aguardando análise"
" MT-5107776-DFF2FFBE05B2427E82B864234368D839";"79.4662";"MT";"Santa Terezinha";"0.9933";"IRU";"AT";"Aguardando análise"
" MT-5107776-451E430BFAA14E6AB13F3C4389F0DD3C";"78.3574";"MT";"Santa Terezinha";"0.9795";"IRU";"AT";"Aguardando análise"
" MT-5107776-CC1314D1E45A441E9918FC26F6016855";"47.6337";"MT";"Santa Terezinha";"0.5954";"IRU";"AT";"Aguardando análise"
" MT-5107776-ECEECCBF3370497E9B266289E2DF6391";"67.8096";"MT";"Santa Terezinha";"0.8476";"IRU";"AT";"Aguardando análise"
" MT-5107776-B99CF1DB3E0E4DD7B725731ECFECC47A";"75.1655";"MT";"Santa Terezinha";"0.9396";"IRU";"AT";"Aguardando analise"
" MT-5107776-C3D1253439B94586808F435B3E99F077";"44.3116";"MT";"Santa Terezinha";"0.5539";"IRU";"AT";"Aguardando análise"
" MT-5107776-A4073155C53A4CEFA5D4C765483ED0F3";"42.9659";"MT";"Santa Terezinha";"0.5371";"IRU";"AT";"Aguardando análise"
" MT-5107776-6AF1A258AC204F5D82DCA452D3D83807";"1095.1632";"MT";"Santa Terezinha";"13.6896";"IRU";"AT";"Aguardando analise"
" MT-5107776-CCE2430BCBDA4CB1B6B763927CB17886";"48.7387";"MT";"Santa Terezinha";"0.6100";"IRU";"AT";"Aguardando analise"
" MT-5107776-8591F06FFAF84DA684556545D093E105";"380.7938";"MT";"Santa Terezinha";"4.7599";"IRU";"SU";"Aguardando análise"
" MT-5107776-FC0A58F98F52426B85C939139976CA1E";"24.9999";"MT";"Santa Terezinha";"0.3125";"IRU";"AT";"Aguardando analise"
" MT-5107776-546870B36BCC404084758ED1A0B4AC7E";"10.0566";"MT";"Santa Terezinha";"0.1257";"IRU";"AT";"Aguardando analise"
" MT-5107776-3E74B87673494AB1A6AE77C5863D2EB5";"7.8752";"MT";"Santa Terezinha";"0.0984";"IRU";"AT";"Aguardando analise"
" MT-5107776-18C9FCCA9E18436F871B72C4A892C71B";"94.9782";"MT";"Santa Terezinha";"1.1872";"IRU";"AT";"Aguardando analise"
" MT-5107776-EA23E0D42E8949258F0971B90184E049";"69.0118";"MT";"Santa Terezinha";"0.8626";"IRU";"AT";"Aguardando analise"
" MT-5107776-1F138D7C95B241E6B38640876C41A68B";"209.8068";"MT";"Santa Terezinha";"2.6226";"IRU";"AT";"Aguardando analise"
" MT-5107776-DF0BCB6283D24788BF5A4869DE42A7ED";"49.6997";"MT";"Santa Terezinha";"0.6212";"IRU";"AT";"Aguardando analise"
" MT-5107776-9DF493BDA3BC456D8C5A8DFD4F51B67D";"149.9778";"MT";"Santa Terezinha";"1.8700";"IRU";"AT";"Aguardando analise"
" MT-5107776-8CB1356779B944798A9A07CFE51D463D";"207.0717";"MT";"Santa Terezinha";"2.5884";"IRU";"AT";"Aguardando análise"
" MT-5107776-76219214E7F04D35820463FE8F170074";"1958.3559";"MT";"Santa Terezinha";"24.4800";"IRU";"AT";"Aguardando analise"
" MT-5107776-AA205B6E4C31424CB0655E66980E582C";"149.0986";"MT";"Santa Terezinha";"1.8600";"IRU";"AT";"Aguardando analise"
" MT-5107776-C12A619930AD486F96621ACC3615B48E";"81.9780";"MT";"Santa Terezinha";"1.0200";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MT-5107776-F39B481E71FE44B8A03DD78929710BAC";"86.7547";"MT";"Santa Terezinha";"1.0844";"IRU";"AT";"Aguardando análise"
" MT-5107776-28B4B68E61DD4061891BDFC4C4D2FBCB";"55.9580";"MT";"Santa Terezinha";"0.6995";"IRU";"AT";"Aguardando análise"
" MT-5107776-E87863B2B3A741509A91AEA81FDF188E";"62.0140";"MT";"Santa Terezinha";"0.7752";"IRU";"AT";"Aguardando análise"
" MT-5107776-07BF8CDE992E411396E1F7188F3D57D6";"150.9047";"MT";"Santa Terezinha";"1.8900";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MT-5107776-2B97636CF4FC46999863A98D2F2EC755";"165.8736";"MT";"Santa Terezinha";"2.0734";"IRU";"AT";"Aguardando análise"
