"                                                   car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                                   "
" MT-5108600-6084CBF171B541B8ABA185C5399EEEC3";"50.5800";"MT";"Vila Rica";"0.6300";"IRU";"AT";"ANALISADO_COM_PENDENCIAS_AGUARDANDO_RETIFICACAO_E_OU_APRESENTACAO_DOCUMENTOS"
" MT-5108600-5FFFA23CA59640C8AF58DDFCBB1B9AD4";"32.7006";"MT";"Vila Rica";"0.4100";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MT-5108600-9212AD4585D14095922C8D9AE43127E1";"418.0892";"MT";"Vila Rica";"5.2261";"IRU";"AT";"Aguardando análise"
" MT-5108600-C4D2B5C844374520AB9FF4E046C6CA5F";"44.9953";"MT";"Vila Rica";"0.5624";"IRU";"AT";"Aguardando análise"
" MT-5108600-B4A5C6F486DE4D3A94FCF2C114780AF9";"98.8136";"MT";"Vila Rica";"1.2352";"IRU";"AT";"Aguardando análise"
" MT-5108600-5AD8DD4D9F8B4247AD26A6C6703CD95B";"40.3015";"MT";"Vila Rica";"0.5038";"IRU";"AT";"Aguardando análise"
" MT-5108600-048B9F7BD1D241F981F7B345C9162B31";"39.7314";"MT";"Vila Rica";"0.4966";"IRU";"AT";"Aguardando análise"
" MT-5108600-68FAA422114D4B6694563DC1A1AA6EB1";"29.2128";"MT";"Vila Rica";"0.3652";"IRU";"AT";"Aguardando análise"
" MT-5108600-FA3F770F1A6449A7976324680F5D5C0E";"38.7250";"MT";"Vila Rica";"0.4841";"IRU";"AT";"Aguardando análise"
" MT-5108600-044BFDDA080F44E28724BE532BD6DD9B";"56.0907";"MT";"Vila Rica";"0.7011";"IRU";"AT";"Aguardando análise"
" MT-5108600-B5598757252A4DC08CBE293B7929108E";"144.3767";"MT";"Vila Rica";"1.8047";"IRU";"AT";"Aguardando análise"
" MT-5108600-F664D0723B2C4DB0A417B40521EF51F4";"322.3782";"MT";"Vila Rica";"4.0297";"IRU";"AT";"Aguardando análise"
" MT-5108600-EAE83469D4B447A29A8D13B0F73AFAB4";"65.3870";"MT";"Vila Rica";"0.8173";"IRU";"AT";"Aguardando análise"
" MT-5108600-977A100A67504C74A458491E33E849CE";"33.0857";"MT";"Vila Rica";"0.4136";"IRU";"AT";"Aguardando análise"
" MT-5108600-6D3CBB56C6B743768382E70B7E53B4BE";"68.8074";"MT";"Vila Rica";"0.8601";"IRU";"AT";"Aguardando análise"
" MT-5108600-82AADFA40F804450B2C4A0B18D3310B9";"91.0247";"MT";"Vila Rica";"1.1400";"IRU";"AT";"Aguardando analise"
" MT-5108600-1615A193D8F148F3990FA0333F8DED75";"86.6869";"MT";"Vila Rica";"1.0836";"IRU";"AT";"Aguardando análise"
" MT-5108600-CE5A961235A84A128128875901CF1745";"7056.0391";"MT";"Vila Rica";"88.2005";"IRU";"AT";"Aguardando análise"
" MT-5108600-AC50D991DAED43C4A3355C26D4C44B66";"148.3077";"MT";"Vila Rica";"1.8538";"IRU";"AT";"Aguardando análise"
" MT-5108600-84F400A66DC94C4B8429671CB6F08324";"96.4246";"MT";"Vila Rica";"1.2053";"IRU";"AT";"Aguardando análise"
" MT-5108600-37D813011A6B428CA06875804D804F1D";"88.1677";"MT";"Vila Rica";"1.1021";"IRU";"AT";"Aguardando análise"
" MT-5108600-097F2695986C4A6588ECFFD853FEDC13";"2858.4426";"MT";"Vila Rica";"37.4576";"IRU";"AT";"Aguardando análise"
" MT-5108600-7CED4BE682214BA7B967A7EB6014CD29";"145.1998";"MT";"Vila Rica";"1.8456";"IRU";"AT";"Aguardando análise"
" MT-5108600-C338AE207ADF4045962BCBF92F51792F";"50.6231";"MT";"Vila Rica";"0.6328";"IRU";"AT";"Aguardando análise"
" MT-5108600-B32A5105FC524C0391E01C3DE8F349C3";"2.0284";"MT";"Vila Rica";"0.0254";"IRU";"AT";"Aguardando análise"
" MT-5108600-DDCAED17645B4B55807DCCD94E4D0284";"100.4857";"MT";"Vila Rica";"1.2600";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MT-5108600-750AA4B35EA94ABFA62770E423AD300E";"216.1991";"MT";"Vila Rica";"2.7000";"IRU";"CA";"Cancelado por decisão administrativa"
" MT-5108600-0B3DB188D3D546F894489E741A1CFE3F";"24.6979";"MT";"Vila Rica";"0.3100";"IRU";"CA";"Cancelado por decisão administrativa"
" MT-5108600-1AE83E3AC5494762A9D8F229BFBAAC71";"967.6400";"MT";"Vila Rica";"12.0955";"IRU";"AT";"Aguardando analise"
" MT-5108600-40D3E1542F474F6FB994C2B70030C67A";"99.6321";"MT";"Vila Rica";"1.2454";"IRU";"AT";"Aguardando analise"
" MT-5108600-3DD6B0B924924CA1AB28810C5965B170";"221.1537";"MT";"Vila Rica";"2.7600";"IRU";"AT";"Aguardando analise"
" MT-5108600-BEB7437BEFEC4FD2889DE6ECDE18EA30";"228.7673";"MT";"Vila Rica";"2.8600";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" MT-5108600-E3A3250403AE41B398E5B7F992A708FD";"74.6882";"MT";"Vila Rica";"0.9300";"IRU";"AT";"Aguardando análise"
" MT-5108600-02AA920C301D49E58B90C8E0231CF4E9";"160.4294";"MT";"Vila Rica";"2.0100";"IRU";"AT";"Aguardando analise"
" MT-5108600-ED131B76F7134BF3B04BBED42FF0DE16";"51.5592";"MT";"Vila Rica";"0.6445";"IRU";"AT";"Aguardando análise"
" MT-5108600-677D15519AE944D09D852A464CF7F4B3";"50.4541";"MT";"Vila Rica";"0.6307";"IRU";"AT";"Aguardando análise"
" MT-5108600-E8D73B793EC94A0EBD4D5EC809896FB8";"49.6135";"MT";"Vila Rica";"0.6200";"IRU";"AT";"Aguardando analise"
" MT-5108600-3A4B571CCB714450832D0AAED9A7E4BD";"18.4741";"MT";"Vila Rica";"0.2300";"IRU";"AT";"Aguardando analise"
" MT-5108600-138064BD38744F78B8A327C660BFFB7A";"300.6907";"MT";"Vila Rica";"3.7586";"IRU";"AT";"Aguardando analise"
" MT-5108600-D50294C3A9264F7CA45130BFB7D5A734";"484.0820";"MT";"Vila Rica";"6.0510";"IRU";"AT";"Aguardando analise"
" MT-5108600-ED659449A258404BBF6119485C267FAA";"639.3719";"MT";"Vila Rica";"7.9921";"IRU";"AT";"Aguardando análise"
" MT-5108600-12268495C7A345A4B9413C8580DDE7B4";"81.9315";"MT";"Vila Rica";"1.0200";"IRU";"AT";"Aguardando analise"
" MT-5108600-6D862A57128344B3822316C63FB6534E";"170.7564";"MT";"Vila Rica";"2.1345";"IRU";"AT";"Aguardando análise"
" MT-5108600-22B1DC4D64E5470283086F870987BB90";"100.5118";"MT";"Vila Rica";"1.2564";"IRU";"AT";"Aguardando analise"
" MT-5108600-73A12A2DF49646A398E7AA1B4A5D56A1";"144.8823";"MT";"Vila Rica";"1.8100";"IRU";"AT";"Aguardando analise"
" MT-5108600-F521E50521D24622BBFBD638FF29F38A";"372.0832";"MT";"Vila Rica";"4.6500";"IRU";"AT";"Aguardando analise"
" MT-5108600-4CD8534A088E45E38724639954100BB9";"48.8978";"MT";"Vila Rica";"0.6112";"IRU";"AT";"Aguardando análise"
" MT-5108600-D01A30AEE9EF4CAB84657C6B2CECB185";"150.3765";"MT";"Vila Rica";"1.8797";"IRU";"AT";"Aguardando análise"
" MT-5108600-3DDFD8374DD64B0FB10DBB7B37D6DD43";"41.4825";"MT";"Vila Rica";"0.5185";"IRU";"AT";"Aguardando análise"
" MT-5108600-FD2965DCDDFC44E7948C394C87DDF585";"100.1345";"MT";"Vila Rica";"1.2517";"IRU";"AT";"Aguardando analise"
" MT-5108600-FB3AE9830D2B4E33B7119C1FF82D6AD5";"103.3330";"MT";"Vila Rica";"1.2917";"IRU";"AT";"Aguardando análise"
" MT-5108600-CEC5D6B32EB24AC9BB709F037D9DD195";"2833.3551";"MT";"Vila Rica";"35.4169";"IRU";"CA";"CANCELADO_POR_DECISAO_ADMINISTRATIVA"
" MT-5108600-05DDD19572214F78B0C3E801BEAE2B80";"72.6164";"MT";"Vila Rica";"0.9077";"IRU";"AT";"Aguardando analise"
" MT-5108600-B08C69955B8B4FFD9916E3769C3E627F";"407.1125";"MT";"Vila Rica";"5.0889";"IRU";"AT";"Aguardando análise"
" MT-5108600-D0B8003780914FAB8D5422434196FAB8";"1221.0328";"MT";"Vila Rica";"15.2629";"IRU";"AT";"Aguardando análise"
" MT-5108600-6474DFE45FE54100B5F89B8A8F8A9C9C";"763.7194";"MT";"Vila Rica";"9.5465";"IRU";"AT";"Aguardando análise"
" MT-5108600-A166BE934F56439099D40E1083D65B22";"140.9550";"MT";"Vila Rica";"1.7600";"IRU";"AT";"Aguardando analise"
" MT-5108600-B9D986BA9A4F4835875F378BEC571A11";"956.4512";"MT";"Vila Rica";"11.9556";"IRU";"AT";"Aguardando análise"
" MT-5108600-262CF42849654A96A2ABFE0259890055";"397.8380";"MT";"Vila Rica";"4.9730";"IRU";"AT";"Aguardando análise"
" MT-5108600-FFF3602D651C44D1BB27BFE35972884C";"182.6153";"MT";"Vila Rica";"2.2827";"IRU";"PE";"Aguardando análise"
" MT-5108600-0F43E1171BB14A2EAD80E0A0F1E7876F";"271.5208";"MT";"Vila Rica";"3.3940";"IRU";"AT";"Aguardando analise"
" MT-5108600-79904CBAAC2B4367BFF073D09447B121";"25.1557";"MT";"Vila Rica";"0.3144";"IRU";"AT";"Aguardando analise"
" MT-5108600-0DBE7379349148ED8BE60DF07E3F7BAB";"320.0011";"MT";"Vila Rica";"4.0000";"IRU";"AT";"Aguardando análise"
" MT-5108600-8B42F29273BA490ABA0FCF9250BEAF1F";"100.6828";"MT";"Vila Rica";"1.2585";"IRU";"AT";"Aguardando análise"
" MT-5108600-3CAFBE9F7628436A8564156315A1FE6E";"45.1255";"MT";"Vila Rica";"0.5641";"IRU";"AT";"Aguardando análise"
" MT-5108600-8EF9CD5A412A4CB6B9642EEBC11D82AC";"99.1758";"MT";"Vila Rica";"1.2397";"IRU";"AT";"Aguardando análise"
" MT-5108600-71B8C5633C24461595EAA6A19AD82CBD";"26.0004";"MT";"Vila Rica";"0.3250";"IRU";"AT";"Aguardando análise"
" MT-5108600-A62E5732204B47B892C0A4F3DCF5EE89";"298.9730";"MT";"Vila Rica";"3.7372";"IRU";"AT";"Aguardando analise"
" MT-5108600-5CA4C2194DCE48D4A7DA6230E10EDE4D";"97.1552";"MT";"Vila Rica";"1.2100";"IRU";"SU";"ANALISADO_COM_PENDENCIAS_AGUARDANDO_RETIFICACAO_E_OU_APRESENTACAO_DOCUMENTOS"
" MT-5108600-7E5CB2B14D16411E8A3D3E99D8A3B6CC";"473.0951";"MT";"Vila Rica";"5.9137";"IRU";"AT";"Aguardando análise"
