"                                                    car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                                     "
" GO-5202353-001B64402D044E5C9BAAF3779A897198";"24.6716";"GO";"Arenópolis";"0.4934";"IRU";"AT";"Aguardando analise"
" GO-5202353-49168F97F0FD494F98C961C801FEF2FC";"9.6963";"GO";"Arenópolis";"0.1939";"IRU";"PE";"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
" GO-5202353-20C120F226644816923E7F49CEAEABF7";"207.1613";"GO";"Arenópolis";"4.1432";"IRU";"AT";"Aguardando analise"
" GO-5202353-601A0C31CB94492C9DF548B6B022113F";"80.1322";"GO";"Arenópolis";"1.6026";"IRU";"AT";"Aguardando análise"
" GO-5202353-0E46C2B14B0445908EB76FC387B324BA";"41.3853";"GO";"Arenópolis";"0.8277";"IRU";"AT";"Aguardando análise"
" GO-5202353-4A449E5C86654880A627850DC304CEB5";"13.5859";"GO";"Arenópolis";"0.2717";"IRU";"AT";"Aguardando analise"
" GO-5202353-8BCE62B2423849BEAB797C6C9F3B18EA";"71.0989";"GO";"Arenópolis";"1.4220";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" GO-5202353-CF30BA022ACA4E508AB79A945BC4914C";"31.3910";"GO";"Arenópolis";"0.6278";"IRU";"AT";"Aguardando analise"
" GO-5202353-3391C2DBE77C4AF486D7AEC62DA56DF5";"83.2460";"GO";"Arenópolis";"1.6649";"IRU";"AT";"Aguardando analise"
" GO-5202353-E7DCAB1EF2F740D189EC81020DA09E4D";"25.3659";"GO";"Arenópolis";"0.5073";"IRU";"AT";"Aguardando analise"
" GO-5202353-03C047226603446DBDF4233E81902E76";"4.2564";"GO";"Arenópolis";"0.0851";"IRU";"AT";"Aguardando analise"
" GO-5202353-CB5979009B304D7B8298484E91339287";"56.2252";"GO";"Arenópolis";"1.1245";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" GO-5202353-987BF799F272403CACED5633A16F03CF";"84.6389";"GO";"Arenópolis";"1.6928";"IRU";"AT";"Aguardando analise"
" GO-5202353-2D459130B31949A0BACDED05403B32E1";"47.9647";"GO";"Arenópolis";"0.9593";"IRU";"AT";"Aguardando analise"
" GO-5202353-6E512C1865F444CF836FE8433D913D91";"128.1029";"GO";"Arenópolis";"2.5324";"IRU";"AT";"Aguardando analise"
" GO-5202353-5E47174D28E04F68AFEAD4B9B6C44B24";"1004.6323";"GO";"Arenópolis";"20.0926";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" GO-5202353-3A71C5EBB39A4F7699F72061D7504345";"1077.3290";"GO";"Arenópolis";"21.5466";"IRU";"PE";"Aguardando análise, não passível de revisão de dados"
" GO-5202353-15F7C3EB39CC4BCA92E6880073477031";"64.6844";"GO";"Arenópolis";"1.2937";"IRU";"AT";"Aguardando analise"
" GO-5202353-BA86EE75D85E439EBADC74279053AAEA";"564.2636";"GO";"Arenópolis";"11.2853";"IRU";"AT";"Aguardando análise"
" GO-5202353-B1E175E637D34214A4B704E0FDE31611";"153.2266";"GO";"Arenópolis";"3.0645";"IRU";"AT";"Aguardando análise"
" GO-5202353-F3F966A31889424BB7A51BCABB4E4451";"108.8746";"GO";"Arenópolis";"2.1775";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" GO-5202353-3969BE492DBE4811943AA5525D63865B";"129.5759";"GO";"Arenópolis";"2.5915";"IRU";"AT";"Aguardando analise"
" GO-5202353-D0140F93313B420E87D1299D1F34DE3D";"37.1418";"GO";"Arenópolis";"0.7428";"IRU";"AT";"Aguardando analise"
" GO-5202353-F0B573645B934156BB9DF46B45937324";"33.6564";"GO";"Arenópolis";"0.6731";"IRU";"AT";"Aguardando análise"
