"                                                         car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                                          "
" GO-5203401-FCAD60EFB8D44B36B054795E0F7DB3BD";"36.1526";"GO";"Bom Jardim de Goiás";"0.8034";"IRU";"AT";"Aguardando analise"
" GO-5203401-4F19A5E0B21E4905A6B67673512184C4";"144.6315";"GO";"Bom Jardim de Goiás";"3.2140";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" GO-5203401-352BD70310FC41789834EAC2A752A142";"325.0861";"GO";"Bom Jardim de Goiás";"7.2241";"IRU";"AT";"Aguardando analise"
" GO-5203401-2F184C4402CC4AAB91691DD5F6704B3B";"78.0068";"GO";"Bom Jardim de Goiás";"1.7335";"IRU";"AT";"Aguardando analise"
" GO-5203401-F093E097FB9A4439A0DF1F5DE31F2C74";"17.1638";"GO";"Bom Jardim de Goiás";"0.3814";"IRU";"AT";"Aguardando analise"
" GO-5203401-AB67670352E2461DBE76321894086568";"50.4010";"GO";"Bom Jardim de Goiás";"1.1200";"IRU";"AT";"Aguardando analise"
" GO-5203401-DD73B764A5B4452E96257138AFD6D567";"44.4070";"GO";"Bom Jardim de Goiás";"0.9868";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" GO-5203401-CBED6071D71445DABC870ABCEC6EB83B";"533.2315";"GO";"Bom Jardim de Goiás";"11.8496";"IRU";"PE";"Aguardando análise, não passível de revisão de dados"
" GO-5203401-3B2810161B5045ADACD4162230410AD6";"133.3646";"GO";"Bom Jardim de Goiás";"2.9584";"IRU";"AT";"Aguardando analise"
" GO-5203401-E1C0AED907FF4795B8271CC0FC4DB884";"28.4561";"GO";"Bom Jardim de Goiás";"0.6324";"IRU";"AT";"Aguardando analise"
" GO-5203401-66AB149B35094C0593676EA86B3F0AA9";"33.1003";"GO";"Bom Jardim de Goiás";"0.7356";"IRU";"AT";"Aguardando analise"
" GO-5203401-6F742197A8C345AF95062337CA207197";"252.8813";"GO";"Bom Jardim de Goiás";"5.6196";"IRU";"AT";"Aguardando análise"
" GO-5203401-2D61B97CD11C4404B88B262CDC768B6D";"273.3476";"GO";"Bom Jardim de Goiás";"6.0744";"IRU";"AT";"Aguardando analise"
" GO-5203401-82D68C0E82FC4373867D539910C20074";"14.5017";"GO";"Bom Jardim de Goiás";"0.3223";"IRU";"AT";"Aguardando analise"
" GO-5203401-A1220857549B4418A880F88A4129BCCB";"501.9590";"GO";"Bom Jardim de Goiás";"11.1546";"IRU";"AT";"Aguardando analise"
" GO-5203401-2868B09F235742F9A34814EE5154F4E6";"48.3961";"GO";"Bom Jardim de Goiás";"1.0755";"IRU";"PE";"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
" GO-5203401-8D8F0D6D13234C8D9EC7D79493903D6F";"232.5897";"GO";"Bom Jardim de Goiás";"5.1687";"IRU";"AT";"Aguardando analise"
" GO-5203401-245D43FC899C479CB3C4EEBD2D12C38D";"13.9156";"GO";"Bom Jardim de Goiás";"0.3092";"IRU";"AT";"Aguardando analise"
" GO-5203401-83B434B12B17429D99B1D4C6DE679A3F";"53.3679";"GO";"Bom Jardim de Goiás";"1.1860";"IRU";"AT";"Aguardando analise"
" GO-5203401-2EA95190304949AB8B65A7054807373F";"1854.1746";"GO";"Bom Jardim de Goiás";"41.2039";"IRU";"AT";"Aguardando análise"
" GO-5203401-3378C39394D342D6A28C9D2031DE9422";"27.8797";"GO";"Bom Jardim de Goiás";"0.6195";"IRU";"AT";"Aguardando analise"
" GO-5203401-255608E46F934F00B7484211A3FBD228";"67.5718";"GO";"Bom Jardim de Goiás";"1.5016";"IRU";"AT";"Aguardando analise"
" GO-5203401-511DFDA563FC4FC0B521FE5AA69868AC";"127.3510";"GO";"Bom Jardim de Goiás";"2.8300";"IRU";"AT";"Aguardando analise"
