"                                                  car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                                  "
" GO-5210208-309A1889A0374724B69488FBA3C5ED6E";"42.8026";"GO";"Iporá";"1.4268";"IRU";"AT";"Aguardando análise"
" GO-5210208-07E62BBE1FD74A71856374680021ED28";"19.0662";"GO";"Iporá";"0.6355";"IRU";"AT";"Aguardando analise"
" GO-5210208-0FBFE25E62884C8BB2877BFC285F2CDD";"8.8746";"GO";"Iporá";"0.2958";"IRU";"AT";"Aguardando análise"
" GO-5210208-29D42DC24AC946018F14ADE2C9CA89EB";"10.4274";"GO";"Iporá";"0.3476";"IRU";"AT";"Aguardando análise"
" GO-5210208-DDAE3BBDEA044877B3F937AB6CF892AB";"56.2813";"GO";"Iporá";"1.8760";"IRU";"AT";"Aguardando analise"
" GO-5210208-A5E89E5E702349668003DBA94E84CA2D";"8.0488";"GO";"Iporá";"0.2683";"IRU";"AT";"Aguardando analise"
" GO-5210208-14E0A3D19A1241A491A769CA511C39AE";"5.2768";"GO";"Iporá";"0.1759";"IRU";"AT";"Aguardando analise"
" GO-5210208-E08FB66FC38E47A28E6212A9BDD25AB9";"18.7041";"GO";"Iporá";"0.6235";"IRU";"AT";"Aguardando análise"
" GO-5210208-9DA8DC70F94242B7909A6CF733269A33";"1.8041";"GO";"Iporá";"0.0601";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" GO-5210208-2E9F50988D934BA2ADA86F20015B85DB";"49.5539";"GO";"Iporá";"1.6518";"IRU";"AT";"Aguardando análise"
" GO-5210208-9D39023F923E480FA13655E7931B9B85";"7.4300";"GO";"Iporá";"0.2477";"IRU";"PE";"Aguardando análise, não passível de revisão de dados"
" GO-5210208-8DE8A42BA85C4336A882A9E0AB65594B";"4.4390";"GO";"Iporá";"0.1480";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" GO-5210208-BAF31FE3807E45399E6A0CA6B568E998";"9.6843";"GO";"Iporá";"0.3228";"IRU";"AT";"Aguardando análise"
" GO-5210208-78CC0A3911ED43B18B25753701251BF9";"85.0308";"GO";"Iporá";"2.8344";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" GO-5210208-CDD83B25336B454C933AB91AE6281C2C";"62.7385";"GO";"Iporá";"2.0913";"IRU";"AT";"Aguardando analise"
" GO-5210208-B9384265E2AD47CB897220F6F8D98952";"75.3146";"GO";"Iporá";"2.5105";"IRU";"AT";"Aguardando analise"
" GO-5210208-BFCD87860BF14BBF8A057C97C76C4278";"10.5596";"GO";"Iporá";"0.3520";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" GO-5210208-4317AFF668F749A9997EF86783B721DF";"9.8001";"GO";"Iporá";"0.3267";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" GO-5210208-F237B612107E4A4CA070ACAE691F1CC6";"18.0926";"GO";"Iporá";"0.6031";"IRU";"AT";"Aguardando analise"
" GO-5210208-D06EDC35954E408EB7A35C47E35285D2";"15.3779";"GO";"Iporá";"0.5126";"IRU";"AT";"Aguardando analise"
" GO-5210208-3D4A4FA9401A494EB98B091463BA7E23";"69.2103";"GO";"Iporá";"2.3070";"IRU";"AT";"Aguardando análise"
" GO-5210208-4F4C91E42FF2416C97C5495A0FF75CA8";"37.0367";"GO";"Iporá";"1.2346";"IRU";"AT";"Aguardando analise"
" GO-5210208-0AF1513C293E4EAD86B6F179B309EC4F";"30.2294";"GO";"Iporá";"1.0076";"IRU";"AT";"Aguardando analise"
" GO-5210208-DE5020EBAF3642EE8CAF06680A238D36";"58.6673";"GO";"Iporá";"1.9556";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" GO-5210208-EA3B483A53394FD2A5FADD749F57FEE4";"59.7453";"GO";"Iporá";"1.9781";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" GO-5210208-FAC1C5E43D1542B49874866D1A7FDB5A";"17.0888";"GO";"Iporá";"0.5696";"IRU";"AT";"Aguardando analise"
" GO-5210208-F06E2C2622F845309E9E0748CFBCB463";"35.6351";"GO";"Iporá";"1.1878";"IRU";"AT";"Aguardando analise"
" GO-5210208-CFDA351E1A424AE786290D557D91C0AA";"159.9443";"GO";"Iporá";"5.3315";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" GO-5210208-E352E52F280543DFB8344B95A888DBBA";"7.4287";"GO";"Iporá";"0.2476";"IRU";"AT";"Aguardando analise"
" GO-5210208-B189226E62DF4E06A9556F5F7C464F92";"26.9753";"GO";"Iporá";"0.8992";"IRU";"AT";"Aguardando analise"
" GO-5210208-2357130082A84591B990923AE6B42359";"37.3749";"GO";"Iporá";"1.2458";"IRU";"AT";"Aguardando análise"
" GO-5210208-6296549C7F3C4713976E28EF0AD69F8F";"9.7171";"GO";"Iporá";"0.3239";"IRU";"AT";"Aguardando analise"
" GO-5210208-7B7D8882DCFE4926965C7D7D315DAB7A";"92.4431";"GO";"Iporá";"3.0814";"IRU";"AT";"Aguardando analise"
" GO-5210208-FADB4541EB04448FAAC116366C5C4447";"50.5253";"GO";"Iporá";"1.6842";"IRU";"AT";"Aguardando analise"
" GO-5210208-F51E04880B964167B5B345874295419A";"42.8709";"GO";"Iporá";"1.4381";"IRU";"AT";"Aguardando analise"
" GO-5210208-7937EC657903418A89824C5826D8BEBD";"3.4233";"GO";"Iporá";"0.1141";"IRU";"AT";"Aguardando analise"
" GO-5210208-170E4392050243459B7BDE8BD60A54C9";"8.2215";"GO";"Iporá";"0.2740";"IRU";"AT";"Aguardando analise"
" GO-5210208-CFEB45B4D21D4DAC81341E0915EC668C";"15.2168";"GO";"Iporá";"0.5072";"IRU";"PE";"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
" GO-5210208-4947BB6C89EB4E079B916A48715BCEF6";"11.9441";"GO";"Iporá";"0.3981";"IRU";"AT";"Aguardando analise"
" GO-5210208-AACE829F7DF64DF8BF252E5143EF4E72";"5.4506";"GO";"Iporá";"0.1817";"IRU";"AT";"Aguardando analise"
" GO-5210208-3513088043C74009873BB8B1302492C6";"29.0079";"GO";"Iporá";"0.9669";"IRU";"AT";"Aguardando análise"
" GO-5210208-6D35A413A85D4B20BF47F6B346F60E41";"6.4482";"GO";"Iporá";"0.2149";"IRU";"AT";"Aguardando analise"
" GO-5210208-3884066D02044677A4A67644E978F1B7";"17.9051";"GO";"Iporá";"0.5968";"IRU";"AT";"Aguardando analise"
" GO-5210208-EA69BDB78B81413281E3360AA4C65F1A";"8.8500";"GO";"Iporá";"0.2950";"IRU";"AT";"Aguardando análise"
" GO-5210208-7F612A8F4D734FF09AE8636B1C7707CD";"135.7141";"GO";"Iporá";"4.5238";"IRU";"AT";"Aguardando analise"
" GO-5210208-4DD73ACFB5784A0DB2CAD905B7D2CB62";"11.2258";"GO";"Iporá";"0.3742";"IRU";"AT";"Aguardando análise"
" GO-5210208-F1A5C1BC113949E9AC8E8D0A66C84716";"5.7060";"GO";"Iporá";"0.1913";"IRU";"AT";"Aguardando análise"
" GO-5210208-E199E8785E984BEAB0B851C7C8DEA1C2";"37.9635";"GO";"Iporá";"1.2655";"IRU";"AT";"Aguardando análise"
" GO-5210208-0EF53C19E1FA42A495B40E48558CB532";"12.2549";"GO";"Iporá";"0.4085";"IRU";"AT";"Aguardando análise"
" GO-5210208-0BC940B3B83642A58FA301C5EA6D499F";"13.6042";"GO";"Iporá";"0.4535";"IRU";"AT";"Aguardando analise"
" GO-5210208-B3B9BCB43A814F089D5B62E7C8A88686";"113.7267";"GO";"Iporá";"3.7909";"IRU";"AT";"Aguardando analise"
" GO-5210208-1DC48A1A36CD4B6DA3FCD4822C5FD510";"131.3507";"GO";"Iporá";"4.3784";"IRU";"PE";"Aguardando analise"
" GO-5210208-77E219CF26F548098929E08BAFE2CFE2";"8.8947";"GO";"Iporá";"0.2965";"IRU";"AT";"Aguardando analise"
" GO-5210208-BA15A9E69E254180B1BBF5C46C49716D";"65.9129";"GO";"Iporá";"2.1971";"IRU";"PE";"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
" GO-5210208-F51539CFB8324C419CE2FED346F68A3A";"40.0255";"GO";"Iporá";"1.3342";"IRU";"AT";"Aguardando analise"
" GO-5210208-ACA1F09953D949F38DD2B7221E4FE1F7";"89.7054";"GO";"Iporá";"2.9902";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" GO-5210208-D21F5062F9E042EB8BCBD36D6B7EC5EE";"6.5855";"GO";"Iporá";"0.2195";"IRU";"AT";"Aguardando analise"
" GO-5210208-3282DF7199C844209C7E4A563EC99C08";"13.8485";"GO";"Iporá";"0.4616";"IRU";"AT";"Aguardando analise"
" GO-5210208-61791132BB834B76A18D2378C5C2B29F";"28.1042";"GO";"Iporá";"0.9368";"IRU";"AT";"Aguardando analise"
" GO-5210208-51EE58A29F024E4A93CFD7A35B5B8451";"20.9366";"GO";"Iporá";"0.6979";"IRU";"AT";"Aguardando analise"
" GO-5210208-4DB61DB6EA5846F4815FEBAB9A884B0A";"14.6734";"GO";"Iporá";"0.4891";"IRU";"AT";"Aguardando analise"
" GO-5210208-8C0B1818600044E89B840E7F19700188";"19.2672";"GO";"Iporá";"0.6422";"IRU";"AT";"Aguardando analise"
" GO-5210208-742C4DEB37AB43F793A5B1B22623BCF5";"163.8744";"GO";"Iporá";"5.4625";"IRU";"AT";"Aguardando analise"
" GO-5210208-5A34578E62894A8FAF4E0A2A690E95BE";"61.5571";"GO";"Iporá";"2.0519";"IRU";"AT";"Aguardando analise"
" GO-5210208-BE11CD043EDB49CA9C82598A0C6E51BA";"48.3009";"GO";"Iporá";"1.6100";"IRU";"AT";"Aguardando analise"
" GO-5210208-BFC831E1D4C442AE9E18EC871237888A";"151.6685";"GO";"Iporá";"5.0556";"IRU";"AT";"Aguardando analise"
" GO-5210208-A1A80870D4AD442080F6301723AC55DB";"53.2677";"GO";"Iporá";"1.7756";"IRU";"AT";"Aguardando analise"
" GO-5210208-BEDEF0DD42D942A8B98A3AA06D2788CD";"238.7258";"GO";"Iporá";"7.9575";"IRU";"AT";"Aguardando análise"
" GO-5210208-3866CBD15C05486A8D631A4955FBB21B";"24.2748";"GO";"Iporá";"0.8092";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" GO-5210208-AD81D0AAC00C411CB60962C3CA61C673";"22.6642";"GO";"Iporá";"0.7555";"IRU";"AT";"Aguardando análise"
" GO-5210208-4C8869C4EA4B4834A3D9D645A888F649";"10.0600";"GO";"Iporá";"0.3353";"IRU";"AT";"Aguardando analise"
" GO-5210208-E718D738B94D4E66AD862A3BE6BEE7DB";"16.3734";"GO";"Iporá";"0.5458";"IRU";"AT";"Aguardando analise"
" GO-5210208-43E95A179655470CB29119A00F003D4F";"6.0276";"GO";"Iporá";"0.2009";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" GO-5210208-3D541C7217F5437FB75A1862F427869D";"4.7085";"GO";"Iporá";"0.1569";"IRU";"AT";"Aguardando análise"
" GO-5210208-833583C01E3B4A05AEA1A808D60F2E19";"23.8651";"GO";"Iporá";"0.7955";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
