"                                                    car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                                    "
" GO-5211602-8B5339F5D9264C51AA78CC811F3952E1";"38.7388";"GO";"Ivolândia";"1.2913";"IRU";"AT";"Aguardando analise"
" GO-5211602-E6ED9DA62F864138B99C6B04943749F0";"33.9368";"GO";"Ivolândia";"1.1312";"IRU";"AT";"Aguardando análise"
" GO-5211602-EDE31D0DBE164744B8931596EFA414D1";"479.4103";"GO";"Ivolândia";"15.9804";"IRU";"AT";"Aguardando analise"
" GO-5211602-D97C253E61B04C778F923AEF09D5C8EB";"315.9772";"GO";"Ivolândia";"10.5326";"IRU";"AT";"Aguardando análise"
" GO-5211602-68AC53A01E8D4996823E35DABC35E2C3";"7.0285";"GO";"Ivolândia";"0.2133";"IRU";"AT";"Aguardando analise"
" GO-5211602-503AB13FB6B14318AE07E1710832F64E";"33.0600";"GO";"Ivolândia";"1.1020";"IRU";"AT";"Aguardando analise"
" GO-5211602-2CB876480277409E916E95570C087696";"28.1990";"GO";"Ivolândia";"0.9400";"IRU";"AT";"Aguardando análise"
" GO-5211602-A4B644D230C84DB09C18168B7F6E7455";"346.3801";"GO";"Ivolândia";"11.5460";"IRU";"AT";"Aguardando analise"
" GO-5211602-938B7FCAE656460E95BE0F092A2AEF9A";"65.4679";"GO";"Ivolândia";"2.1823";"IRU";"AT";"Aguardando analise"
" GO-5211602-AC8CBEBBE5894EDA99A8E0CADC583B8A";"6.5421";"GO";"Ivolândia";"0.2178";"IRU";"AT";"Aguardando análise"
" GO-5211602-39BFCA7FA98344F6A0DC3AAAA2475F54";"11.5515";"GO";"Ivolândia";"0.3850";"IRU";"AT";"Aguardando analise"
" GO-5211602-9E75BC55BC384622A3A0DB1533A8E5BD";"33.5771";"GO";"Ivolândia";"1.1192";"IRU";"AT";"Aguardando analise"
" GO-5211602-DB3F67923F444FAC87FF1331DE7373A8";"30.6257";"GO";"Ivolândia";"1.0209";"IRU";"AT";"Aguardando analise"
" GO-5211602-A47DD36A67D540988B5400E4815BDBD3";"528.5810";"GO";"Ivolândia";"17.6194";"IRU";"AT";"Aguardando analise"
" GO-5211602-49A72BFFDC0B450388D48EC4650541F7";"14.7812";"GO";"Ivolândia";"0.4927";"IRU";"AT";"Aguardando análise"
" GO-5211602-A34909F697144613A853517A95E8CE2E";"11.7385";"GO";"Ivolândia";"0.3913";"IRU";"AT";"Aguardando analise"
" GO-5211602-0BDF6386FF594CB38D904F4E58AE332D";"346.0024";"GO";"Ivolândia";"12.7749";"IRU";"AT";"Aguardando analise"
" GO-5211602-E62DA640121641188C2F2F893E151CCB";"75.2606";"GO";"Ivolândia";"2.5087";"IRU";"PE";"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
" GO-5211602-279E351D8ACE4B91A80C522D5D889FBE";"31.0567";"GO";"Ivolândia";"1.0352";"IRU";"AT";"Aguardando analise"
" GO-5211602-0075E68D264A498A8D4CDE6BE96A23D8";"99.0474";"GO";"Ivolândia";"3.3676";"IRU";"AT";"Aguardando análise"
" GO-5211602-0D87F2E2F73240BB8B342E872FCAAC93";"26.4528";"GO";"Ivolândia";"0.8818";"IRU";"AT";"Analisado com pendências, aguardando apresentação de documentos"
" GO-5211602-D34268F1C09F49AFB2691AF1265094C4";"18.0005";"GO";"Ivolândia";"0.6000";"IRU";"PE";"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
" GO-5211602-D279CEBF049343328D56F80EE71C102D";"150.0445";"GO";"Ivolândia";"4.8185";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" GO-5211602-D46B966C0B6043D1ABF4C25781BAE6B1";"39.0385";"GO";"Ivolândia";"1.3013";"IRU";"AT";"Aguardando análise"
" GO-5211602-5A227CCB7BBA4C7AB2FBB0C7F6280C98";"53.5293";"GO";"Ivolândia";"1.7843";"IRU";"AT";"Aguardando analise"
" GO-5211602-3316BE9EC6044E7493647D4A5F10AB44";"14.8136";"GO";"Ivolândia";"0.4938";"IRU";"AT";"Aguardando analise"
" GO-5211602-79E6ADFC6A494DE9B295497ED23ED0F2";"24.7573";"GO";"Ivolândia";"0.8252";"IRU";"AT";"Aguardando analise"
" GO-5211602-AC46738D18544458B773585A872D1DB6";"26.5006";"GO";"Ivolândia";"0.8834";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" GO-5211602-96305C056775458FAAAC4134F32A3F2A";"29.0400";"GO";"Ivolândia";"0.9680";"IRU";"AT";"Aguardando analise"
" GO-5211602-9616E12F180145289865EED149065522";"39.6150";"GO";"Ivolândia";"1.3205";"IRU";"AT";"Aguardando análise"
" GO-5211602-2B12720263104D17A0353F7EEB27217C";"144.7161";"GO";"Ivolândia";"4.7956";"IRU";"AT";"Aguardando analise"
" GO-5211602-1FD4BF6865624937AFC39B0941EAA161";"24.4747";"GO";"Ivolândia";"0.8158";"IRU";"AT";"Aguardando análise"
" GO-5211602-D9354068FABD41B487BE78B33BEABB70";"4.9661";"GO";"Ivolândia";"0.1397";"IRU";"AT";"Aguardando análise"
" GO-5211602-C854AE53372D43CBA862B4BD1DFEF224";"11.0841";"GO";"Ivolândia";"0.3695";"IRU";"AT";"Aguardando analise"
" GO-5211602-66B5CFCB62AA4248ABCCDF23D2D1417C";"33.8804";"GO";"Ivolândia";"1.1293";"IRU";"AT";"Aguardando analise"
" GO-5211602-87D67D9A1D1A4811BE03CBE070CB5B9A";"63.3659";"GO";"Ivolândia";"2.1122";"IRU";"AT";"Aguardando análise"
" GO-5211602-841D217059F0467881BD8DA13479A6E5";"149.5775";"GO";"Ivolândia";"4.9859";"IRU";"AT";"Aguardando analise"
" GO-5211602-AAC8DCDD478947BB87043B3E46FF9F9B";"59.7257";"GO";"Ivolândia";"1.9909";"IRU";"AT";"Aguardando analise"
" GO-5211602-B216CE4582AB4246BA6DA243B3182B71";"127.9914";"GO";"Ivolândia";"4.2664";"IRU";"AT";"Aguardando analise"
" GO-5211602-8D33B28B91C74419BB78C97EBE8EC7D0";"125.6030";"GO";"Ivolândia";"4.1868";"IRU";"AT";"Aguardando analise"
" GO-5211602-0A297D5C766D4163B61D49C890AA5664";"594.1051";"GO";"Ivolândia";"19.8035";"IRU";"AT";"Aguardando analise"
" GO-5211602-56935BF0EE5E4F76843133B4CD3D7BD1";"15.9714";"GO";"Ivolândia";"0.4685";"IRU";"AT";"Aguardando analise"
" GO-5211602-EB5198BDCF824227886E58B7EE830A32";"106.8730";"GO";"Ivolândia";"3.5624";"IRU";"AT";"Aguardando analise"
