"                                                           car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                                           "
" GO-5213707-E68CD74B8CCE47C389EBF58E3FD613BB";"20.1197";"GO";"Montes Claros de Goiás";"0.4471";"IRU";"AT";"Aguardando análise"
" GO-5213707-A51290892A704212B732BB216383B15C";"264.2932";"GO";"Montes Claros de Goiás";"5.8732";"IRU";"AT";"Aguardando análise"
" GO-5213707-2115F4596F124A809622069BE9923E95";"54.2636";"GO";"Montes Claros de Goiás";"1.2059";"IRU";"AT";"Aguardando analise"
" GO-5213707-F5321C0338C049058E355319FA12D898";"234.8825";"GO";"Montes Claros de Goiás";"5.2196";"IRU";"AT";"Aguardando analise"
" GO-5213707-70D1E30136794FFEAC3FDCC674A4F3C5";"4.8380";"GO";"Montes Claros de Goiás";"0.1075";"IRU";"AT";"Aguardando análise"
" GO-5213707-5F0801AA3AE64224B348D3DFDCF286CB";"135.2721";"GO";"Montes Claros de Goiás";"3.0060";"IRU";"AT";"Aguardando análise"
" GO-5213707-4F8E940C8C6B4153A5B0E2CB1ED1ABAC";"102.0926";"GO";"Montes Claros de Goiás";"2.2682";"IRU";"AT";"Aguardando analise"
" GO-5213707-EA4870BB9E134A7FB968168A757E5856";"1799.7353";"GO";"Montes Claros de Goiás";"39.9941";"IRU";"AT";"Aguardando análise"
" GO-5213707-8B4C78B944CA4020A1D66E8ABFC85328";"42.7299";"GO";"Montes Claros de Goiás";"0.9496";"IRU";"AT";"Aguardando análise"
" GO-5213707-FAE86F97C59B428F98775F2ACE2B74B2";"17.3025";"GO";"Montes Claros de Goiás";"0.3845";"IRU";"AT";"Aguardando analise"
" GO-5213707-0C5DE64DFE5542739EF346AAC29BE323";"2301.6999";"GO";"Montes Claros de Goiás";"51.1489";"IRU";"AT";"Aguardando análise"
" GO-5213707-D85C81FFC8A14261B69E6950973CB3A8";"9.7161";"GO";"Montes Claros de Goiás";"0.2159";"IRU";"AT";"Aguardando analise"
" GO-5213707-9F0AAD1AE35C4830907BA7BAAEB72EE6";"160.8440";"GO";"Montes Claros de Goiás";"3.5743";"IRU";"AT";"Aguardando análise"
" GO-5213707-070A0281D4184AFB876E0CAE502069EB";"36.3003";"GO";"Montes Claros de Goiás";"0.8067";"IRU";"AT";"Aguardando analise"
" GO-5213707-BFFD2C7A3C7644AFB9B6D8B59726DCD8";"41.1493";"GO";"Montes Claros de Goiás";"0.9144";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" GO-5213707-477AF75B1FD445CB960682D925943944";"102.7976";"GO";"Montes Claros de Goiás";"2.2844";"IRU";"PE";"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
" GO-5213707-657E225E04854B04A4645C799F4D287E";"38.8656";"GO";"Montes Claros de Goiás";"0.8637";"IRU";"AT";"Aguardando analise"
" GO-5213707-3A6D9D880CAE4FCAB791D491C3733C57";"23.5901";"GO";"Montes Claros de Goiás";"0.5242";"IRU";"AT";"Aguardando analise"
