"                                                         car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                                         "
" GO-5215652-66C21B6CFE9042AC9A37F779E5CED146";"154.8804";"GO";"Palestina de Goiás";"2.5813";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" GO-5215652-FE4703C3927D4D838516BDE1C50FD8AB";"17.5615";"GO";"Palestina de Goiás";"0.2927";"IRU";"AT";"Aguardando análise"
" GO-5215652-B5FCF0740C6D4767A166F0194EF879F3";"16.3523";"GO";"Palestina de Goiás";"0.2725";"IRU";"AT";"Aguardando análise"
" GO-5215652-CCCF0780B84B4725A4D2B0054D3546A4";"18.0461";"GO";"Palestina de Goiás";"0.3008";"IRU";"AT";"Aguardando análise"
" GO-5215652-A039F97B7EED4159A79E226E27C451AA";"486.9212";"GO";"Palestina de Goiás";"8.1154";"IRU";"AT";"Aguardando análise"
" GO-5215652-55272F8CF5EE41CDBEC1176515C62253";"20.3483";"GO";"Palestina de Goiás";"0.3391";"IRU";"AT";"Aguardando análise"
" GO-5215652-088698DE70B243E1BC1038B3D33EBAEA";"193.7967";"GO";"Palestina de Goiás";"3.2299";"IRU";"AT";"Aguardando analise"
" GO-5215652-2ED042E89AB34F5D89485AEBA485AB33";"77.7604";"GO";"Palestina de Goiás";"1.2960";"IRU";"AT";"Aguardando analise"
" GO-5215652-49488FF10DEA4FF5AB59AE12355A33BE";"404.5845";"GO";"Palestina de Goiás";"6.7431";"IRU";"AT";"Aguardando analise"
" GO-5215652-CA8E10C64FBB4C768BC3DB85844D24CD";"56.3424";"GO";"Palestina de Goiás";"0.9390";"IRU";"AT";"Aguardando analise"
" GO-5215652-FE9C439EE5F74DD0B896F82647A25AE3";"27.8944";"GO";"Palestina de Goiás";"0.4752";"IRU";"AT";"Aguardando analise"
" GO-5215652-0C34A8D91B8B4F0EA036689CD79EEEAB";"121.9243";"GO";"Palestina de Goiás";"2.0321";"IRU";"AT";"Aguardando analise"
" GO-5215652-31230A6510764183810C9AC513951F3F";"287.5933";"GO";"Palestina de Goiás";"4.7932";"IRU";"AT";"Aguardando analise"
" GO-5215652-1A5AC0CB5E684A749B369890351457D9";"25.6145";"GO";"Palestina de Goiás";"0.4269";"IRU";"AT";"Aguardando análise"
" GO-5215652-2FBFCFFE0A04416DAC9A6EB4B19F3E25";"45.0575";"GO";"Palestina de Goiás";"0.7510";"IRU";"AT";"Aguardando analise"
" GO-5215652-ED2F065AC39B4C38B1F2A16DA6F281E4";"63.3007";"GO";"Palestina de Goiás";"1.0550";"IRU";"AT";"Aguardando analise"
" GO-5215652-3E0180F341EC4280A1150D62E2B2BCAC";"9.3080";"GO";"Palestina de Goiás";"0.1551";"IRU";"AT";"Aguardando analise"
" GO-5215652-79465FF1D11D483E89A6AD2519E83548";"207.1879";"GO";"Palestina de Goiás";"3.4531";"IRU";"AT";"Aguardando analise"
" GO-5215652-C5C3A91160224CEFA4DF756628B37521";"8.1505";"GO";"Palestina de Goiás";"0.1358";"IRU";"AT";"Aguardando analise"
" GO-5215652-8C72AFB8C4494AC3A56C4DF7B4479A66";"944.6001";"GO";"Palestina de Goiás";"15.7433";"IRU";"AT";"Aguardando analise"
" GO-5215652-1F7EB70D2A6D4B13997D7D8A6FF7A558";"32.0235";"GO";"Palestina de Goiás";"0.5337";"IRU";"AT";"Aguardando analise"
" GO-5215652-D872031A126D45B2B69EA0067CE935B0";"31.4316";"GO";"Palestina de Goiás";"0.5239";"IRU";"AT";"Aguardando analise"
" GO-5215652-65479E8C469C497BBD3C0F997B19609B";"71.4073";"GO";"Palestina de Goiás";"1.1901";"IRU";"AT";"Aguardando analise"
" GO-5215652-2732BA10A1AE4CD8859650B1A84D3B0E";"211.3590";"GO";"Palestina de Goiás";"3.5226";"IRU";"AT";"Aguardando analise"
" GO-5215652-2A056F71196048D3BB06845A80107770";"4.8400";"GO";"Palestina de Goiás";"0.0807";"IRU";"AT";"Aguardando análise, não passível de revisão de dados"
" GO-5215652-B267E463A0DA4DBFBC57C2194628E227";"835.4847";"GO";"Palestina de Goiás";"13.9247";"IRU";"AT";"Aguardando analise"
" GO-5215652-2744135A79A6475FBDDDF88DC4F348A0";"18.5179";"GO";"Palestina de Goiás";"0.3086";"IRU";"AT";"Aguardando analise"
" GO-5215652-DF856C98FADB420EADDA7A0BB353BCE9";"56.6124";"GO";"Palestina de Goiás";"0.9435";"IRU";"PE";"Aguardando analise"
" GO-5215652-C7D1E20723C64B0AB5818EB0804AE419";"281.8121";"GO";"Palestina de Goiás";"4.6969";"IRU";"AT";"Aguardando analise"
" GO-5215652-E22778754D6D4D4EAB798C4349A69EDB";"68.0542";"GO";"Palestina de Goiás";"1.1342";"IRU";"AT";"Aguardando analise"
" GO-5215652-E26CB9519156464880CFF854E1759AC2";"231.3000";"GO";"Palestina de Goiás";"3.8550";"IRU";"AT";"Aguardando análise"
